App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNBUH,10.100.246.202,,10.164.145.156,,443,HTTP-TUNNEL/HTTPS,2647635,1159523
DNBUH,10.164.144.232,,10.164.144.79,,443,HTTPS,0,0
DNBUH,10.100.246.186,,10.164.145.27,,,HTTP-TUNNEL/HTTPS,2314586,3233948
DNBUH,10.100.246.193,,10.164.144.234,,3306,HTTP-TUNNEL/HTTPS,1989793,3400686
DNBUH,10.100.246.211,,10.164.145.226,,8080,HTTP-TUNNEL/HTTPS,1078443,1627584
DNBUH,10.164.144.53,,10.164.145.148,,8443,HTTPS,519001,3895196
DNBUH,10.100.246.151,,10.164.144.53,,8443,HTTP-TUNNEL/HTTPS,1001810,2886462
DNBUH,10.164.144.75,,10.164.145.92,,443,HTTPS,1279846,3650982
DNBUH,10.100.246.98,,10.164.145.47,,80,HTTP,1579503,2661251
DNBUH,10.100.246.90,,10.164.144.187,,8443,HTTPS,561831,2922807
DNBUH,10.100.246.12,,10.164.144.152,,3306,HTTP2-SSL,867323,1712628
DNBUH,10.100.246.115,,10.164.145.33,,,HTTP-TUNNEL/HTTPS,770563,2396843
DNBUH,10.100.246.228,,10.164.145.43,,,HTTP2-SSL,1385740,1819669
DNBUH,10.100.246.154,,10.164.145.55,,,HTTP-TUNNEL/HTTPS,2783842,3196809
DNBUH,10.100.246.203,,10.164.144.68,,389,HTTP2-SSL,674293,1528652
DNBUH,10.100.246.60,,10.164.145.213,,8081,HTTP,2656822,1157680
DNBUH,10.100.246.54,,10.164.144.154,,5432,HTTP2-SSL,1920661,1218646
DNBUH,10.100.246.114,,10.164.144.212,,5432,HTTP-TUNNEL/HTTPS,842820,2608064
DNBUH,10.100.246.123,,10.164.145.115,,22,HTTP-TUNNEL/HTTPS,1493739,2404544
DNBUH,2001:db8:ea19:a1e1:10a:2782:7bdf:bf57,,2001:db8:2bda:f8d3:cdf9:77d5:3d45:62ed,,443,HTTPS,2401821,3017310
DNBUH,10.100.246.230,,10.164.145.71,,8080,HTTP-TUNNEL/HTTPS,0,0
DNBUH,10.164.144.33,,10.164.144.54,,,HTTP-TUNNEL/HTTPS,2815062,3454186
DNBUH,10.164.144.132,,10.164.145.251,,443,HTTP2-SSL,1103226,3476751
DNBUH,10.100.246.171,,10.164.145.167,,8080,HTTP,2140357,1231203
DNBUH,10.100.246.25,,10.164.145.116,,5432,HTTP-TUNNEL/HTTPS,2499703,2210543
DNBUH,10.164.144.150,,10.164.144.45,,80,HTTP2-SSL,1979054,2445497
DNBUH,10.100.246.169,,10.164.144.164,,443,HTTPS,1296201,1286061
DNBUH,2001:db8:ea19:a1e1:8301:8d63:7c77:1403,,2001:db8:2bda:f8d3:abd0:179f:aee1:71ca,,8081,HTTP,2442976,2755121
DNBUH,10.164.144.75,,10.164.145.72,,,HTTP2-SSL,1631484,1750354
DNBUH,10.100.246.90,,10.164.145.254,,80,HTTP,2435498,1286013
DNBUH,10.100.246.170,,10.164.145.177,,8443,HTTPS,2048964,999887
DNBUH,10.164.144.65,,10.164.145.134,,80,HTTP-TUNNEL/HTTPS,2906423,3866098
DNBUH,10.100.246.141,,10.164.145.62,,1521,HTTP-TUNNEL/HTTPS,1419974,1157146
DNBUH,10.100.246.81,,10.164.145.36,,80,HTTP2-SSL,2931831,2483508
DNBUH,10.100.246.184,,10.164.144.253,,80,HTTP2-SSL,2052126,1466409
DNBUH,10.164.144.10,,10.164.145.102,,22,HTTP2-SSL,2307769,2395344
DNBUH,10.100.246.231,,10.164.144.226,,80,HTTP-TUNNEL/HTTPS,2944351,918107
DNBUH,10.100.246.11,,10.164.145.249,,443,HTTPS,1676461,2511859
DNBUH,10.100.246.32,,10.164.144.255,,8081,HTTP,1141477,3163866
DNBUH,2001:db8:1a2b:3c4d:9e41:5791:35ea:6b2e,,2001:db8:2bda:f8d3:5b1c:589:b031:89b5,,8081,HTTP,892870,2074440
DNBUH,10.100.246.28,,10.164.144.177,,8443,HTTP2-SSL,2519907,2914005
DNBUH,10.100.246.176,,10.164.145.245,,389,HTTP2-SSL,1687820,1989307
DNBUH,10.100.246.125,,10.164.144.157,,80,HTTP-TUNNEL/HTTPS,1368961,3790306
DNBUH,10.100.246.150,,10.164.144.45,,443,HTTPS,992869,2570998
DNBUH,10.100.246.21,,10.164.145.103,,8443,HTTP2-SSL,1719107,1298110
DNBUH,10.164.144.104,,10.164.144.145,,443,HTTPS,2403728,1265696
DNBUH,10.100.246.47,,10.164.144.196,,8080,HTTP,1289996,3186463
DNBUH,10.164.144.236,,10.164.145.58,,8081,HTTP,614391,3081815
DNBUH,10.100.246.123,,10.164.144.204,,,HTTP-TUNNEL/HTTPS,1089025,3610720
DNBUH,10.100.246.183,,10.164.144.216,,443,HTTP2-SSL,791538,3340590
DNBUH,10.100.246.94,,10.164.145.200,,8443,HTTPS,1181746,2084148
DNBUH,10.100.246.73,,10.164.145.29,,443,HTTPS,2491809,3457827
DNBUH,2001:db8:1a2b:3c4d:c460:fb27:5d7e:da01,,2001:db8:ea19:a1e1:9d9f:69c5:6055:b3f6,,443,HTTP2-SSL,603006,2406190
DNBUH,10.100.246.94,,10.164.144.227,,,HTTP-TUNNEL/HTTPS,1842012,1707648
DNBUH,10.164.144.91,,10.164.144.153,,8080,HTTP-TUNNEL/HTTPS,1487633,3137652
DNBUH,10.100.246.13,,10.164.144.37,,8081,HTTP,969356,3461134
DNBUH,10.164.144.158,,10.164.145.155,,1521,HTTP2-SSL,2560608,3294074
DNBUH,10.100.246.53,,10.164.145.238,,80,HTTP,1064836,1513289
DNBUH,10.100.246.27,,10.164.145.68,,,HTTP2-SSL,2721376,1811256
DNBUH,2001:db8:1a2b:3c4d:b0ee:544b:198:bdc1,,2001:db8:ea19:a1e1:b91d:6e74:1b17:7d1f,,8443,HTTPS,1050463,2931542
DNBUH,2001:db8:1a2b:3c4d:986e:b55d:2c1d:57a2,,2001:db8:2bda:f8d3:d525:e946:d14a:c60a,,,HTTP2-SSL,979927,1453311
DNBUH,10.164.144.252,,10.164.144.218,,443,HTTPS,596871,1557838
