App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCAC,10.165.116.201,,10.100.160.152,,8080,HTTP,3726352,172034
DNCAC,10.164.144.121,,10.164.105.42,,8081,HTTP,0,0
DNCAC,10.164.144.223,,10.164.145.255,,8080,HTTP,2310122,1017667
DNCAC,10.164.116.225,,10.164.145.62,,8080,HTTP,3605811,735901
DNCAC,2001:db8:548b:87b5:cbb7:882c:fd03:87a0,,2001:db8:1a2b:3c4d:ad6a:1349:86ed:18f2,,80,HTTP,880299,1307841
DNCAC,10.100.246.233,,10.100.246.74,,443,TCP,2613223,2125918
DNCAC,10.164.144.26,,10.100.160.219,,389,TCP,2885192,2729887
DNCAC,10.164.116.115,,10.164.145.190,,80,TCP,2327082,1532233
DNCAC,10.100.160.187,,10.164.116.182,,443,HTTPS,1840878,1049447
DNCAC,2001:db8:4c3a:9f21:ba2d:c158:199f:c57d,,2001:db8:548b:87b5:85f8:39b6:8e88:ae2a,,443,HTTPS,2313625,613660
DNCAC,10.165.116.138,,10.165.116.92,,443,HTTPS,2184217,3530533
DNCAC,10.164.105.1,,10.164.145.210,,80,HTTP,940849,2859948
DNCAC,10.164.105.96,,10.164.105.158,,22,TCP,3087548,514359
DNCAC,10.100.160.138,,10.164.144.25,,443,HTTPS,876969,1320712
DNCAC,10.100.246.16,,10.100.160.12,,443,HTTPS,2955015,3205736
DNCAC,10.164.144.98,,10.164.116.113,,8443,TCP,115936,2858423
DNCAC,10.164.116.87,,10.100.246.156,,8080,HTTP,2208588,1102929
DNCAC,10.164.116.69,,10.164.144.42,,389,TCP,2566466,1910573
DNCAC,10.164.144.155,,10.164.145.57,,443,HTTPS,2074506,3309633
DNCAC,10.100.160.184,,10.165.116.90,,443,TCP,1591756,701234
DNCAC,10.164.144.237,,10.164.144.252,,8443,HTTPS,547704,1887731
DNCAC,10.164.144.24,,10.164.144.26,,8080,HTTP,1344694,187411
DNCAC,10.164.116.59,,10.164.144.64,,8080,TCP,1523986,3638358
DNCAC,2001:db8:ea19:a1e1:8c76:fc8c:3c9d:4c08,,2001:db8:ea19:a1e1:cc47:468a:db8c:9c44,,443,HTTPS,3225120,3007357
DNCAC,10.164.105.38,,10.165.116.198,,,TCP,3983435,839696
DNCAC,10.164.144.81,,10.165.116.98,,80,HTTP,3678888,2090529
DNCAC,10.164.144.71,,10.164.144.16,,443,HTTPS,0,0
DNCAC,10.164.145.225,,10.164.145.12,,80,HTTP,1708905,3381325
DNCAC,10.100.160.179,,10.164.145.81,,3306,TCP,1280072,3660375
DNCAC,10.100.246.142,,10.100.246.253,,80,HTTP,3504705,422424
DNCAC,2001:db8:548b:87b5:db5:f4af:d7a5:dcf2,,2001:db8:548b:87b5:569c:9898:6287:52d0,,8081,HTTP,3981495,3678652
DNCAC,10.164.145.81,,10.164.116.130,,8080,HTTP,1995386,3736139
DNCAC,10.164.145.246,,10.164.116.199,,22,TCP,2566419,149776
DNCAC,10.100.246.85,,10.164.105.73,,8081,HTTP,3274311,815965
DNCAC,10.100.246.133,,10.164.116.75,,8080,HTTP,2634569,1986996
DNCAC,10.164.145.42,,10.164.116.203,,8443,TCP,1316560,3667144
DNCAC,10.164.116.35,,10.164.145.55,,80,HTTP,615318,1559522
DNCAC,10.165.116.189,,10.165.116.94,,3306,TCP,1274234,3504827
DNCAC,2001:db8:548b:87b5:bdc7:c359:ad35:1fd0,,2001:db8:ea19:a1e1:8300:6ddb:cdfa:da7,,8081,HTTP,3112656,3238811
DNCAC,10.165.116.114,,10.100.160.218,,8080,HTTP,1202727,2757711
DNCAC,10.165.116.247,,10.164.116.133,,1521,TCP,3967045,779576
DNCAC,10.164.144.155,,10.100.160.109,,8081,HTTP,802865,3443961
DNCAC,10.164.105.253,,10.165.116.167,,,TCP,3832217,3966595
DNCAC,10.100.246.246,,10.164.116.92,,80,HTTP,337929,3285035
DNCAC,10.164.144.206,,10.165.116.224,,8443,HTTPS,1665031,554275
DNCAC,10.165.116.81,,10.164.145.145,,8080,HTTP,397911,2808287
DNCAC,10.165.116.237,,10.164.145.172,,443,TCP,0,0
DNCAC,2001:db8:1a2b:3c4d:cabf:ae4a:f61a:8c46,,2001:db8:4c3a:9f21:30c6:ca05:62ba:d67,,,TCP,2446681,3653659
DNCAC,10.164.105.92,,10.164.145.21,,443,HTTPS,1678192,420052
DNCAC,10.164.144.159,,10.164.105.208,,80,HTTP,2707926,2123268
DNCAC,10.100.160.36,,10.164.105.29,,3306,TCP,2325439,159596
DNCAC,10.164.145.136,,10.164.145.20,,,TCP,2012860,425532
DNCAC,10.100.246.248,,10.164.145.14,,8443,HTTPS,525056,2318899
DNCAC,10.165.116.238,,10.164.144.243,,443,HTTPS,2095646,1006581
DNCAC,2001:db8:2582:6d22:cb6e:7c59:9234:c7c4,,2001:db8:1a2b:3c4d:7d86:d104:2b5d:5716,,80,HTTP,0,0
DNCAC,10.165.116.226,,10.100.160.240,,80,HTTP,106792,2593110
DNCAC,2001:db8:4c3a:9f21:60bf:db5f:239:379e,,2001:db8:2bda:f8d3:c954:58de:56b7:2970,,80,HTTP,0,0
DNCAC,2001:db8:ea19:a1e1:23f5:b1b9:c013:5411,,2001:db8:2bda:f8d3:1de1:4ac0:b993:2694,,8443,HTTPS,2447144,3576097
DNCAC,10.165.116.163,,10.164.144.49,,443,HTTPS,611263,3970099
DNCAC,2001:db8:4c3a:9f21:ca2a:35c3:3228:9260,,2001:db8:ea19:a1e1:9688:9dd1:b9ed:8cad,,,TCP,3941536,2042809
DNCAC,10.164.116.33,,10.100.246.20,,1521,TCP,432846,442100
DNCAC,10.164.116.91,,10.164.145.76,,443,HTTPS,1621700,570071
DNCAC,10.164.145.168,,10.165.116.197,,8080,TCP,555282,363877
DNCAC,10.100.246.79,,10.100.246.167,,8080,HTTP,3399631,3516298
DNCAC,10.164.144.141,,10.164.145.80,,443,HTTPS,3642041,2273720
DNCAC,10.164.105.134,,10.100.246.25,,8081,HTTP,2057083,1548253
DNCAC,10.164.144.150,,10.164.145.72,,8081,HTTP,3318502,680149
DNCAC,10.164.105.116,,10.164.145.59,,8443,HTTPS,2739714,1443623
DNCAC,10.164.144.99,,10.100.246.78,,5432,TCP,477897,2994930
DNCAC,10.164.145.120,,10.164.144.54,,8443,HTTPS,1985811,1883885
DNCAC,10.164.116.157,,10.164.105.85,,22,TCP,2426326,145623
DNCAC,10.164.144.153,,10.164.144.221,,5432,TCP,1850780,1741682
DNCAC,10.164.116.193,,10.164.145.16,,443,HTTPS,3422045,3074007
