App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCCL,10.100.160.160,,10.165.116.159,,1521,TCP,2854149,2090508
DNCCL,10.165.116.250,,10.164.105.172,,,TCP,2572275,2131395
DNCCL,10.164.105.234,,10.164.105.91,,,TCP,1306850,1525505
DNCCL,10.100.160.143,,10.100.160.77,,443,TCP,1359158,2768324
DNCCL,10.164.144.242,,10.100.246.228,,8443,HTTPS,3456322,1273421
DNCCL,10.100.246.16,,10.100.160.177,,8081,HTTP,2700240,2391738
DNCCL,10.100.160.90,,10.164.116.110,,8443,TCP,3985555,3998432
DNCCL,2001:db8:2bda:f8d3:e510:36fe:a0fb:58a8,,2001:db8:2bda:f8d3:f13c:60c2:59eb:52d5,,8443,HTTPS,3709846,2863068
DNCCL,10.164.116.105,,10.100.160.232,,8081,HTTP,3230395,1015180
DNCCL,10.164.145.185,,10.164.105.250,,443,TCP,3195772,3514729
DNCCL,10.164.144.121,,10.164.116.105,,8081,HTTP,922565,1824933
DNCCL,10.165.116.90,,10.100.160.63,,80,HTTP,1525196,1898266
DNCCL,10.165.116.243,,10.164.116.35,,80,HTTP,1068801,1457519
DNCCL,10.164.145.42,,10.164.105.28,,8080,HTTP,2358703,3860626
DNCCL,10.164.105.81,,10.164.116.247,,1521,TCP,935115,2924090
DNCCL,10.164.116.78,,10.164.144.0,,443,HTTPS,2404313,1864538
DNCCL,10.100.160.150,,10.164.116.78,,8443,HTTPS,2119189,1486277
DNCCL,10.100.160.70,,10.164.116.24,,8443,HTTPS,3712643,3239984
DNCCL,2001:db8:2582:6d22:97c0:aba4:9daf:66cd,,2001:db8:2582:6d22:bcfc:c24f:daf2:8060,,8443,HTTPS,2471348,3712200
DNCCL,2001:db8:548b:87b5:3c90:f09:9265:4759,,2001:db8:1a2b:3c4d:164f:8572:1573:907b,,8081,HTTP,3067520,2373013
DNCCL,10.164.145.64,,10.164.116.50,,443,HTTPS,1749117,3105512
DNCCL,10.100.160.209,,10.164.145.127,,3306,TCP,3202540,613406
DNCCL,10.164.145.45,,10.165.116.218,,8080,HTTP,491216,935799
DNCCL,2001:db8:2582:6d22:ae7e:542e:4a04:6d47,,2001:db8:2bda:f8d3:455c:9f87:f407:144e,,22,TCP,2808394,1325790
DNCCL,10.100.246.250,,10.164.116.240,,80,HTTP,2818969,3827232
DNCCL,10.100.246.177,,10.100.160.51,,443,HTTPS,507231,1783489
DNCCL,10.164.105.124,,10.164.145.221,,22,TCP,3181121,1581374
DNCCL,10.164.116.28,,10.164.116.232,,3306,TCP,197426,2014631
DNCCL,10.164.116.197,,10.164.144.182,,3306,TCP,3085658,720685
DNCCL,10.164.116.209,,10.165.116.190,,8081,HTTP,977384,670194
DNCCL,10.164.116.54,,10.164.105.132,,1521,TCP,158720,2928518
DNCCL,10.165.116.145,,10.164.116.107,,8081,HTTP,3403327,3337849
DNCCL,2001:db8:ea19:a1e1:afb7:cec3:a8fb:7db6,,2001:db8:4c3a:9f21:1b0d:833f:7cff:3b35,,443,HTTPS,2327858,3821972
DNCCL,10.100.160.74,,10.100.160.244,,389,TCP,2584763,2514665
DNCCL,10.100.246.244,,10.164.144.65,,80,TCP,508217,3655354
DNCCL,2001:db8:2bda:f8d3:b679:a97a:6e58:b0c5,,2001:db8:548b:87b5:d79a:1414:af05:4990,,443,HTTPS,629072,1825943
DNCCL,10.164.144.65,,10.164.105.115,,5432,TCP,3758704,1930747
DNCCL,10.164.116.102,,10.164.116.39,,22,TCP,3878525,1314853
DNCCL,2001:db8:548b:87b5:f3d3:e2c7:3f3d:e20a,,2001:db8:2bda:f8d3:a8c3:e448:6c4e:88ed,,389,TCP,3783215,634940
DNCCL,10.164.116.172,,10.100.160.56,,80,HTTP,2600386,560164
DNCCL,10.100.246.128,,10.164.105.99,,80,HTTP,2343971,490077
DNCCL,10.164.145.62,,10.164.105.119,,80,HTTP,887813,945930
DNCCL,2001:db8:2582:6d22:97be:d57d:fde1:c9ed,,2001:db8:548b:87b5:70e3:f18b:8148:774d,,8080,HTTP,2808353,3224342
DNCCL,10.164.105.129,,10.100.160.72,,22,TCP,1012978,2678617
DNCCL,10.164.144.65,,10.100.246.168,,8081,HTTP,2378768,2153565
DNCCL,10.164.144.179,,10.100.246.29,,,TCP,1527915,378031
DNCCL,10.164.116.27,,10.164.105.212,,8081,HTTP,1853734,2699039
