App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCCO,10.164.145.251,,10.165.116.136,,8080,HTTP,0,0
DNCCO,10.164.145.122,,10.164.105.127,,80,HTTP,207002,1878103
DNCCO,10.164.145.228,,10.165.116.215,,8080,HTTP,1869184,3306266
DNCCO,10.164.144.255,,10.164.116.25,,,TCP,1077677,997587
DNCCO,10.100.160.232,,10.164.116.131,,80,HTTP,240390,3716896
DNCCO,10.165.116.103,,10.164.105.240,,,TCP,3295706,569643
DNCCO,10.164.144.111,,10.164.144.140,,8443,TCP,1506483,3191459
DNCCO,10.100.160.58,,10.100.160.248,,8080,TCP,0,0
DNCCO,2001:db8:ea19:a1e1:6502:5fa5:65ba:ca06,,2001:db8:2582:6d22:821a:221f:ca6a:160f,,8443,HTTPS,2306006,2403123
DNCCO,10.100.246.251,,10.165.116.182,,8081,HTTP,0,0
DNCCO,10.165.116.234,,10.164.144.150,,80,HTTP,2814999,3738677
DNCCO,10.165.116.90,,10.100.160.115,,8443,HTTPS,504473,187036
DNCCO,10.100.246.104,,10.100.160.68,,8081,HTTP,2267387,1768112
DNCCO,10.165.116.154,,10.100.160.74,,8080,TCP,1715923,3498440
DNCCO,10.164.144.71,,10.164.105.133,,8080,TCP,264990,3180018
DNCCO,10.100.246.114,,10.164.144.110,,80,HTTP,3619671,2460771
DNCCO,10.164.116.127,,10.164.144.213,,443,HTTPS,226986,2364682
DNCCO,10.100.160.84,,10.100.160.244,,3306,TCP,964059,2287364
DNCCO,10.164.116.73,,10.164.144.229,,8080,HTTP,1680203,738956
DNCCO,10.100.246.171,,10.164.145.153,,8443,HTTPS,0,0
DNCCO,10.164.145.61,,10.100.246.176,,443,HTTPS,2889805,3942537
DNCCO,10.164.105.185,,10.165.116.125,,80,TCP,233739,2280214
DNCCO,10.164.144.24,,10.164.105.15,,22,TCP,234269,1001461
DNCCO,10.164.145.251,,10.100.246.127,,1521,TCP,3527794,2757086
DNCCO,2001:db8:2bda:f8d3:e60a:f149:9285:2bea,,2001:db8:2582:6d22:d38d:50e6:df01:c92f,,,TCP,3286175,2114629
DNCCO,10.100.246.150,,10.100.160.72,,443,HTTPS,513332,247064
