App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCCS,10.100.246.171,,10.164.145.26,,3306,REST,3706073,1677681
DNCCS,2001:db8:2bda:f8d3:b23c:59d5:5f63:87a5,,2001:db8:2bda:f8d3:546f:adc0:6d9e:72f0,,,SOAP,992381,3564830
DNCCS,10.164.144.49,,10.164.116.157,,22,REST,737386,3775642
DNCCS,10.100.246.166,,10.164.145.78,,8443,HTTPS,0,0
DNCCS,2001:db8:ea19:a1e1:7f41:49af:45a1:21d8,,2001:db8:548b:87b5:4ef8:a52f:dea1:985d,,8443,TLS,806056,438311
DNCCS,10.100.246.66,,10.164.145.223,,,REST,660603,1083790
DNCCS,10.100.246.55,,10.164.116.112,,389,HTTP2-SSL,1120754,509946
DNCCS,10.164.144.251,,10.164.145.6,,8443,HTTP2-SSL,3456296,922448
DNCCS,10.164.145.78,,10.164.105.186,,389,REST,1747044,1836154
DNCCS,2001:db8:1a2b:3c4d:8dc5:b493:eb8f:d2e5,,2001:db8:548b:87b5:a858:1351:9365:8944,,3306,HTTP2-SSL,2067630,3590387
DNCCS,10.164.144.138,,10.164.105.113,,,SOAP,3230357,3475385
DNCCS,10.164.144.25,,10.164.116.246,,1521,REST,2697210,3985596
DNCCS,2001:db8:2bda:f8d3:1d4d:2f8a:ce95:9d98,,2001:db8:2582:6d22:4566:cd2d:4b82:a998,,3306,REST,1159216,563561
DNCCS,2001:db8:2bda:f8d3:d7ea:ea9:6a3f:2412,,2001:db8:548b:87b5:6542:1627:e923:98e9,,3306,REST,1318422,3693143
DNCCS,10.164.144.204,,10.164.116.112,,,REST,2181555,1884925
DNCCS,10.164.145.23,,10.164.116.86,,8080,HTTP2-SSL,1077238,3849978
DNCCS,2001:db8:2bda:f8d3:6196:2a30:2f3e:9be4,,2001:db8:2bda:f8d3:645f:56eb:a5eb:cf60,,8080,TLS,2401276,2267306
DNCCS,10.164.145.30,,10.164.116.191,,3306,HTTP2-SSL,444204,2742194
DNCCS,10.164.144.220,,10.164.105.58,,8443,HTTPS,3861015,120214
DNCCS,10.164.145.152,,10.164.145.157,,,REST,2522789,3408128
DNCCS,10.164.144.56,,10.164.145.247,,5432,REST,2438597,773097
DNCCS,10.100.246.139,,10.164.105.100,,443,HTTPS,2761662,3057679
DNCCS,10.100.246.155,,10.164.105.7,,22,SOAP,1248691,215805
DNCCS,10.164.145.214,,10.164.145.53,,3306,REST,1942508,2134677
DNCCS,10.164.144.63,,10.164.105.124,,3306,TLS,621445,462093
DNCCS,10.164.145.160,,10.164.105.39,,,SOAP,2878837,628647
DNCCS,10.164.144.221,,10.164.116.121,,80,TLS,379645,1886453
DNCCS,2001:db8:2bda:f8d3:6171:3fc2:aae1:42ac,,2001:db8:2bda:f8d3:e8fd:c673:9b59:c5b6,,8443,TLS,1129472,2164663
DNCCS,10.164.144.49,,10.164.145.184,,1521,REST,1926116,2923540
DNCCS,10.164.145.179,,10.164.145.242,,5432,HTTP2-SSL,3856293,2271421
DNCCS,10.164.144.136,,10.164.145.36,,80,REST,2694793,124186
DNCCS,10.164.145.52,,10.164.116.153,,3306,TLS,513717,1273456
DNCCS,10.164.145.96,,10.164.105.249,,80,HTTP2-SSL,3757671,2058736
DNCCS,10.100.246.25,,10.164.145.131,,,HTTP2-SSL,0,0
DNCCS,10.164.145.71,,10.164.116.239,,,HTTP2-SSL,0,0
DNCCS,10.164.144.8,,10.164.105.159,,3306,REST,0,0
DNCCS,2001:db8:1a2b:3c4d:9d5b:467c:9c36:8b30,,2001:db8:2bda:f8d3:7aba:7fbd:8364:824,,8080,HTTP2-SSL,2167710,2776591
DNCCS,10.164.144.93,,10.164.105.85,,,HTTP2-SSL,1031063,3592706
DNCCS,10.164.144.106,,10.164.105.74,,,REST,0,0
DNCCS,10.164.145.167,,10.164.145.72,,3306,HTTP2-SSL,1191257,2573403
DNCCS,10.164.145.239,,10.164.145.97,,,TLS,504959,916793
DNCCS,10.100.246.222,,10.164.116.151,,5432,HTTP2-SSL,3555975,359769
DNCCS,10.100.246.234,,10.164.116.80,,80,REST,0,0
DNCCS,10.164.144.198,,10.164.145.148,,443,HTTPS,2650181,2679198
DNCCS,10.164.145.214,,10.164.105.158,,443,HTTPS,3028193,1612910
