App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCCW,10.164.145.34,,10.164.116.57,,443,HTTPS,3322745,2288102
DNCCW,10.100.246.96,,10.165.116.194,,5432,TCP,433550,1832309
DNCCW,10.164.116.243,,10.100.160.34,,8081,HTTP,2019707,1434963
DNCCW,10.100.160.153,,10.165.116.92,,8443,HTTPS,2712141,516365
DNCCW,10.165.116.236,,10.100.160.45,,8443,HTTPS,503866,2994729
DNCCW,10.164.145.227,,10.100.246.241,,389,TCP,3474899,2081702
DNCCW,10.164.105.83,,10.164.116.135,,8081,HTTP,437000,2379491
DNCCW,10.100.160.197,,10.100.246.226,,8443,HTTPS,3723645,204781
DNCCW,10.164.144.102,,10.165.116.236,,1521,TCP,0,0
DNCCW,10.164.144.123,,10.164.144.141,,8443,HTTPS,988329,2415700
DNCCW,10.165.116.38,,10.100.160.159,,8080,TCP,1408454,2091269
DNCCW,10.164.145.183,,10.100.246.225,,8080,TCP,2119648,3940656
DNCCW,2001:db8:2bda:f8d3:3ded:f8f:2f2:4afa,,2001:db8:4c3a:9f21:c6cd:2867:5189:a258,,8080,HTTP,2848538,2197197
DNCCW,10.100.246.32,,10.164.145.21,,8443,HTTPS,1341159,2622077
DNCCW,10.164.116.96,,10.164.116.29,,8081,HTTP,112510,2502900
DNCCW,10.100.160.142,,10.165.116.203,,8080,HTTP,0,0
DNCCW,10.164.144.20,,10.164.144.110,,8443,HTTPS,1794364,3158001
DNCCW,10.100.160.68,,10.164.116.35,,,TCP,3145983,2724954
DNCCW,2001:db8:ea19:a1e1:57eb:1444:b3f6:5ceb,,2001:db8:548b:87b5:c3e1:746d:e07:e674,,8080,HTTP,409115,1544447
DNCCW,10.100.246.121,,10.164.116.21,,8081,HTTP,1982510,3858004
DNCCW,10.164.145.95,,10.100.246.11,,3306,TCP,2367760,2483383
DNCCW,10.164.145.11,,10.165.116.164,,443,TCP,3221754,1051384
DNCCW,10.100.160.14,,10.100.160.233,,8443,TCP,740290,3837291
DNCCW,10.165.116.72,,10.164.145.116,,8443,HTTPS,3837827,3973296
DNCCW,10.164.116.138,,10.164.116.192,,8081,HTTP,1463930,957759
DNCCW,10.100.246.144,,10.164.105.79,,8081,HTTP,2455324,2634715
DNCCW,10.164.144.225,,10.164.116.183,,8081,HTTP,1298628,1933803
DNCCW,10.100.160.224,,10.100.160.190,,8080,HTTP,1637995,468090
DNCCW,10.164.105.229,,10.164.145.123,,8080,HTTP,2357208,2958098
DNCCW,10.100.160.185,,10.165.116.46,,8080,HTTP,705615,870030
