App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCER,10.164.145.55,,10.164.105.44,,8443,HTTPS,2115543,2324218
DNCER,10.100.160.140,,10.164.144.145,,8443,HTTPS,2889792,2135164
DNCER,10.164.116.100,,10.100.246.228,,443,HTTPS,0,0
DNCER,10.100.246.91,,10.100.246.254,,8081,HTTP,1853959,329715
DNCER,10.165.116.195,,10.100.246.224,,8443,HTTPS,3163630,3956013
DNCER,2001:db8:2bda:f8d3:530c:4dd1:d762:b852,,2001:db8:2bda:f8d3:f7c8:9df0:88f4:f9d0,,80,HTTP,0,0
DNCER,10.100.246.169,,10.164.116.47,,8443,HTTPS,3696853,1433749
DNCER,10.164.144.32,,10.164.145.150,,8443,TCP,3087572,2286352
DNCER,10.100.160.247,,10.100.246.24,,8443,HTTPS,2872147,2234918
DNCER,10.100.160.223,,10.164.105.209,,,TCP,0,0
DNCER,10.164.105.121,,10.165.116.212,,80,HTTP,548862,3863967
DNCER,10.100.160.84,,10.100.246.94,,8080,HTTP,426513,3195250
DNCER,10.164.105.78,,10.164.105.184,,8443,HTTPS,2453991,1997241
DNCER,10.164.145.58,,10.164.105.194,,443,HTTPS,685414,123843
DNCER,10.100.246.63,,10.164.116.42,,389,TCP,310519,351087
DNCER,10.165.116.26,,10.165.116.16,,8443,HTTPS,1957418,2976329
DNCER,10.164.105.248,,10.164.116.126,,8081,HTTP,2806137,1008469
DNCER,10.165.116.96,,10.164.144.65,,443,HTTPS,2406013,3421953
DNCER,10.164.116.134,,10.165.116.127,,8081,HTTP,0,0
DNCER,10.165.116.254,,10.165.116.105,,22,TCP,3843641,1423889
DNCER,10.164.116.242,,10.164.145.54,,443,HTTPS,2055551,323691
DNCER,10.164.105.141,,10.164.116.178,,443,HTTPS,2624541,357045
DNCER,10.164.144.152,,10.165.116.239,,443,HTTPS,329247,3524132
DNCER,10.164.116.207,,10.164.105.169,,8443,HTTPS,844259,1222359
DNCER,10.164.145.72,,10.164.144.143,,80,TCP,2529420,824594
DNCER,10.100.160.22,,10.165.116.47,,443,HTTPS,0,0
DNCER,10.164.144.49,,10.164.105.70,,8443,HTTPS,428271,981694
DNCER,10.164.105.55,,10.164.105.198,,8443,HTTPS,792773,1064394
DNCER,2001:db8:4c3a:9f21:73b7:c1bb:e7f2:6c47,,2001:db8:1a2b:3c4d:5f2d:90fe:79e2:ab5,,443,HTTPS,3249516,293948
DNCER,10.100.160.13,,10.164.116.243,,22,TCP,2236902,3232981
DNCER,10.164.116.158,,10.164.105.216,,8081,HTTP,1019549,425592
DNCER,10.164.145.111,,10.164.145.118,,8443,HTTPS,3501587,1180205
DNCER,10.164.116.28,,10.164.145.182,,8443,HTTPS,0,0
DNCER,10.100.160.174,,10.164.105.214,,443,HTTPS,681314,1238482
DNCER,10.100.160.40,,10.100.160.76,,8080,HTTP,2203060,2204786
DNCER,10.165.116.105,,10.164.145.10,,8081,HTTP,601166,1220864
DNCER,10.100.246.239,,10.164.105.10,,8443,HTTPS,0,0
DNCER,10.165.116.95,,10.100.160.153,,8081,HTTP,3531433,1540935
DNCER,10.164.116.224,,10.164.105.35,,443,TCP,1668097,3490131
DNCER,10.100.246.249,,10.165.116.107,,8080,TCP,1351926,759820
DNCER,10.165.116.219,,10.100.160.118,,8443,HTTPS,1892747,2315939
DNCER,10.100.160.6,,10.164.144.7,,,TCP,2426954,2949179
DNCER,10.164.145.97,,10.164.116.95,,8443,HTTPS,1567891,244557
DNCER,10.164.144.79,,10.165.116.199,,80,HTTP,0,0
DNCER,10.100.246.83,,10.164.116.15,,80,HTTP,1923259,1837206
DNCER,10.100.160.157,,10.100.160.252,,3306,TCP,2527707,3079680
DNCER,10.100.160.59,,10.100.160.207,,8443,HTTPS,1025387,3225257
DNCER,10.164.105.73,,10.164.116.96,,8443,HTTPS,3405981,211651
DNCER,10.100.246.241,,10.164.144.2,,443,HTTPS,117297,268143
DNCER,2001:db8:2bda:f8d3:3c5c:b061:5be3:c697,,2001:db8:ea19:a1e1:2ab4:1975:bff2:e281,,443,HTTPS,2515337,3113621
DNCER,10.164.144.15,,10.165.116.149,,8080,HTTP,397309,3662182
DNCER,10.164.144.47,,10.100.246.146,,8081,HTTP,860642,1205454
DNCER,10.165.116.51,,10.165.116.62,,80,HTTP,2481225,284468
DNCER,10.164.144.206,,10.100.160.186,,8081,HTTP,0,0
DNCER,10.164.145.217,,10.164.144.10,,,TCP,1561234,323147
DNCER,10.100.246.7,,10.164.105.201,,22,TCP,3390831,3603485
DNCER,10.100.160.178,,10.100.160.79,,80,HTTP,2872588,1892918
DNCER,10.100.246.160,,10.100.160.220,,8080,HTTP,2351753,1843501
DNCER,10.100.160.130,,10.100.160.210,,443,HTTPS,1266238,795515
DNCER,10.164.144.6,,10.164.144.56,,,TCP,1960590,1203489
DNCER,10.164.116.49,,10.100.160.8,,80,HTTP,2229198,3504637
DNCER,10.164.145.114,,10.164.105.114,,8080,HTTP,3373208,3332157
DNCER,10.164.145.107,,10.100.246.120,,8080,HTTP,286241,584887
DNCER,2001:db8:2582:6d22:6fe5:2124:d08d:20a1,,2001:db8:2582:6d22:926:3b94:ceb:27bb,,8081,HTTP,461910,3675439
DNCER,10.164.116.137,,10.164.145.255,,443,HTTPS,2713676,1002809
DNCER,10.164.105.43,,10.165.116.146,,5432,TCP,3954181,3855459
DNCER,10.100.160.179,,10.164.105.24,,443,HTTPS,2211308,2117115
DNCER,10.164.116.50,,10.164.105.108,,8443,TCP,3184483,3139154
DNCER,10.164.116.143,,10.164.144.140,,8080,HTTP,2348120,2776821
DNCER,2001:db8:2bda:f8d3:166f:8cbd:8aab:1eb9,,2001:db8:2bda:f8d3:da44:ca8d:4c5f:ba9f,,8443,HTTPS,842249,2684271
DNCER,10.100.160.165,,10.164.105.232,,22,TCP,1146913,1058562
DNCER,10.164.144.24,,10.164.144.216,,80,HTTP,1784555,285480
DNCER,10.100.246.249,,10.165.116.42,,8443,TCP,0,0
DNCER,10.164.116.246,,10.164.145.239,,8080,HTTP,3662288,3348857
DNCER,10.100.160.0,,10.165.116.222,,443,HTTPS,1361131,585820
DNCER,10.164.116.184,,10.164.144.196,,80,HTTP,456279,3538739
DNCER,10.165.116.66,,10.165.116.44,,443,HTTPS,2116681,1413707
DNCER,10.164.105.121,,10.165.116.11,,8443,HTTPS,1449624,1036220
DNCER,10.164.145.134,,10.164.144.68,,8443,HTTPS,2527938,496134
DNCER,10.100.160.163,,10.164.116.202,,8443,HTTPS,1014132,1149998
DNCER,10.100.246.195,,10.165.116.143,,443,HTTPS,823699,220167
DNCER,10.165.116.78,,10.100.246.173,,8081,HTTP,0,0
DNCER,10.100.246.30,,10.164.105.235,,8080,HTTP,2727277,1130175
DNCER,10.164.144.20,,10.100.160.178,,389,TCP,3937027,2391481
DNCER,2001:db8:4c3a:9f21:e731:1279:c107:7860,,2001:db8:1a2b:3c4d:ef8f:70ac:29e0:ad7a,,8081,HTTP,3385816,979578
DNCER,10.100.246.96,,10.100.160.70,,443,HTTPS,2435866,473017
DNCER,10.164.116.48,,10.164.116.61,,80,TCP,831940,323429
DNCER,10.164.145.33,,10.164.116.255,,8080,HTTP,2008424,3274491
DNCER,2001:db8:2bda:f8d3:8081:200c:10fc:7d25,,2001:db8:4c3a:9f21:8749:761c:a38a:c683,,,TCP,0,0
DNCER,10.164.145.30,,10.164.145.86,,443,HTTPS,1258829,3558422
DNCER,2001:db8:ea19:a1e1:2962:dfbb:921a:9d37,,2001:db8:ea19:a1e1:f064:d78a:7df5:1320,,8080,HTTP,1147756,2805747
DNCER,10.164.105.193,,10.164.105.38,,8443,HTTPS,1887943,2452482
