App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCIT,10.100.160.100,,10.100.160.105,,8080,HTTP,2704822,3288443
DNCIT,10.164.144.53,,10.100.160.149,,8443,HTTPS,3212722,2984121
DNCIT,10.100.160.7,,10.165.116.114,,,TCP,3824551,650726
DNCIT,10.164.116.240,,10.164.144.193,,443,HTTPS,668815,1681237
DNCIT,10.165.116.197,,10.164.144.80,,8443,HTTPS,3746077,2000073
DNCIT,10.165.116.217,,10.100.246.192,,8080,HTTP,3959722,3896344
DNCIT,10.100.160.190,,10.164.116.230,,8081,HTTP,1441144,2618525
DNCIT,10.164.116.109,,10.164.116.8,,,TCP,1434221,242580
DNCIT,10.164.145.127,,10.164.145.243,,,TCP,1039426,2473690
DNCIT,10.164.105.47,,10.100.160.89,,8080,HTTP,2458832,2197610
DNCIT,10.164.144.125,,10.164.116.188,,8080,HTTP,112669,3220057
DNCIT,10.164.144.107,,10.164.116.69,,80,TCP,2776757,1493641
DNCIT,10.165.116.85,,10.165.116.7,,,TCP,3353644,2936128
DNCIT,10.100.246.170,,10.164.105.255,,8081,HTTP,0,0
DNCIT,10.164.145.16,,10.164.116.224,,443,HTTPS,3591905,3014896
DNCIT,10.164.144.65,,10.164.116.96,,443,HTTPS,1550369,3207494
DNCIT,10.164.105.40,,10.165.116.251,,8080,HTTP,112803,2776658
DNCIT,10.165.116.203,,10.100.160.249,,22,TCP,3264509,3335016
DNCIT,10.100.160.193,,10.164.105.122,,80,HTTP,1872067,1667240
DNCIT,10.100.246.128,,10.164.144.53,,80,HTTP,2747194,3018959
DNCIT,10.164.116.136,,10.164.145.5,,8443,HTTPS,787667,2447313
DNCIT,2001:db8:2bda:f8d3:d8e0:4009:2486:7c1c,,2001:db8:2bda:f8d3:6c81:2f87:65ec:1da4,,443,TCP,2242496,2050738
DNCIT,2001:db8:548b:87b5:265c:85c2:5b8:d242,,2001:db8:1a2b:3c4d:3e06:ff5d:142a:42bb,,8443,HTTPS,0,0
DNCIT,10.164.116.46,,10.164.144.242,,22,TCP,3871214,3064281
DNCIT,2001:db8:2582:6d22:586f:75ec:f1a5:3b61,,2001:db8:1a2b:3c4d:53e1:a9fc:4cce:ed50,,,TCP,3704494,965876
DNCIT,10.165.116.212,,10.164.144.154,,443,HTTPS,1563565,2850960
DNCIT,10.100.160.195,,10.164.145.102,,1521,TCP,2234781,1776113
DNCIT,2001:db8:548b:87b5:5358:efa9:3573:6a78,,2001:db8:548b:87b5:cdb2:95b4:e638:d030,,443,HTTPS,0,0
DNCIT,10.164.116.236,,10.164.105.10,,8081,HTTP,1925196,2672494
DNCIT,10.100.246.245,,10.100.160.248,,443,HTTPS,3548803,3648496
DNCIT,2001:db8:1a2b:3c4d:6ee6:3b65:efbe:b0f5,,2001:db8:548b:87b5:957f:b15d:c558:52ee,,8443,HTTPS,1006274,1551648
DNCIT,10.100.160.100,,10.164.105.179,,443,HTTPS,3595825,2284127
DNCIT,10.164.116.78,,10.164.145.131,,8443,HTTPS,1626685,512412
DNCIT,10.164.116.25,,10.164.144.17,,8081,HTTP,2849316,2544644
DNCIT,10.100.246.143,,10.100.246.120,,8443,HTTPS,3272338,2079914
DNCIT,10.165.116.81,,10.164.144.8,,80,HTTP,0,0
DNCIT,10.164.145.77,,10.164.145.124,,80,HTTP,1433079,2543317
DNCIT,2001:db8:4c3a:9f21:1ea6:2f5c:c90c:f426,,2001:db8:2582:6d22:9b87:27d9:e940:7911,,8443,HTTPS,2507075,3217469
DNCIT,10.100.160.108,,10.100.246.1,,8443,TCP,3279924,2331393
DNCIT,10.100.160.87,,10.165.116.137,,80,HTTP,1838272,2171446
DNCIT,10.164.116.223,,10.164.144.4,,8081,HTTP,0,0
DNCIT,2001:db8:1a2b:3c4d:b402:368f:fba2:40dc,,2001:db8:2bda:f8d3:1f74:68b2:90a3:df1f,,443,HTTPS,0,0
