App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCOR,10.164.116.235,,10.164.145.70,,8443,HTTPS,1584989,3027860
DNCOR,2001:db8:548b:87b5:1a80:f44e:40f1:8e4e,,2001:db8:2bda:f8d3:89cb:64b8:9c21:dffa,,8080,TCP,1317293,1297195
DNCOR,10.164.144.99,,10.164.116.192,,80,TCP,988914,2294396
DNCOR,10.100.160.224,,10.100.246.118,,,TCP,781067,1013111
DNCOR,10.164.105.221,,10.164.145.102,,8081,HTTP,3141039,1001097
DNCOR,10.164.145.128,,10.164.105.53,,8080,HTTP,671979,2287228
DNCOR,10.165.116.244,,10.164.105.177,,443,HTTPS,1264026,1182819
DNCOR,10.164.116.159,,10.164.116.109,,8080,HTTP,426988,114665
DNCOR,10.100.160.17,,10.100.160.197,,8443,HTTPS,865485,3269472
DNCOR,10.164.145.65,,10.100.160.137,,8080,HTTP,2879807,2354874
DNCOR,10.164.105.188,,10.164.144.163,,,TCP,2835072,3024967
DNCOR,10.100.246.252,,10.164.105.69,,443,HTTPS,3220096,1451590
DNCOR,2001:db8:2582:6d22:22:cc35:b695:1195,,2001:db8:2582:6d22:2fec:507f:2c5c:a8b8,,80,HTTP,2865632,3592782
DNCOR,10.164.105.146,,10.165.116.243,,1521,TCP,2551426,642389
DNCOR,10.165.116.121,,10.100.246.2,,8080,HTTP,2404959,659978
DNCOR,10.165.116.24,,10.100.246.89,,,TCP,2790092,2206497
DNCOR,10.165.116.87,,10.164.145.18,,443,HTTPS,1594923,842123
DNCOR,2001:db8:2bda:f8d3:adc1:a68c:5872:f528,,2001:db8:1a2b:3c4d:909d:711a:7db9:a876,,8080,TCP,2154774,3729415
DNCOR,2001:db8:1a2b:3c4d:2ae2:fc62:2e0:2be7,,2001:db8:4c3a:9f21:5d2:f243:163f:efeb,,443,HTTPS,810411,2109881
DNCOR,10.164.145.184,,10.100.246.237,,443,HTTPS,1496528,3408568
DNCOR,10.100.160.108,,10.164.105.86,,80,HTTP,1073213,847462
DNCOR,10.165.116.239,,10.164.144.242,,443,HTTPS,152634,1077176
DNCOR,10.164.116.177,,10.164.144.25,,8081,HTTP,1474736,722524
DNCOR,2001:db8:4c3a:9f21:95e5:7b3d:cbd3:b5f0,,2001:db8:4c3a:9f21:936e:73c7:d264:c78,,443,HTTPS,2370605,1469712
DNCOR,10.100.246.71,,10.164.145.213,,80,HTTP,190328,2501398
DNCOR,10.100.160.143,,10.164.105.56,,,TCP,561289,1665651
DNCOR,10.164.145.151,,10.164.116.250,,3306,TCP,2673910,2923430
DNCOR,10.100.246.74,,10.164.144.161,,8443,HTTPS,2222904,1271403
DNCOR,10.100.246.69,,10.164.145.226,,8443,HTTPS,0,0
DNCOR,10.100.160.94,,10.100.246.173,,8443,HTTPS,0,0
DNCOR,10.164.116.254,,10.100.160.26,,443,TCP,0,0
DNCOR,10.100.160.118,,10.164.144.187,,8443,TCP,3886348,1565201
DNCOR,2001:db8:2582:6d22:4405:53b4:33b5:f513,,2001:db8:2bda:f8d3:162f:270f:a19f:2ab0,,8081,HTTP,3126637,2378738
DNCOR,10.164.145.56,,10.100.246.139,,443,HTTPS,0,0
DNCOR,2001:db8:548b:87b5:1daa:be22:ff92:861a,,2001:db8:548b:87b5:ce4e:8f8e:9ee4:5c9b,,8443,HTTPS,2605718,3075734
