App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNCWS,10.100.246.37,,10.164.145.155,,,HTTP2-SSL,1933873,3440312
DNCWS,10.100.246.192,,10.164.145.77,,22,HTTP2-SSL,933116,1229572
DNCWS,10.100.246.156,,10.164.144.187,,443,HTTP-TUNNEL/HTTPS,2363795,2229357
DNCWS,10.164.144.106,,10.164.144.2,,80,HTTP,1275592,2027047
DNCWS,2001:db8:1a2b:3c4d:fdc8:fda:6704:e8d7,,2001:db8:ea19:a1e1:ea86:4da7:5b08:3d8c,,8080,HTTP-TUNNEL/HTTPS,0,0
DNCWS,2001:db8:ea19:a1e1:9412:ba97:ae7e:ce3e,,2001:db8:ea19:a1e1:e38:62b3:b9b6:1edd,,1521,HTTP-TUNNEL/HTTPS,1027152,999091
DNCWS,10.100.246.255,,10.164.144.125,,80,HTTP,826287,968282
DNCWS,2001:db8:ea19:a1e1:92e:9b1b:6471:c2c0,,2001:db8:2bda:f8d3:54e0:1b03:d21a:93dc,,8080,HTTP,2955352,2227780
DNCWS,10.164.144.177,,10.164.145.45,,80,HTTP,2799771,3304713
DNCWS,10.164.144.69,,10.164.144.235,,443,HTTPS,534227,1498454
DNCWS,10.100.246.11,,10.164.145.251,,5432,HTTP-TUNNEL/HTTPS,1996936,2740499
DNCWS,10.100.246.180,,10.164.144.84,,8080,HTTP,2277145,1789994
DNCWS,10.164.144.175,,10.164.145.121,,443,HTTP2-SSL,0,0
DNCWS,10.164.144.61,,10.164.145.80,,443,HTTPS,1395411,3496572
DNCWS,10.164.144.142,,10.164.145.232,,389,HTTP2-SSL,1989407,3588591
DNCWS,10.164.144.154,,10.164.145.168,,8081,HTTP,1600903,1542911
DNCWS,10.100.246.131,,10.164.144.67,,,HTTP-TUNNEL/HTTPS,2511793,1069339
DNCWS,10.100.246.119,,10.164.145.66,,1521,HTTP-TUNNEL/HTTPS,2163282,1283448
DNCWS,2001:db8:ea19:a1e1:4391:c2e:5293:fa3c,,2001:db8:2bda:f8d3:eba8:422:a331:616b,,,HTTP2-SSL,968865,1672410
DNCWS,10.100.246.239,,10.164.145.225,,443,HTTPS,0,0
DNCWS,10.164.144.130,,10.164.144.204,,22,HTTP-TUNNEL/HTTPS,1941419,1689625
DNCWS,10.100.246.80,,10.164.144.42,,8443,HTTPS,555177,2655610
DNCWS,10.164.144.173,,10.164.145.5,,389,HTTP2-SSL,0,0
DNCWS,2001:db8:1a2b:3c4d:a275:2d76:faf3:c9c0,,2001:db8:ea19:a1e1:1247:2e5c:2939:e852,,,HTTP-TUNNEL/HTTPS,2437936,3800970
DNCWS,10.164.144.156,,10.164.144.137,,3306,HTTP2-SSL,849316,3775695
DNCWS,10.164.144.175,,10.164.145.104,,80,HTTP,1741735,1888804
DNCWS,10.164.144.164,,10.164.145.166,,80,HTTP2-SSL,874378,1324761
DNCWS,2001:db8:ea19:a1e1:19a2:4681:8f51:e1d1,,2001:db8:2bda:f8d3:f5aa:fb37:dbd:2d09,,443,HTTPS,2822279,3207231
DNCWS,10.100.246.94,,10.164.144.77,,80,HTTP,1795026,1089788
DNCWS,10.164.144.23,,10.164.145.206,,443,HTTPS,2818177,1490526
DNCWS,10.100.246.9,,10.164.144.3,,3306,HTTP-TUNNEL/HTTPS,1731594,3234109
DNCWS,10.164.144.9,,10.164.145.59,,443,HTTPS,1411785,2327748
DNCWS,10.100.246.173,,10.164.144.113,,8443,HTTP2-SSL,2310477,3857060
DNCWS,10.100.246.31,,10.164.145.218,,5432,HTTP-TUNNEL/HTTPS,0,0
DNCWS,10.100.246.93,,10.164.144.61,,8081,HTTP,1592056,2186142
DNCWS,10.100.246.9,,10.164.144.177,,8443,HTTP2-SSL,1182518,1222891
DNCWS,10.164.144.180,,10.164.145.162,,80,HTTP,2125331,3298936
DNCWS,10.100.246.200,,10.164.144.27,,389,HTTP-TUNNEL/HTTPS,2609287,1982486
DNCWS,10.164.144.208,,10.164.144.198,,80,HTTP,630619,2477371
DNCWS,10.164.144.176,,10.164.144.145,,,HTTP2-SSL,634171,2117056
DNCWS,10.100.246.130,,10.164.144.48,,,HTTP-TUNNEL/HTTPS,1479603,3537238
DNCWS,10.100.246.133,,10.164.145.71,,80,HTTP,1966070,1022062
DNCWS,10.100.246.116,,10.164.145.226,,,HTTP-TUNNEL/HTTPS,0,0
DNCWS,10.100.246.178,,10.164.144.12,,,HTTP2-SSL,1215792,2041150
DNCWS,10.100.246.157,,10.164.144.53,,443,HTTP2-SSL,1591682,826623
DNCWS,10.164.144.249,,10.164.145.178,,8080,HTTP,2180162,3358004
DNCWS,10.164.144.102,,10.164.144.233,,8081,HTTP,764518,2469185
DNCWS,10.100.246.244,,10.164.145.206,,443,HTTPS,548095,3413416
DNCWS,10.100.246.51,,10.164.145.156,,8080,HTTP,2917766,1580024
DNCWS,10.100.246.239,,10.164.144.194,,,HTTP-TUNNEL/HTTPS,2415639,1966701
DNCWS,10.100.246.208,,10.164.145.192,,5432,HTTP-TUNNEL/HTTPS,1363925,3668356
