App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNDNS,10.164.116.58,,10.164.144.48,,8081,HTTP,1647924,2564801
DNDNS,10.164.145.36,,10.164.105.253,,22,TCP,1361661,2158103
DNDNS,10.100.160.139,,10.164.145.104,,80,TCP,0,0
DNDNS,10.100.246.103,,10.165.116.60,,8081,HTTP,0,0
DNDNS,2001:db8:ea19:a1e1:2115:d7c0:bdd4:c3ac,,2001:db8:ea19:a1e1:cfef:5d6c:740f:6752,,8080,HTTP,0,0
DNDNS,10.164.116.223,,10.165.116.49,,8443,HTTPS,3816649,642989
DNDNS,10.164.145.34,,10.100.160.88,,8080,HTTP,3470821,3008609
DNDNS,10.100.246.4,,10.164.116.12,,8443,HTTPS,281193,2552260
DNDNS,10.100.246.229,,10.164.105.137,,443,HTTPS,1818496,3010518
DNDNS,10.164.145.158,,10.100.160.236,,,TCP,1719718,2719437
DNDNS,10.100.246.149,,10.100.246.204,,8080,HTTP,2644076,2725023
DNDNS,10.164.116.89,,10.100.246.235,,8443,TCP,3039327,587106
DNDNS,10.164.116.210,,10.164.144.123,,,TCP,1369082,3266303
DNDNS,10.165.116.184,,10.164.116.23,,443,HTTPS,2488979,3847914
DNDNS,10.165.116.164,,10.100.160.199,,443,HTTPS,680563,2436750
DNDNS,2001:db8:2bda:f8d3:333e:9c:847d:f89,,2001:db8:2582:6d22:9976:a2f6:7532:2170,,8080,HTTP,0,0
DNDNS,10.164.116.85,,10.100.160.205,,443,HTTPS,3608543,3285268
DNDNS,10.100.246.66,,10.100.246.127,,443,HTTPS,0,0
DNDNS,10.164.145.241,,10.165.116.4,,8081,HTTP,2120489,3164979
DNDNS,2001:db8:548b:87b5:a1ab:c173:5066:65c2,,2001:db8:2582:6d22:2634:44a1:25be:e7a4,,389,TCP,2396796,534086
DNDNS,2001:db8:1a2b:3c4d:2644:3ffe:e56f:107a,,2001:db8:548b:87b5:7eb0:cc13:2a9a:6c2d,,8080,TCP,1223749,399489
DNDNS,10.100.246.109,,10.164.144.41,,8081,HTTP,2549924,2818708
DNDNS,10.100.160.84,,10.164.145.109,,443,HTTPS,632273,840105
DNDNS,10.164.116.202,,10.100.246.61,,8443,HTTPS,440085,290409
DNDNS,2001:db8:4c3a:9f21:e831:b595:ea71:fc0e,,2001:db8:2582:6d22:a4a6:ec2d:3d69:410c,,8081,HTTP,1433817,3101783
DNDNS,10.164.144.133,,10.100.246.176,,8443,HTTPS,3562008,1366345
DNDNS,2001:db8:2582:6d22:c5b3:98d6:436c:aa,,2001:db8:ea19:a1e1:e898:3e90:2a51:17b0,,8443,HTTPS,2672430,2964298
DNDNS,10.164.145.129,,10.164.116.186,,443,HTTPS,2300577,989292
DNDNS,10.164.105.113,,10.100.246.74,,443,HTTPS,3253110,3894190
DNDNS,10.164.116.2,,10.100.160.126,,22,TCP,2144771,1119904
DNDNS,10.164.116.186,,10.164.116.182,,8443,HTTPS,3895064,2140637
DNDNS,10.100.160.239,,10.164.105.119,,8443,TCP,2203610,988654
DNDNS,10.164.144.126,,10.164.145.149,,443,HTTPS,1469532,1932151
DNDNS,10.100.246.194,,10.164.116.53,,443,HTTPS,2043365,3196879
DNDNS,2001:db8:2bda:f8d3:b3e:1aea:e6c7:8416,,2001:db8:2bda:f8d3:a1c9:bcd0:9b08:aa1d,,80,TCP,3788035,2509333
DNDNS,10.164.145.68,,10.164.105.232,,8080,HTTP,585875,3749364
DNDNS,10.164.116.27,,10.164.145.40,,8081,HTTP,3007977,3582610
DNDNS,2001:db8:2582:6d22:5482:10a2:a357:ff48,,2001:db8:548b:87b5:6436:66fe:b18b:a37a,,8080,HTTP,2112916,1139331
DNDNS,2001:db8:2582:6d22:b374:39f9:1fdc:f0ad,,2001:db8:2582:6d22:a0bd:1695:7cfa:baee,,443,HTTPS,1085838,176116
DNDNS,10.100.246.69,,10.165.116.112,,443,HTTPS,3958117,140715
DNDNS,10.164.144.245,,10.165.116.61,,8081,HTTP,1412736,3413533
DNDNS,10.164.145.99,,10.165.116.28,,80,TCP,898486,3252028
DNDNS,10.100.246.225,,10.164.145.112,,3306,TCP,0,0
DNDNS,10.165.116.55,,10.165.116.255,,8443,HTTPS,2470417,3655753
DNDNS,10.164.145.90,,10.100.160.68,,8081,HTTP,263552,2708588
DNDNS,10.164.145.202,,10.100.246.107,,443,HTTPS,2738529,263550
DNDNS,2001:db8:2582:6d22:8fd1:bc2a:75c1:7c6a,,2001:db8:1a2b:3c4d:c4b4:87db:a51:ca64,,443,HTTPS,3671877,1725319
DNDNS,10.100.246.201,,10.164.105.245,,5432,TCP,3029798,2668287
DNDNS,10.100.246.131,,10.100.246.139,,8081,HTTP,369518,603318
DNDNS,2001:db8:ea19:a1e1:ab3d:2457:4341:d4d3,,2001:db8:548b:87b5:52ab:7f21:2cdf:8f26,,80,HTTP,161794,3189285
DNDNS,10.164.144.253,,10.165.116.69,,8081,HTTP,1364266,835744
