App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNENG,2001:db8:2582:6d22:2a22:ab0a:794d:d941,,2001:db8:548b:87b5:c1c:c6d6:5225:5245,,8443,TCP,3851422,3110968
DNENG,10.100.246.243,,10.164.145.86,,8080,HTTP,3792037,1297240
DNENG,10.164.105.6,,10.164.105.126,,443,HTTPS,1999738,2518311
DNENG,2001:db8:548b:87b5:2604:cb7f:70b8:647,,2001:db8:1a2b:3c4d:600a:a90a:9e65:5e78,,8443,HTTPS,2281715,902209
DNENG,10.164.105.208,,10.164.144.103,,443,HTTPS,1780498,1887665
DNENG,10.165.116.6,,10.164.105.19,,80,HTTP,2057670,3120960
DNENG,10.100.160.255,,10.164.144.199,,8081,HTTP,162981,1012281
DNENG,10.100.160.182,,10.100.246.155,,80,HTTP,2947222,3110807
DNENG,2001:db8:4c3a:9f21:5537:2183:61e0:5f98,,2001:db8:548b:87b5:d429:b1c8:aa50:bf19,,8443,HTTPS,0,0
DNENG,10.165.116.64,,10.164.145.114,,8081,HTTP,1784201,242377
DNENG,2001:db8:4c3a:9f21:c5f5:2b34:7cd3:a02e,,2001:db8:2bda:f8d3:a27e:6f19:82d4:d858,,8443,TCP,3982303,2366281
DNENG,10.164.105.17,,10.164.116.242,,1521,TCP,1059907,1514663
DNENG,2001:db8:548b:87b5:1494:1a7d:3103:97b1,,2001:db8:4c3a:9f21:d2ec:b5b2:ac60:a51,,8080,HTTP,942978,3976739
DNENG,10.164.105.203,,10.164.116.53,,80,TCP,2312781,2345742
DNENG,10.164.105.163,,10.164.105.99,,8081,HTTP,2621088,2896189
DNENG,10.165.116.41,,10.100.246.218,,8443,HTTPS,0,0
DNENG,10.164.144.228,,10.164.144.146,,8443,HTTPS,3057812,2091338
DNENG,10.164.116.231,,10.100.160.165,,8080,HTTP,2035157,1296111
DNENG,10.164.116.203,,10.164.144.20,,8443,HTTPS,3193837,1523077
DNENG,10.164.145.191,,10.164.105.212,,8081,HTTP,1071577,3995817
DNENG,10.164.105.42,,10.164.105.36,,8443,HTTPS,1885882,1626213
DNENG,10.164.144.176,,10.100.160.196,,389,TCP,0,0
DNENG,10.164.116.76,,10.100.246.13,,1521,TCP,1769524,1098917
DNENG,10.100.246.142,,10.100.246.209,,5432,TCP,2761656,1396317
DNENG,10.164.145.248,,10.164.145.171,,8081,HTTP,3541185,2359584
DNENG,10.100.160.115,,10.100.246.116,,443,HTTPS,1204866,2538753
DNENG,10.100.246.166,,10.164.105.84,,443,HTTPS,3226194,133488
DNENG,10.164.116.164,,10.164.116.106,,8080,HTTP,2660811,1980973
DNENG,10.164.144.10,,10.165.116.10,,,TCP,0,0
DNENG,10.164.145.214,,10.100.160.204,,80,HTTP,0,0
DNENG,10.100.246.131,,10.164.116.157,,443,HTTPS,1741985,702488
DNENG,10.100.246.176,,10.164.116.1,,,TCP,2653969,3300914
DNENG,10.164.105.43,,10.164.144.78,,,TCP,2507099,588346
DNENG,10.164.145.167,,10.164.116.80,,80,HTTP,2584463,2046144
DNENG,10.164.144.85,,10.164.116.147,,8443,TCP,0,0
DNENG,10.164.144.242,,10.100.246.22,,1521,TCP,0,0
DNENG,10.165.116.135,,10.164.116.59,,8081,HTTP,1456600,139972
DNENG,10.164.145.67,,10.164.144.104,,3306,TCP,3680963,2962979
DNENG,10.164.116.52,,10.164.145.250,,80,HTTP,2777747,225076
DNENG,10.164.145.178,,10.164.116.53,,80,HTTP,1692866,1275231
DNENG,10.100.160.95,,10.164.116.97,,8443,HTTPS,2926830,3759119
DNENG,10.164.145.201,,10.164.116.16,,,TCP,1315807,3018340
