App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNESR,10.164.145.184,,10.164.145.187,,80,TLS,0,0
DNESR,10.100.246.134,,10.164.145.178,,3306,HTTP2-SSL,2518820,1632288
DNESR,2001:db8:1a2b:3c4d:7cee:4e40:bafa:8118,,2001:db8:548b:87b5:dc1f:68b:9fa1:21ba,,443,TLS,1189639,1413015
DNESR,10.164.144.19,,10.164.145.104,,22,SOAP,106897,2749045
DNESR,10.100.246.219,,10.164.116.11,,,TLS,379715,692195
DNESR,2001:db8:ea19:a1e1:9bd7:250c:7c31:e931,,2001:db8:2bda:f8d3:24ee:cfeb:5a8a:41ce,,443,HTTPS,2307313,1292918
DNESR,10.164.144.169,,10.164.105.221,,8080,SOAP,866777,793719
DNESR,10.100.246.136,,10.164.105.145,,8443,HTTPS,471231,174183
DNESR,10.164.145.73,,10.164.145.110,,,REST,3604100,238214
DNESR,2001:db8:2bda:f8d3:e2a6:a74e:a8e3:72d6,,2001:db8:548b:87b5:a2bb:c375:5d45:fadf,,8443,HTTPS,0,0
DNESR,10.164.144.3,,10.164.116.228,,8443,REST,3781175,813453
DNESR,10.164.144.157,,10.164.105.110,,5432,SOAP,3298558,3443556
DNESR,2001:db8:ea19:a1e1:c8cb:1ee0:df3d:18a1,,2001:db8:548b:87b5:878c:e9d9:4dd8:244e,,8080,REST,3855495,1072608
DNESR,2001:db8:2bda:f8d3:7b95:3ece:6c8d:cdfe,,2001:db8:548b:87b5:8a9b:7add:15c8:7683,,22,HTTP2-SSL,0,0
DNESR,10.100.246.141,,10.164.145.138,,3306,HTTP2-SSL,3302367,281310
DNESR,2001:db8:1a2b:3c4d:cd7f:7341:e51d:90b7,,2001:db8:2582:6d22:4111:3c03:d1e8:ced,,,SOAP,0,0
DNESR,10.164.145.149,,10.164.105.200,,1521,TLS,752182,782660
DNESR,10.164.145.180,,10.164.105.239,,5432,TLS,3629346,3321915
DNESR,10.164.144.89,,10.164.116.253,,443,REST,2629176,981590
DNESR,10.100.246.225,,10.164.105.159,,8080,SOAP,3300390,3655112
DNESR,10.164.144.181,,10.164.116.89,,443,HTTP2-SSL,1251799,2654672
DNESR,2001:db8:2bda:f8d3:b34f:f4ee:ea63:1029,,2001:db8:2bda:f8d3:5170:2fd1:aa1f:bb9a,,8443,REST,604183,841624
DNESR,10.164.144.196,,10.164.116.109,,8443,REST,385159,3958235
DNESR,10.164.144.239,,10.164.145.102,,,TLS,2062649,2827047
DNESR,2001:db8:1a2b:3c4d:8260:1b45:5b25:4ba7,,2001:db8:548b:87b5:fdc4:1060:6e5c:f7cd,,,TLS,2740074,3434303
DNESR,10.100.246.34,,10.164.116.176,,8443,SOAP,2764913,219674
DNESR,10.100.246.52,,10.164.105.137,,8080,TLS,2476936,2297886
DNESR,10.100.246.209,,10.164.105.58,,3306,SOAP,198914,1428940
