App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNGCM,10.100.246.164,,10.164.105.177,,8443,HTTPS,901043,1319666
DNGCM,2001:db8:548b:87b5:aa05:fc8c:7454:6e0f,,2001:db8:ea19:a1e1:8eec:169d:fe9b:582,,8443,HTTPS,3938799,1155770
DNGCM,2001:db8:2bda:f8d3:6a01:34f7:6dc4:7a63,,2001:db8:2bda:f8d3:b3e6:b96c:5d9c:9a45,,8443,HTTPS,0,0
DNGCM,10.164.145.229,,10.100.246.142,,8081,HTTP,1998423,1254077
DNGCM,10.165.116.76,,10.100.160.190,,8443,TCP,1051767,2092508
DNGCM,10.164.116.103,,10.164.105.191,,8080,TCP,511433,1324796
DNGCM,2001:db8:ea19:a1e1:ce46:76b3:34c4:88ba,,2001:db8:2bda:f8d3:e3ab:6f3c:ec5d:66f5,,443,TCP,308443,842889
DNGCM,10.164.116.244,,10.164.105.135,,8443,HTTPS,2629973,939227
DNGCM,10.164.105.50,,10.164.145.204,,1521,TCP,293688,800394
DNGCM,10.164.116.143,,10.100.246.1,,443,HTTPS,3307487,3617732
DNGCM,10.165.116.200,,10.100.160.143,,8081,HTTP,923655,1626074
DNGCM,10.100.246.199,,10.164.105.83,,,TCP,1320777,727276
DNGCM,10.100.246.232,,10.164.116.41,,443,HTTPS,3999869,1817564
DNGCM,2001:db8:2bda:f8d3:954f:5689:10b8:3d9e,,2001:db8:2582:6d22:632e:6d7f:6991:ec16,,8080,TCP,604750,3044093
DNGCM,10.100.246.178,,10.164.116.141,,22,TCP,2109673,3191371
DNGCM,10.164.105.114,,10.164.145.226,,8443,HTTPS,2569575,3391462
DNGCM,10.100.160.70,,10.164.116.235,,80,HTTP,3422346,3511537
DNGCM,10.100.160.205,,10.164.144.113,,22,TCP,2572574,2325680
DNGCM,10.100.160.39,,10.164.145.242,,8443,HTTPS,3265773,957958
DNGCM,10.164.116.94,,10.164.145.38,,22,TCP,2424157,3865635
DNGCM,10.164.145.244,,10.164.116.224,,443,TCP,3995147,300781
DNGCM,10.100.246.236,,10.100.160.108,,8080,HTTP,3374785,3874051
DNGCM,10.164.144.150,,10.164.144.229,,8443,HTTPS,2015231,3277697
DNGCM,10.164.145.119,,10.165.116.204,,443,HTTPS,1727241,3686447
DNGCM,10.100.160.20,,10.100.160.227,,443,HTTPS,2488691,1751225
DNGCM,10.164.145.218,,10.100.160.250,,8080,HTTP,1067500,2715185
DNGCM,10.164.105.243,,10.164.145.122,,80,HTTP,177461,3415204
DNGCM,10.164.144.4,,10.164.105.141,,,TCP,2240624,1070708
DNGCM,10.164.144.235,,10.164.144.162,,,TCP,0,0
DNGCM,10.100.160.6,,10.164.116.254,,8081,HTTP,3958502,2535706
DNGCM,10.165.116.205,,10.100.160.63,,443,HTTPS,1667310,1837485
DNGCM,10.164.105.87,,10.164.144.1,,,TCP,2452961,209602
DNGCM,10.164.145.154,,10.100.160.150,,8080,HTTP,449786,3021543
DNGCM,2001:db8:2bda:f8d3:8fc0:138:5c01:e8c2,,2001:db8:1a2b:3c4d:d96c:5952:2ee4:33f6,,8080,HTTP,3515663,320102
DNGCM,10.100.246.102,,10.165.116.100,,443,HTTPS,929278,2925064
DNGCM,10.165.116.60,,10.165.116.95,,8081,HTTP,425830,2009179
DNGCM,10.165.116.229,,10.164.105.227,,80,HTTP,1963275,979484
