App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNGFC,10.164.145.28,,10.100.246.233,,8443,HTTPS,1358147,2064915
DNGFC,10.164.145.221,,10.164.105.137,,8080,TLS,2562868,1831622
DNGFC,10.164.145.241,,10.100.246.56,,443,HTTP2-SSL,3042972,1901096
DNGFC,2001:db8:2bda:f8d3:b6ff:9f37:e133:e9e8,,2001:db8:548b:87b5:f1c1:ffc1:b9e4:c998,,443,HTTPS,3948768,1978627
DNGFC,10.164.145.23,,10.100.246.26,,443,HTTPS,157569,204401
DNGFC,10.164.145.220,,10.164.145.157,,443,HTTPS,2245914,799412
DNGFC,10.164.145.72,,10.164.105.15,,8080,HTTP2-SSL,1190203,1510066
DNGFC,10.164.145.55,,10.164.145.75,,,HTTP2-SSL,197258,810325
DNGFC,10.164.145.13,,10.164.145.129,,443,HTTPS,3807876,893538
DNGFC,10.164.145.178,,10.100.246.81,,443,TLS,1964976,3356464
DNGFC,10.164.145.112,,10.164.145.215,,,TLS,1457183,209543
DNGFC,10.164.145.208,,10.164.105.75,,,HTTP2-SSL,3492844,2121964
DNGFC,10.164.145.30,,10.164.105.98,,,HTTP2-SSL,1302742,3004334
DNGFC,2001:db8:2bda:f8d3:73ea:b180:4a3f:d64e,,2001:db8:548b:87b5:ff82:fc30:d034:b889,,389,TLS,576712,2415260
DNGFC,10.164.145.36,,10.100.246.30,,80,TLS,2175949,503349
DNGFC,10.164.145.129,,10.100.246.217,,,HTTP2-SSL,326344,3776678
DNGFC,10.164.145.239,,10.164.145.160,,,HTTP2-SSL,894331,2611523
DNGFC,10.164.145.247,,10.100.246.19,,389,TLS,3216772,2195354
DNGFC,10.164.145.174,,10.164.145.108,,,HTTP2-SSL,857115,3610839
DNGFC,10.164.145.117,,10.164.105.236,,,HTTP2-SSL,2170399,951713
DNGFC,10.164.145.129,,10.164.105.46,,8443,TLS,792004,2838660
DNGFC,10.164.145.159,,10.100.246.154,,443,HTTPS,3549598,1207408
DNGFC,10.164.145.7,,10.164.105.17,,,HTTP2-SSL,2413540,1722105
DNGFC,10.164.145.97,,10.164.145.114,,389,TLS,380879,2681563
DNGFC,10.164.145.32,,10.164.105.145,,5432,TLS,2065918,1420556
DNGFC,10.164.145.162,,10.164.105.43,,443,HTTP2-SSL,1498255,3801862
DNGFC,10.164.145.44,,10.164.105.90,,443,TLS,3158855,2537714
DNGFC,10.164.145.242,,10.100.246.204,,8443,HTTPS,1248724,303464
DNGFC,10.164.145.19,,10.164.105.20,,,TLS,2284026,1236220
DNGFC,10.164.145.107,,10.100.246.138,,8443,HTTPS,2469620,3608459
DNGFC,10.164.145.59,,10.100.246.116,,8443,HTTPS,913404,3113203
DNGFC,10.164.145.52,,10.164.145.163,,443,HTTPS,651520,2672498
DNGFC,2001:db8:2bda:f8d3:7d0:f6fc:76f3:27b1,,2001:db8:548b:87b5:aa1:a2e:b33b:57e8,,,HTTP2-SSL,1818236,167420
DNGFC,10.164.145.17,,10.164.105.210,,8443,HTTPS,887402,3336082
DNGFC,2001:db8:2bda:f8d3:d386:2288:5e80:bf26,,2001:db8:2bda:f8d3:feef:da1d:af22:f2fa,,,HTTP2-SSL,1497356,2376546
DNGFC,10.164.145.61,,10.164.105.194,,443,HTTPS,2083260,2252130
DNGFC,10.164.145.151,,10.164.145.225,,,TLS,1616586,3115162
DNGFC,10.164.145.68,,10.164.105.28,,3306,TLS,1433567,3389718
DNGFC,10.164.145.18,,10.164.105.169,,443,HTTPS,1768121,3692979
DNGFC,10.164.145.241,,10.100.246.172,,443,HTTP2-SSL,0,0
DNGFC,10.164.145.75,,10.164.105.34,,8443,HTTPS,806955,3669861
DNGFC,10.164.145.92,,10.100.246.129,,3306,TLS,2989464,3598255
DNGFC,10.164.145.165,,10.164.105.165,,3306,TLS,2619175,2256991
DNGFC,10.164.145.22,,10.164.145.198,,8443,HTTP2-SSL,2530702,3389368
DNGFC,10.164.145.147,,10.164.145.155,,,TLS,1759295,262637
DNGFC,10.164.145.187,,10.164.105.157,,8443,HTTPS,2950311,2800137
DNGFC,10.164.145.9,,10.164.145.95,,8443,HTTPS,2050121,2191986
DNGFC,10.164.145.46,,10.164.145.168,,443,HTTPS,782805,2532313
DNGFC,10.164.145.238,,10.100.246.229,,8443,HTTPS,691774,2467101
DNGFC,2001:db8:2bda:f8d3:4ebd:8e73:8a6e:5860,,2001:db8:548b:87b5:c73e:a2d4:b48d:4f44,,443,HTTP2-SSL,3402670,1041016
