App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNHRT,10.100.160.131,,10.164.145.86,,8081,HTTP,1408181,3382433
DNHRT,10.165.116.251,,10.100.160.211,,389,TCP,706584,1889546
DNHRT,10.100.246.236,,10.100.160.229,,8443,HTTPS,2862878,3585993
DNHRT,2001:db8:548b:87b5:984:e66c:daa4:340d,,2001:db8:2bda:f8d3:8d2a:5aca:b4f2:7769,,,TCP,1555366,1784809
DNHRT,10.164.105.217,,10.164.144.241,,389,TCP,1747342,2211045
DNHRT,10.164.144.81,,10.164.116.141,,80,HTTP,1723947,1557161
DNHRT,10.100.160.214,,10.100.246.162,,,TCP,207434,1510487
DNHRT,10.164.145.13,,10.165.116.247,,8443,HTTPS,3792838,3249693
DNHRT,10.164.144.215,,10.164.144.192,,,TCP,3811715,3224320
DNHRT,10.164.116.251,,10.164.145.15,,8080,HTTP,3322394,1123888
DNHRT,2001:db8:1a2b:3c4d:97c8:3e0a:8a40:fc3e,,2001:db8:2582:6d22:efee:3ce5:2339:a91b,,8080,HTTP,3718327,1047322
DNHRT,10.164.145.9,,10.165.116.159,,8081,HTTP,3454517,2473478
DNHRT,10.165.116.186,,10.164.105.70,,80,HTTP,0,0
DNHRT,10.164.105.44,,10.100.246.11,,8443,HTTPS,2795389,1699048
DNHRT,2001:db8:4c3a:9f21:9423:482e:b55:6913,,2001:db8:4c3a:9f21:15d1:2089:80ff:aee8,,443,HTTPS,783986,751243
DNHRT,10.164.144.56,,10.164.145.54,,8081,HTTP,3241454,1737792
DNHRT,10.164.144.93,,10.164.145.47,,8081,HTTP,2221861,2641604
DNHRT,10.164.116.48,,10.100.246.246,,443,HTTPS,3310366,3894433
DNHRT,10.100.160.96,,10.100.246.196,,,TCP,389169,1425111
DNHRT,10.164.116.156,,10.164.116.145,,443,HTTPS,1285899,2055918
DNHRT,10.164.145.72,,10.164.105.220,,8081,HTTP,3233859,3356334
DNHRT,10.164.116.33,,10.164.116.55,,8080,HTTP,1773312,2458317
DNHRT,10.164.144.196,,10.165.116.157,,443,HTTPS,1652149,1940188
DNHRT,10.164.116.38,,10.164.144.241,,443,HTTPS,2935591,2712005
DNHRT,2001:db8:1a2b:3c4d:a0db:af9f:bfbe:6c20,,2001:db8:548b:87b5:45d:4743:3a3e:d132,,8081,HTTP,3117434,219471
DNHRT,10.100.160.68,,10.100.160.254,,5432,TCP,2721221,3413541
DNHRT,10.100.246.78,,10.164.105.54,,8080,HTTP,3768977,1659793
DNHRT,10.165.116.136,,10.100.160.100,,8443,HTTPS,2457357,1340833
DNHRT,10.100.160.11,,10.165.116.200,,8443,HTTPS,546065,3561502
DNHRT,10.165.116.177,,10.164.105.232,,443,TCP,1535811,2756080
DNHRT,10.165.116.67,,10.164.116.41,,8080,HTTP,451745,888985
DNHRT,2001:db8:1a2b:3c4d:db4f:5065:3a07:c29,,2001:db8:2bda:f8d3:6717:bc17:f6ca:c0b,,443,HTTPS,1753779,3083054
DNHRT,10.100.246.255,,10.165.116.105,,8443,HTTPS,1749485,2295405
DNHRT,10.164.105.209,,10.165.116.151,,80,HTTP,2336478,3414643
DNHRT,10.164.116.116,,10.164.105.136,,443,TCP,2757531,2508644
DNHRT,10.100.246.176,,10.100.160.58,,,TCP,1425677,1858134
DNHRT,10.164.105.143,,10.100.246.29,,80,HTTP,0,0
DNHRT,2001:db8:2582:6d22:ddc0:e5eb:c9b4:c931,,2001:db8:1a2b:3c4d:9d6b:86b9:6eec:ef4e,,8443,HTTPS,3973306,2114982
DNHRT,10.100.246.122,,10.165.116.109,,,TCP,845476,1690819
DNHRT,10.164.145.211,,10.164.144.89,,80,HTTP,1863341,2539335
DNHRT,2001:db8:2bda:f8d3:6e37:38bc:b70:5e63,,2001:db8:ea19:a1e1:286f:8740:72e0:f910,,80,HTTP,1653830,1869963
DNHRT,10.100.160.239,,10.100.160.7,,389,TCP,986646,2933327
DNHRT,10.164.105.182,,10.100.160.149,,,TCP,1701634,1256294
DNHRT,10.164.144.21,,10.164.105.0,,8081,HTTP,3015793,2943025
DNHRT,10.165.116.102,,10.164.105.25,,3306,TCP,2068969,3014736
DNHRT,10.165.116.171,,10.100.246.93,,8080,TCP,3731082,3200054
DNHRT,2001:db8:2582:6d22:e700:5cf0:9fbc:535e,,2001:db8:1a2b:3c4d:73a7:f877:a58e:b75e,,443,HTTPS,1345303,1241434
DNHRT,2001:db8:4c3a:9f21:a4:5845:f0c3:c3dc,,2001:db8:2bda:f8d3:8ca8:c99c:ee18:a0ce,,22,TCP,215114,1276838
DNHRT,10.165.116.14,,10.164.116.61,,8081,HTTP,1726518,694159
DNHRT,10.164.116.75,,10.164.144.120,,3306,TCP,2228369,1047748
DNHRT,10.164.105.1,,10.165.116.49,,8081,HTTP,1841179,1601415
DNHRT,10.100.246.216,,10.164.145.208,,443,HTTPS,800827,3293875
DNHRT,10.100.246.19,,10.100.246.192,,8080,TCP,521420,1096615
