App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNIBS,2001:db8:4c3a:9f21:429e:e933:92d8:fc8a,,2001:db8:2582:6d22:b1ef:1871:1262:d6cf,,80,HTTP,3275947,2919187
DNIBS,10.164.105.227,,10.100.160.154,,,TCP,2064681,2475724
DNIBS,10.164.145.159,,10.164.105.145,,22,TCP,3550647,1647553
DNIBS,10.164.144.203,,10.100.246.95,,8443,TCP,2548197,857386
DNIBS,2001:db8:2bda:f8d3:1505:1363:6273:746e,,2001:db8:1a2b:3c4d:31be:d890:c397:bfca,,389,TCP,3062859,119263
DNIBS,10.164.116.243,,10.100.160.17,,8443,HTTPS,2863136,417486
DNIBS,10.100.246.109,,10.165.116.31,,443,HTTPS,1234924,1532832
DNIBS,2001:db8:2bda:f8d3:3e3a:259b:f124:37db,,2001:db8:2582:6d22:879:93a1:fc32:c016,,8443,HTTPS,2556655,357600
DNIBS,10.164.145.40,,10.164.144.224,,8080,HTTP,3744803,1824413
DNIBS,10.164.105.80,,10.164.144.199,,8081,HTTP,199232,3033799
DNIBS,10.164.105.27,,10.164.144.49,,8443,HTTPS,3476748,3791854
DNIBS,10.100.160.81,,10.164.145.92,,8081,HTTP,847256,2996491
DNIBS,10.100.246.14,,10.164.105.204,,80,HTTP,3673833,1549545
DNIBS,10.164.145.26,,10.164.145.251,,8081,HTTP,2932256,1263691
DNIBS,10.165.116.86,,10.164.145.178,,8081,HTTP,2566250,598379
DNIBS,10.164.144.58,,10.100.246.247,,5432,TCP,3186924,354239
DNIBS,2001:db8:2bda:f8d3:a372:a0aa:86f4:ae8a,,2001:db8:ea19:a1e1:69f6:11cb:8d6a:773e,,8081,HTTP,108814,2307379
DNIBS,2001:db8:548b:87b5:fe02:c8d5:b0e2:5e74,,2001:db8:2bda:f8d3:6e49:43dc:3928:8a6b,,8443,HTTPS,2534565,883490
DNIBS,2001:db8:2bda:f8d3:e287:4082:ca1b:80b9,,2001:db8:2bda:f8d3:b320:d709:78:5530,,8443,HTTPS,3228496,2516288
DNIBS,10.100.246.36,,10.100.246.35,,8443,HTTPS,0,0
DNIBS,10.164.116.92,,10.164.144.220,,443,HTTPS,0,0
DNIBS,10.164.116.254,,10.164.145.27,,1521,TCP,432444,258790
DNIBS,10.164.144.105,,10.164.144.6,,443,HTTPS,0,0
DNIBS,10.165.116.155,,10.164.144.115,,443,HTTPS,3611603,2520839
DNIBS,10.164.105.34,,10.100.246.168,,,TCP,2940883,387406
DNIBS,10.164.145.27,,10.164.145.246,,22,TCP,698399,2481692
DNIBS,10.164.145.230,,10.165.116.236,,80,TCP,1369402,690156
DNIBS,10.100.160.11,,10.164.116.3,,,TCP,2130623,3511616
DNIBS,10.164.116.80,,10.164.105.235,,8081,HTTP,244472,2643094
DNIBS,10.164.105.191,,10.164.145.125,,443,HTTPS,889474,3939306
DNIBS,10.164.144.62,,10.164.145.235,,8443,HTTPS,1149688,2353043
DNIBS,10.100.160.183,,10.164.144.129,,80,HTTP,2914790,1034977
DNIBS,10.164.145.185,,10.164.105.169,,389,TCP,2643087,738508
DNIBS,2001:db8:ea19:a1e1:3e4e:fa4f:5339:f70e,,2001:db8:ea19:a1e1:ae32:8333:72d5:3cbd,,8080,HTTP,2194712,3724449
DNIBS,10.164.145.60,,10.165.116.230,,8081,HTTP,1042483,1645918
DNIBS,10.165.116.57,,10.164.144.5,,443,HTTPS,3426503,1891478
DNIBS,10.165.116.245,,10.165.116.130,,8080,HTTP,2535393,3322256
DNIBS,2001:db8:4c3a:9f21:12c2:2f83:acc4:2808,,2001:db8:2bda:f8d3:9daa:671b:4997:faad,,443,HTTPS,2169872,297799
DNIBS,10.164.105.192,,10.164.144.147,,443,HTTPS,0,0
DNIBS,10.164.116.7,,10.164.144.58,,8081,HTTP,1239483,3378975
DNIBS,10.164.105.163,,10.164.145.82,,8080,HTTP,3637056,3943013
DNIBS,2001:db8:2bda:f8d3:e990:e956:7cd3:fb19,,2001:db8:ea19:a1e1:947d:2d6:b002:8c00,,8443,HTTPS,1579328,907935
DNIBS,10.165.116.82,,10.164.145.139,,3306,TCP,3940772,575841
DNIBS,10.100.160.190,,10.164.116.137,,8080,TCP,1257037,1841879
DNIBS,10.164.144.254,,10.164.116.99,,8443,HTTPS,3507109,3555243
DNIBS,10.100.246.157,,10.164.144.117,,8443,HTTPS,3690942,606429
DNIBS,10.164.105.238,,10.164.145.56,,8443,HTTPS,3138171,2719571
DNIBS,10.164.105.111,,10.164.105.83,,8443,HTTPS,177573,3763576
DNIBS,10.164.116.205,,10.165.116.153,,8443,HTTPS,3009729,1217248
DNIBS,10.164.116.153,,10.164.116.76,,80,HTTP,777497,2260915
DNIBS,10.164.144.15,,10.100.246.37,,389,TCP,2152493,833400
DNIBS,10.165.116.96,,10.100.160.8,,80,TCP,3498651,1584230
DNIBS,10.164.105.84,,10.164.116.103,,8443,HTTPS,2897698,616279
DNIBS,2001:db8:4c3a:9f21:d8eb:15b3:fde3:ae59,,2001:db8:1a2b:3c4d:b0b4:78d0:f28:80da,,8443,HTTPS,2369025,234530
