App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNIDE,10.164.144.55,,10.164.145.235,,,TCP,276694,2583442
DNIDE,10.164.145.70,,10.164.144.152,,389,TCP,2843376,1607665
DNIDE,10.164.116.147,,10.164.145.56,,443,HTTPS,1970262,725164
DNIDE,10.164.116.161,,10.164.145.252,,5432,TCP,3184968,388125
DNIDE,10.165.116.184,,10.164.116.106,,8443,HTTPS,3907235,783915
DNIDE,10.164.145.163,,10.100.246.165,,8443,HTTPS,602995,1420884
DNIDE,10.164.145.27,,10.164.116.147,,8080,TCP,3832509,1303390
DNIDE,10.165.116.207,,10.164.105.16,,8080,HTTP,2827684,598435
DNIDE,10.100.160.185,,10.164.145.25,,8443,HTTPS,2528467,905747
DNIDE,10.100.160.24,,10.164.116.51,,8080,HTTP,170171,2319546
DNIDE,10.164.145.173,,10.165.116.147,,8080,HTTP,1556297,128301
DNIDE,10.100.160.92,,10.100.160.199,,80,HTTP,2124353,292580
DNIDE,10.164.116.31,,10.164.116.181,,8081,HTTP,1087396,3916156
DNIDE,10.100.246.121,,10.165.116.141,,80,HTTP,864442,2020079
DNIDE,10.164.116.27,,10.100.160.63,,80,HTTP,3813446,3953838
DNIDE,2001:db8:2bda:f8d3:9369:b261:6d85:48ba,,2001:db8:2bda:f8d3:8b3f:398a:617c:d867,,80,HTTP,748415,3775540
DNIDE,2001:db8:548b:87b5:49a7:a1b1:a1a2:bd10,,2001:db8:548b:87b5:6505:bd24:6bc:772,,,TCP,2762099,2531064
DNIDE,10.164.116.223,,10.100.246.101,,8081,HTTP,621289,1841712
DNIDE,2001:db8:2bda:f8d3:a38:7a39:9332:a300,,2001:db8:548b:87b5:312a:e3e7:4bb7:e145,,,TCP,909266,438154
DNIDE,10.100.246.37,,10.164.145.79,,443,HTTPS,3113307,296524
DNIDE,2001:db8:ea19:a1e1:7d35:6539:8aee:b3df,,2001:db8:2bda:f8d3:f278:7bc7:89a:d85d,,8443,HTTPS,3382047,2444741
DNIDE,10.164.144.206,,10.100.246.231,,5432,TCP,3716368,1717185
DNIDE,10.165.116.102,,10.164.105.100,,80,TCP,2605714,2377205
DNIDE,10.164.144.92,,10.100.160.251,,,TCP,0,0
DNIDE,10.164.105.184,,10.164.144.156,,,TCP,1065571,1271908
DNIDE,10.165.116.135,,10.165.116.244,,443,HTTPS,2261130,3772957
DNIDE,10.100.246.249,,10.164.145.91,,8081,HTTP,0,0
DNIDE,10.100.246.188,,10.164.145.144,,8443,HTTPS,0,0
DNIDE,10.100.246.18,,10.164.145.83,,8080,TCP,1692264,2853121
DNIDE,10.164.116.56,,10.164.144.251,,3306,TCP,2992554,1627561
