App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNINR,10.165.116.30,,10.164.105.33,,8080,HTTP,3034059,449753
DNINR,10.164.116.174,,10.165.116.45,,443,TCP,437553,1696017
DNINR,10.164.116.250,,10.100.246.102,,8081,HTTP,333283,2446696
DNINR,2001:db8:548b:87b5:73eb:7251:694c:79af,,2001:db8:4c3a:9f21:a8aa:890a:7541:152b,,8443,HTTPS,2496401,1427340
DNINR,2001:db8:ea19:a1e1:afb5:5ece:2f31:980d,,2001:db8:1a2b:3c4d:763e:851f:5816:2f00,,,TCP,2763713,2760254
DNINR,10.164.144.54,,10.164.144.216,,8443,HTTPS,1558115,375666
DNINR,10.164.105.31,,10.100.160.89,,22,TCP,3491316,2348312
DNINR,10.164.144.59,,10.164.145.151,,8443,HTTPS,0,0
DNINR,2001:db8:2582:6d22:e06f:7cf7:b2f9:c8dc,,2001:db8:1a2b:3c4d:e9e0:6ee0:bccb:af0c,,,TCP,773059,731751
DNINR,10.100.246.182,,10.100.160.103,,8080,HTTP,805276,598191
DNINR,10.165.116.184,,10.100.246.102,,,TCP,642809,1942982
DNINR,10.164.144.203,,10.164.116.237,,8080,HTTP,3793367,2540749
DNINR,10.165.116.109,,10.164.116.8,,8443,TCP,2082409,3351772
DNINR,10.100.246.31,,10.100.160.104,,,TCP,2451847,3541332
DNINR,10.164.144.226,,10.100.246.26,,8081,HTTP,2990303,1860536
DNINR,10.164.145.43,,10.164.116.35,,80,HTTP,1995744,3009930
DNINR,10.164.144.137,,10.164.144.229,,389,TCP,2354993,2434896
DNINR,10.165.116.249,,10.164.116.1,,8443,HTTPS,2096871,263665
DNINR,10.164.145.153,,10.100.160.88,,8080,HTTP,0,0
DNINR,10.165.116.111,,10.165.116.73,,8443,TCP,1794340,2078666
DNINR,10.164.144.94,,10.164.144.174,,8443,HTTPS,0,0
DNINR,10.164.145.62,,10.164.144.31,,,TCP,888838,223043
DNINR,2001:db8:1a2b:3c4d:e19b:8954:379c:9331,,2001:db8:4c3a:9f21:4ea3:a3e2:fda1:7883,,,TCP,3416292,2404003
DNINR,10.164.105.203,,10.100.160.188,,443,HTTPS,2595247,2168746
DNINR,10.100.160.153,,10.100.246.213,,8443,HTTPS,1183285,2393277
DNINR,10.164.145.204,,10.100.246.130,,,TCP,134893,1369906
DNINR,10.164.144.248,,10.100.160.149,,389,TCP,2385259,3865939
DNINR,10.164.116.43,,10.164.116.76,,8080,HTTP,0,0
DNINR,10.100.246.80,,10.164.144.138,,443,HTTPS,3597589,2425996
DNINR,10.164.144.203,,10.164.116.91,,443,HTTPS,196365,2551446
DNINR,10.100.160.83,,10.100.160.209,,443,HTTPS,487388,1679782
DNINR,10.100.160.80,,10.164.144.24,,80,HTTP,391221,3387199
DNINR,10.165.116.143,,10.164.145.131,,3306,TCP,3233317,3888054
DNINR,2001:db8:548b:87b5:63fc:78b8:b3b4:5a32,,2001:db8:1a2b:3c4d:acc9:79e2:7df8:cfc1,,389,TCP,0,0
DNINR,10.164.105.199,,10.164.105.72,,1521,TCP,1308047,3168110
DNINR,2001:db8:4c3a:9f21:3330:b64c:7a14:ecb7,,2001:db8:ea19:a1e1:12f3:bb9c:a07f:c20c,,,TCP,0,0
DNINR,10.100.246.118,,10.164.144.223,,8443,HTTPS,3544908,1410324
DNINR,10.164.144.29,,10.164.116.98,,443,HTTPS,3659957,2464411
DNINR,10.100.246.112,,10.100.160.135,,80,TCP,1845191,2899451
DNINR,10.165.116.65,,10.164.145.65,,8081,HTTP,1966869,3448610
DNINR,2001:db8:2bda:f8d3:cb2e:2945:cb0:153d,,2001:db8:548b:87b5:437b:a45c:29bc:d70a,,80,HTTP,2772476,1277938
DNINR,10.100.160.186,,10.100.160.219,,8080,HTTP,3944117,1755000
DNINR,10.100.246.21,,10.165.116.46,,,TCP,287321,1717588
DNINR,10.164.116.244,,10.164.105.139,,8443,HTTPS,1423073,3852375
DNINR,10.164.105.216,,10.164.116.253,,8080,HTTP,1950398,3473936
DNINR,10.164.144.154,,10.164.145.52,,8081,HTTP,3306158,3390738
DNINR,10.164.144.85,,10.164.145.154,,5432,TCP,3042931,1173122
DNINR,10.164.145.145,,10.100.246.146,,443,HTTPS,603295,1384145
DNINR,2001:db8:548b:87b5:310f:e87c:8381:54f0,,2001:db8:4c3a:9f21:9ef3:2858:f1c0:5fdb,,389,TCP,520445,3306081
DNINR,10.164.116.38,,10.164.105.149,,8081,HTTP,340387,1453430
DNINR,2001:db8:2bda:f8d3:5a7a:1545:69a9:3591,,2001:db8:2582:6d22:87d:86ca:c072:3d34,,8080,HTTP,2360346,1008619
DNINR,2001:db8:4c3a:9f21:5ba0:e50a:7f78:dd6a,,2001:db8:ea19:a1e1:f539:dca0:eeea:8ac8,,8080,HTTP,3886978,1661990
DNINR,10.164.105.64,,10.164.144.152,,,TCP,726097,2987469
DNINR,10.165.116.164,,10.164.105.1,,,TCP,517876,707777
DNINR,10.164.144.172,,10.164.105.182,,8443,HTTPS,2492907,3352038
DNINR,10.165.116.224,,10.100.160.56,,8080,HTTP,1517975,1453305
DNINR,10.100.246.60,,10.164.144.44,,80,TCP,958259,644568
DNINR,10.164.145.181,,10.100.160.102,,443,HTTPS,1764769,396962
DNINR,10.100.246.62,,10.100.160.240,,443,HTTPS,3552825,396103
DNINR,10.164.105.61,,10.100.246.32,,,TCP,3705349,1334182
DNINR,10.164.116.194,,10.164.145.59,,22,TCP,160747,825643
DNINR,10.100.246.131,,10.100.246.179,,,TCP,1620532,1466350
DNINR,10.164.116.45,,10.164.145.101,,443,HTTPS,736769,591688
DNINR,10.100.246.94,,10.164.144.158,,5432,TCP,1692048,3024011
DNINR,10.164.144.193,,10.164.145.91,,1521,TCP,0,0
DNINR,10.164.144.149,,10.100.246.214,,443,HTTPS,0,0
DNINR,10.165.116.144,,10.164.105.131,,8080,HTTP,1022179,2696610
DNINR,10.164.144.151,,10.164.116.55,,,TCP,892109,1649674
DNINR,10.164.145.140,,10.164.116.32,,8080,HTTP,0,0
DNINR,2001:db8:2bda:f8d3:cf2c:d641:dbc8:e835,,2001:db8:548b:87b5:2411:ade8:1695:8f3d,,8443,HTTPS,3318219,2285991
DNINR,2001:db8:548b:87b5:cfdf:c159:7ab2:dc32,,2001:db8:ea19:a1e1:fd4:82dc:98ac:d67f,,389,TCP,1416000,1720537
DNINR,10.164.116.226,,10.164.116.99,,,TCP,996377,3272484
DNINR,10.164.145.203,,10.100.160.126,,22,TCP,1501011,1390767
DNINR,2001:db8:ea19:a1e1:498f:5221:1560:bfd2,,2001:db8:2bda:f8d3:b5ed:38c:d902:f447,,443,HTTPS,3856241,2692065
DNINR,10.164.116.76,,10.164.145.61,,8080,HTTP,1643298,3217024
DNINR,10.164.144.27,,10.164.105.89,,8443,HTTPS,1281098,1379384
DNINR,10.164.116.40,,10.164.105.105,,389,TCP,764664,2691655
DNINR,10.164.105.145,,10.100.246.66,,,TCP,3348876,286282
DNINR,10.164.145.126,,10.100.246.114,,8443,HTTPS,211190,1744264
DNINR,10.164.145.75,,10.165.116.117,,443,HTTPS,2614765,675953
DNINR,10.100.160.241,,10.100.160.142,,8080,HTTP,3475079,1609517
DNINR,10.100.246.98,,10.164.144.62,,8443,HTTPS,2215564,3860844
DNINR,10.164.145.159,,10.164.116.58,,443,HTTPS,2642228,2787470
DNINR,10.164.105.66,,10.165.116.235,,80,HTTP,2473822,3175072
DNINR,10.100.160.134,,10.164.144.56,,443,HTTPS,1774632,1347789
DNINR,10.164.145.49,,10.165.116.61,,8443,HTTPS,0,0
DNINR,10.100.246.228,,10.164.105.0,,443,HTTPS,934975,469216
DNINR,10.164.144.73,,10.164.116.180,,443,HTTPS,2963457,2879069
DNINR,10.100.160.226,,10.164.145.60,,443,HTTPS,1209949,1614511
DNINR,10.164.145.190,,10.165.116.59,,22,TCP,3885936,1382627
DNINR,10.164.105.227,,10.100.246.191,,8081,HTTP,3219209,1061164
DNINR,2001:db8:4c3a:9f21:c6d7:30b5:c897:322c,,2001:db8:2bda:f8d3:4d95:7d48:60a:90f0,,,TCP,908854,3721302
DNINR,2001:db8:2bda:f8d3:5ca:88a7:5cde:b99a,,2001:db8:2bda:f8d3:8272:196f:c93f:1d8b,,,TCP,675880,130984
DNINR,10.100.246.61,,10.164.105.123,,8443,HTTPS,2696891,2871139
DNINR,10.100.246.221,,10.100.160.93,,8443,HTTPS,1670038,728474
DNINR,10.165.116.238,,10.165.116.88,,,TCP,0,0
