App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNINT,10.164.105.183,,10.100.246.80,,22,TCP,0,0
DNINT,10.165.116.145,,10.100.246.181,,8443,HTTPS,3930485,1418462
DNINT,2001:db8:1a2b:3c4d:72ab:b327:66f2:3510,,2001:db8:ea19:a1e1:a6e6:150e:3f9b:aec2,,443,HTTPS,2012389,219960
DNINT,10.164.145.105,,10.164.145.26,,22,TCP,458656,2651883
DNINT,10.164.105.244,,10.100.246.220,,3306,TCP,2822651,3582936
DNINT,10.164.145.178,,10.164.144.216,,8443,HTTPS,1232247,3438252
DNINT,10.164.116.251,,10.164.105.26,,8443,TCP,1835681,1749087
DNINT,10.164.116.27,,10.100.160.65,,8081,HTTP,2244798,2008376
DNINT,10.164.105.132,,10.165.116.10,,80,HTTP,3308279,379969
DNINT,10.164.105.166,,10.165.116.93,,22,TCP,1736896,3177868
DNINT,10.164.105.29,,10.164.116.5,,,TCP,476962,100224
DNINT,10.100.246.88,,10.165.116.230,,,TCP,1664552,472223
DNINT,10.164.105.227,,10.100.160.132,,80,HTTP,3644022,185133
DNINT,2001:db8:548b:87b5:4205:7c61:ff3a:fc27,,2001:db8:2bda:f8d3:a3df:e911:1260:dde6,,8443,HTTPS,1059425,3454671
DNINT,10.164.144.168,,10.164.105.171,,,TCP,0,0
DNINT,2001:db8:2582:6d22:dc7:f022:2f3b:bbf9,,2001:db8:4c3a:9f21:8d6e:3659:5ca5:ebb8,,80,TCP,3848855,2255670
DNINT,10.165.116.97,,10.164.105.56,,,TCP,2774427,2702604
DNINT,10.100.246.180,,10.164.144.65,,,TCP,3734984,960256
DNINT,10.164.144.216,,10.100.246.14,,8443,HTTPS,3391370,414401
DNINT,10.164.116.196,,10.100.246.196,,80,HTTP,2856817,3766965
DNINT,2001:db8:1a2b:3c4d:b627:23d5:f56:7c26,,2001:db8:ea19:a1e1:729:80fd:4a2e:353,,8443,TCP,846567,2413870
DNINT,2001:db8:2bda:f8d3:a8cf:a67c:18e5:c027,,2001:db8:2bda:f8d3:47cb:a7c8:b9a3:24e,,8081,HTTP,185060,1246792
DNINT,10.165.116.98,,10.100.246.164,,8443,TCP,3198234,714206
DNINT,10.164.105.183,,10.100.160.80,,443,TCP,379850,1140842
DNINT,2001:db8:4c3a:9f21:1a9e:b1e4:eefb:5906,,2001:db8:1a2b:3c4d:6279:ff51:d26a:a150,,443,HTTPS,1475492,2767754
DNINT,10.164.145.209,,10.100.246.165,,80,HTTP,3102571,3983551
DNINT,10.165.116.166,,10.164.105.207,,8443,HTTPS,1941619,316588
DNINT,10.164.144.191,,10.165.116.251,,8443,HTTPS,1485796,2470601
DNINT,10.164.145.129,,10.165.116.131,,8443,HTTPS,0,0
DNINT,10.165.116.168,,10.164.105.232,,8443,HTTPS,1150452,2600173
DNINT,2001:db8:1a2b:3c4d:c014:f01b:cf1f:7799,,2001:db8:2bda:f8d3:796b:584b:e015:3046,,8081,HTTP,1719721,3556853
DNINT,10.100.160.76,,10.100.160.216,,,TCP,419841,2229264
DNINT,10.165.116.16,,10.164.144.37,,443,HTTPS,3015347,2817799
DNINT,10.164.144.56,,10.164.144.22,,8080,HTTP,113707,2233406
DNINT,10.100.160.129,,10.100.246.130,,80,HTTP,3349246,3636071
DNINT,10.164.116.45,,10.164.145.32,,8443,HTTPS,0,0
DNINT,10.164.105.67,,10.100.160.205,,8081,HTTP,0,0
DNINT,10.164.144.222,,10.164.105.88,,443,HTTPS,0,0
DNINT,10.165.116.241,,10.100.160.215,,8081,HTTP,3401890,547998
DNINT,10.164.116.81,,10.164.145.91,,8443,HTTPS,1467062,1901937
DNINT,10.100.160.40,,10.164.145.142,,443,HTTPS,1589036,1305194
DNINT,2001:db8:ea19:a1e1:7e04:2532:ee6b:4b22,,2001:db8:2bda:f8d3:76a3:fc22:24a3:c20b,,443,HTTPS,2578270,2932270
DNINT,10.164.145.241,,10.164.116.231,,80,TCP,3426234,813037
DNINT,10.100.246.232,,10.164.145.163,,443,HTTPS,974186,1484951
DNINT,10.100.160.34,,10.164.105.151,,8443,HTTPS,0,0
DNINT,10.100.246.242,,10.164.116.68,,389,TCP,2349881,441680
DNINT,10.164.145.24,,10.164.144.224,,8081,HTTP,234720,1459632
DNINT,10.164.105.237,,10.164.105.23,,80,HTTP,1645792,1036635
DNINT,10.164.116.208,,10.165.116.244,,443,HTTPS,649368,3623469
DNINT,10.164.116.15,,10.164.116.248,,22,TCP,1000559,3256411
DNINT,10.164.145.14,,10.165.116.184,,80,HTTP,753687,585987
DNINT,10.100.246.223,,10.100.246.92,,8443,HTTPS,2918896,3861964
DNINT,10.100.160.244,,10.164.145.117,,80,HTTP,2295918,2464651
DNINT,10.164.105.203,,10.164.145.166,,8443,HTTPS,1318847,1753103
DNINT,10.100.160.206,,10.100.160.169,,443,HTTPS,710498,394927
DNINT,10.100.246.117,,10.100.160.96,,443,HTTPS,3963624,1265670
DNINT,2001:db8:4c3a:9f21:35d0:e9ea:fee0:6cbe,,2001:db8:548b:87b5:58a8:1e6f:c768:e2d6,,8080,HTTP,3237640,159316
DNINT,10.164.105.158,,10.164.144.149,,8443,TCP,484762,1881708
DNINT,10.100.246.147,,10.164.116.48,,80,HTTP,322890,361735
DNINT,10.164.144.225,,10.164.105.136,,80,TCP,1885457,3470428
DNINT,10.164.105.13,,10.100.246.166,,8081,HTTP,3979295,126990
DNINT,10.100.160.49,,10.165.116.254,,389,TCP,2205826,148959
DNINT,2001:db8:2bda:f8d3:545a:7785:7a35:455,,2001:db8:ea19:a1e1:df0a:7176:71d6:4a17,,5432,TCP,3349978,3947958
DNINT,10.164.105.161,,10.165.116.223,,3306,TCP,0,0
DNINT,10.165.116.138,,10.164.105.34,,8443,HTTPS,2993143,1731075
DNINT,10.164.116.86,,10.100.246.56,,3306,TCP,0,0
DNINT,2001:db8:2582:6d22:8150:fc7a:6e28:9abb,,2001:db8:2582:6d22:ccd6:68fd:bf22:74ef,,,TCP,383947,3337067
DNINT,10.164.105.236,,10.164.105.40,,3306,TCP,2423379,484197
DNINT,10.164.145.46,,10.164.105.116,,,TCP,1373817,2953190
DNINT,10.164.116.190,,10.164.145.200,,443,HTTPS,2902647,1497145
DNINT,10.100.160.122,,10.165.116.3,,8081,HTTP,3405433,436712
DNINT,10.164.116.144,,10.164.145.1,,8080,HTTP,0,0
DNINT,2001:db8:2582:6d22:929b:98d1:10a9:391d,,2001:db8:2bda:f8d3:caff:b9c0:116c:5a1e,,8443,TCP,3101687,722918
DNINT,10.164.105.219,,10.164.145.197,,80,TCP,2910566,422336
DNINT,10.165.116.29,,10.164.105.116,,8080,HTTP,3255297,3091571
DNINT,10.164.145.33,,10.164.105.145,,,TCP,2868183,3569261
DNINT,10.165.116.40,,10.165.116.66,,80,HTTP,1475188,3516286
DNINT,2001:db8:ea19:a1e1:34f2:22bd:7464:c839,,2001:db8:1a2b:3c4d:aed0:a9bc:b8c:a974,,,TCP,2825803,769912
DNINT,10.165.116.183,,10.164.116.236,,22,TCP,1641398,1927310
DNINT,10.100.160.52,,10.164.105.11,,8443,HTTPS,0,0
DNINT,2001:db8:1a2b:3c4d:fd8d:3f60:9be9:b93,,2001:db8:548b:87b5:197:c609:be88:b26,,8080,HTTP,1199702,2551157
DNINT,2001:db8:2bda:f8d3:bb60:f3e3:4123:8e20,,2001:db8:ea19:a1e1:52e0:1640:5fdd:ac1a,,8443,HTTPS,3494196,625414
DNINT,10.100.246.132,,10.164.144.46,,,TCP,3188737,949965
DNINT,10.165.116.220,,10.100.246.55,,8443,TCP,3991175,2836465
DNINT,10.164.144.116,,10.100.246.55,,8443,TCP,2166311,685857
DNINT,10.100.246.215,,10.100.246.240,,443,HTTPS,2245934,856692
DNINT,2001:db8:2bda:f8d3:26de:a97b:ec9e:27e4,,2001:db8:2bda:f8d3:1e00:5657:d048:5e32,,80,TCP,2500807,2403823
DNINT,10.165.116.109,,10.164.116.112,,443,TCP,889549,2265404
DNINT,10.100.160.216,,10.100.160.10,,389,TCP,742783,2456735
DNINT,10.100.160.60,,10.100.160.61,,80,HTTP,955336,3306245
DNINT,10.100.246.215,,10.165.116.91,,443,HTTPS,3804022,1648773
DNINT,10.164.105.231,,10.165.116.248,,8443,HTTPS,2198181,251836
DNINT,10.165.116.91,,10.164.144.143,,8080,HTTP,1195834,1246626
DNINT,10.164.105.195,,10.165.116.139,,8443,HTTPS,218508,2996427
DNINT,10.164.145.241,,10.100.160.14,,22,TCP,3905194,1662974
