App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNINV,10.164.145.134,,10.100.160.18,,5432,TCP,2368626,2518319
DNINV,10.164.145.205,,10.100.246.97,,443,HTTPS,1508730,3856246
DNINV,10.165.116.213,,10.164.116.54,,80,HTTP,3372507,1133766
DNINV,10.164.105.141,,10.164.105.166,,8443,TCP,2834342,3268882
DNINV,10.164.145.176,,10.164.105.227,,443,TCP,400644,3964820
DNINV,10.165.116.208,,10.164.116.44,,8443,HTTPS,1383068,2867972
DNINV,10.100.160.30,,10.164.105.179,,80,HTTP,0,0
DNINV,2001:db8:548b:87b5:f058:8b09:3a1:4ff8,,2001:db8:1a2b:3c4d:a8a0:da2a:2ab0:53f0,,8443,HTTPS,3851079,3618474
DNINV,10.164.116.171,,10.164.105.180,,3306,TCP,196003,2597928
DNINV,10.164.116.138,,10.164.144.147,,8443,HTTPS,0,0
DNINV,2001:db8:548b:87b5:bf7a:c4b9:708b:9fd1,,2001:db8:548b:87b5:2146:861b:f3d5:a5a8,,443,HTTPS,3438200,1918781
DNINV,10.100.160.243,,10.164.144.119,,443,HTTPS,1025898,1878298
DNINV,10.100.246.17,,10.100.246.238,,8080,HTTP,1877445,1935374
DNINV,10.164.145.3,,10.164.105.233,,3306,TCP,3411169,224664
DNINV,10.100.246.105,,10.164.145.99,,80,HTTP,3230366,474263
DNINV,10.164.145.249,,10.100.160.147,,8443,HTTPS,0,0
DNINV,10.164.105.131,,10.164.145.10,,443,TCP,0,0
DNINV,10.165.116.163,,10.100.246.77,,80,HTTP,3886808,809774
DNINV,2001:db8:2582:6d22:5620:567e:eab2:d9,,2001:db8:2bda:f8d3:4804:a5e4:8c4a:bec6,,,TCP,1659357,3619220
DNINV,2001:db8:2bda:f8d3:84ba:d0a2:171d:7629,,2001:db8:ea19:a1e1:784b:b709:2c48:82bb,,80,HTTP,0,0
DNINV,10.165.116.144,,10.164.144.224,,8443,HTTPS,3132271,1174279
DNINV,10.100.246.64,,10.165.116.237,,443,TCP,3348897,911863
DNINV,10.165.116.71,,10.164.145.239,,8081,HTTP,1018234,1232862
DNINV,10.164.116.190,,10.164.145.228,,443,HTTPS,2331351,3446451
DNINV,10.100.160.100,,10.165.116.162,,8080,HTTP,1068423,3614033
DNINV,10.164.144.228,,10.164.105.94,,8080,HTTP,2927926,3220867
DNINV,10.164.144.13,,10.100.160.226,,8443,TCP,1878207,1959010
DNINV,10.100.160.169,,10.164.144.181,,80,HTTP,3584421,1020338
DNINV,10.165.116.231,,10.164.116.10,,8081,HTTP,531995,1150610
DNINV,10.165.116.211,,10.165.116.42,,8443,TCP,732702,1121510
DNINV,10.164.144.124,,10.164.116.65,,8443,HTTPS,1994810,1444933
DNINV,10.100.160.146,,10.165.116.19,,443,TCP,3477842,115839
DNINV,10.165.116.248,,10.165.116.170,,8080,HTTP,0,0
DNINV,10.100.160.199,,10.164.116.226,,443,HTTPS,3550507,2538798
DNINV,10.165.116.99,,10.100.160.198,,443,HTTPS,3740612,3363565
DNINV,10.165.116.21,,10.165.116.249,,443,HTTPS,3510644,168695
DNINV,10.165.116.120,,10.165.116.124,,443,HTTPS,3789885,155255
DNINV,10.164.116.143,,10.164.145.2,,443,HTTPS,442844,2656620
DNINV,10.100.160.193,,10.100.160.133,,8080,HTTP,1299186,3769314
DNINV,10.100.160.91,,10.164.145.74,,8443,HTTPS,194225,1632879
DNINV,10.100.160.147,,10.165.116.5,,8081,HTTP,1489311,1199198
DNINV,10.164.144.76,,10.164.145.114,,80,HTTP,2875896,1999020
DNINV,2001:db8:548b:87b5:c9f8:4ad2:f65:45bd,,2001:db8:1a2b:3c4d:a8f5:ef5d:2d99:2315,,443,HTTPS,2345797,2415962
DNINV,10.100.246.206,,10.100.160.214,,8080,HTTP,1034851,2318386
DNINV,10.100.160.161,,10.164.116.55,,,TCP,149964,2133300
DNINV,10.164.105.24,,10.100.246.168,,80,HTTP,843721,3935770
DNINV,10.100.160.118,,10.164.144.86,,443,HTTPS,1093249,3378756
DNINV,10.164.116.8,,10.165.116.30,,8081,HTTP,1395162,143099
