App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNLDS,10.164.144.118,,10.164.116.185,,22,TLS,2731100,2560932
DNLDS,10.164.144.68,,10.164.145.65,,443,TLS,1022484,265737
DNLDS,10.164.144.189,,10.164.116.162,,443,REST,2527506,890192
DNLDS,2001:db8:2bda:f8d3:193d:787d:fa1b:241f,,2001:db8:548b:87b5:2e81:5810:22f1:15a4,,8080,TLS,3224533,3175534
DNLDS,2001:db8:ea19:a1e1:2dcb:e90f:3ea5:71b9,,2001:db8:2bda:f8d3:bd4d:fa2c:e0c8:b3bb,,443,HTTPS,2486929,2522886
DNLDS,2001:db8:1a2b:3c4d:7eb2:6731:2fc6:6673,,2001:db8:2582:6d22:945:e2e6:5123:4ad4,,1521,HTTP2-SSL,3378097,3489925
DNLDS,10.164.144.43,,10.164.145.173,,443,HTTP2-SSL,100273,1478352
DNLDS,10.164.145.91,,10.164.116.45,,,TLS,3727876,1135206
DNLDS,10.100.246.155,,10.164.116.62,,,SOAP,2064291,2643396
DNLDS,10.164.145.123,,10.164.105.11,,443,HTTPS,553089,1558750
DNLDS,10.100.246.222,,10.164.145.228,,443,HTTPS,2900429,1326310
DNLDS,10.164.145.70,,10.164.116.14,,3306,REST,1695676,710871
DNLDS,2001:db8:ea19:a1e1:b49e:e3b:2d2a:c30c,,2001:db8:2582:6d22:217c:f31d:74a2:f3df,,3306,HTTP2-SSL,1688529,1571245
DNLDS,10.100.246.48,,10.164.116.217,,,REST,400889,3847819
DNLDS,10.100.246.138,,10.164.105.9,,443,HTTPS,191167,1560270
DNLDS,10.164.145.127,,10.164.145.84,,,TLS,2546566,2006774
DNLDS,10.164.144.202,,10.164.145.217,,389,SOAP,3622678,1932589
DNLDS,10.164.144.69,,10.164.116.72,,,SOAP,1311792,289166
DNLDS,2001:db8:ea19:a1e1:19ab:ce44:f8c:51a4,,2001:db8:548b:87b5:2147:a915:a708:c634,,,TLS,1198482,2274163
DNLDS,10.164.145.148,,10.164.145.170,,22,SOAP,2403884,372553
DNLDS,10.164.144.222,,10.164.105.154,,,SOAP,2940407,503026
DNLDS,2001:db8:ea19:a1e1:390a:82ed:3e6b:6684,,2001:db8:2bda:f8d3:ff93:b853:f457:7571,,1521,HTTP2-SSL,0,0
DNLDS,10.164.145.232,,10.164.116.100,,8080,HTTP2-SSL,3915181,3324369
DNLDS,10.100.246.22,,10.164.145.185,,389,REST,140905,893209
DNLDS,2001:db8:1a2b:3c4d:d074:3d6c:9db9:2a1e,,2001:db8:548b:87b5:bf34:23f9:7887:2fc5,,,HTTP2-SSL,3331873,1549884
DNLDS,10.164.145.154,,10.164.116.71,,8443,HTTPS,1274488,1442913
DNLDS,10.164.144.107,,10.164.145.37,,8443,HTTPS,3827813,3022846
DNLDS,10.100.246.138,,10.164.105.67,,,HTTP2-SSL,1092337,689926
DNLDS,10.100.246.235,,10.164.116.151,,5432,HTTP2-SSL,0,0
DNLDS,10.164.145.174,,10.164.116.11,,,SOAP,3749853,1375829
DNLDS,10.100.246.145,,10.164.105.34,,389,REST,3589103,806649
DNLDS,10.164.144.172,,10.164.116.82,,443,TLS,604263,3753414
DNLDS,10.164.145.81,,10.164.105.125,,443,HTTPS,1920604,3845216
DNLDS,10.164.145.114,,10.164.105.218,,1521,HTTP2-SSL,3541262,2948760
DNLDS,10.100.246.40,,10.164.145.178,,,REST,153268,2022881
DNLDS,10.164.145.206,,10.164.116.146,,8443,HTTPS,1735356,3153010
DNLDS,10.164.145.74,,10.164.116.99,,8080,SOAP,1645799,3265205
DNLDS,10.100.246.201,,10.164.145.62,,,REST,1626530,1845546
DNLDS,10.164.145.158,,10.164.105.6,,5432,REST,1599739,1527360
DNLDS,2001:db8:ea19:a1e1:68a6:4ff3:d2d7:ac79,,2001:db8:2bda:f8d3:2f05:58de:f820:dcf7,,8080,SOAP,1050422,1405256
DNLDS,10.164.144.161,,10.164.116.42,,389,TLS,964874,2183042
DNLDS,10.164.145.148,,10.164.116.35,,,REST,1036950,3033817
