App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNLOC,10.164.145.253,,10.165.116.198,,8081,HTTP,1521986,1918144
DNLOC,10.165.116.209,,10.164.116.39,,8080,HTTP,2807151,991440
DNLOC,10.100.160.44,,10.164.105.102,,443,HTTPS,2148604,954458
DNLOC,10.164.116.155,,10.100.160.26,,443,HTTPS,2619551,2765990
DNLOC,10.165.116.74,,10.164.144.12,,8443,HTTPS,689190,3439684
DNLOC,10.165.116.65,,10.164.144.47,,8080,HTTP,2901933,2225851
DNLOC,10.100.160.83,,10.164.105.221,,,TCP,152856,3412068
DNLOC,2001:db8:4c3a:9f21:91c:7195:701:5ccc,,2001:db8:2582:6d22:c33:c21f:932a:ff00,,,TCP,1889697,3257633
DNLOC,10.164.144.64,,10.100.160.77,,8080,HTTP,744157,1158748
DNLOC,10.100.246.79,,10.164.145.19,,8080,HTTP,3973417,1569376
DNLOC,10.100.160.215,,10.100.160.253,,,TCP,1947097,301256
DNLOC,2001:db8:ea19:a1e1:ebcd:63b3:f353:33c2,,2001:db8:4c3a:9f21:5a71:a26a:f89c:e4e3,,443,HTTPS,1537254,3351536
DNLOC,10.100.160.234,,10.164.145.47,,443,TCP,3634221,2936522
DNLOC,10.164.105.206,,10.100.246.54,,443,HTTPS,3110834,3117414
DNLOC,10.164.144.249,,10.165.116.168,,443,HTTPS,1607526,2406262
DNLOC,2001:db8:2bda:f8d3:7682:41f8:a5da:e31d,,2001:db8:2582:6d22:5d32:82f1:9337:b7fe,,5432,TCP,3577153,3781611
DNLOC,2001:db8:ea19:a1e1:4a98:f39f:c146:db17,,2001:db8:1a2b:3c4d:a7d9:46fc:6f28:8de4,,8081,HTTP,1522734,3470132
DNLOC,10.164.145.2,,10.164.116.213,,,TCP,1369151,1874278
DNLOC,10.164.144.235,,10.164.145.150,,389,TCP,914097,1971189
DNLOC,10.164.145.140,,10.164.144.241,,,TCP,710810,1751595
DNLOC,10.164.116.80,,10.100.160.65,,8080,HTTP,2566222,781030
DNLOC,10.164.144.118,,10.164.144.148,,,TCP,1154753,3100422
DNLOC,10.164.145.75,,10.164.144.201,,,TCP,559571,440005
DNLOC,10.165.116.168,,10.164.116.98,,8081,HTTP,389430,904713
DNLOC,10.164.145.219,,10.100.160.127,,8081,HTTP,1282211,1973258
DNLOC,10.100.160.72,,10.165.116.152,,8081,HTTP,2699025,3848489
DNLOC,10.165.116.110,,10.164.144.109,,443,HTTPS,3405569,2161828
DNLOC,10.165.116.80,,10.165.116.115,,443,HTTPS,3051150,3034108
DNLOC,10.164.144.104,,10.100.246.241,,3306,TCP,1297951,3479736
DNLOC,10.164.105.152,,10.100.160.248,,8080,HTTP,905976,867113
