App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNMCM,2001:db8:4c3a:9f21:96ca:6de4:e13:7524,,2001:db8:2bda:f8d3:8ec6:7684:3f0c:7e4a,,8081,HTTP,2572079,497202
DNMCM,10.164.116.47,,10.164.144.16,,8080,HTTP,564851,1370838
DNMCM,10.165.116.61,,10.165.116.253,,8080,HTTP,369331,276711
DNMCM,10.100.246.122,,10.164.105.173,,443,HTTPS,3524841,767703
DNMCM,10.164.116.94,,10.100.160.154,,8081,HTTP,0,0
DNMCM,10.164.145.98,,10.100.160.157,,8080,HTTP,156653,3476754
DNMCM,10.100.246.247,,10.164.144.98,,8081,HTTP,1868794,902984
DNMCM,10.100.246.17,,10.164.105.188,,8443,HTTPS,0,0
DNMCM,10.164.105.243,,10.164.116.43,,80,HTTP,1956015,3638418
DNMCM,10.164.116.236,,10.164.145.36,,,TCP,3076687,1735535
DNMCM,2001:db8:2bda:f8d3:872:8b55:c2e5:52c5,,2001:db8:1a2b:3c4d:7907:7353:55d:f0ca,,8443,HTTPS,1081568,2456528
DNMCM,2001:db8:4c3a:9f21:e3d4:4ecc:6256:8c20,,2001:db8:ea19:a1e1:e257:9733:eb4c:966d,,443,HTTPS,360452,3545597
DNMCM,10.100.160.167,,10.164.116.161,,,TCP,0,0
DNMCM,10.164.105.134,,10.164.145.143,,8081,HTTP,2625693,805244
DNMCM,10.100.246.176,,10.164.145.49,,443,HTTPS,3097157,3558045
DNMCM,10.164.145.143,,10.164.145.155,,3306,TCP,3882298,856156
DNMCM,10.165.116.236,,10.164.145.236,,8081,HTTP,2003644,473346
DNMCM,10.165.116.210,,10.100.246.60,,80,HTTP,345131,439290
DNMCM,2001:db8:1a2b:3c4d:a028:fcc1:ac56:926,,2001:db8:1a2b:3c4d:71e3:b64b:8066:e6a,,8443,HTTPS,2861691,2640306
DNMCM,10.165.116.84,,10.100.160.123,,22,TCP,2079521,690447
DNMCM,10.164.144.26,,10.100.246.2,,80,HTTP,0,0
DNMCM,10.164.105.196,,10.164.116.202,,80,TCP,1845992,2268037
DNMCM,10.164.145.186,,10.100.246.189,,443,HTTPS,3714027,2220388
DNMCM,10.164.116.235,,10.164.145.134,,80,TCP,1203472,3805902
DNMCM,2001:db8:548b:87b5:7eed:e4cd:1aa9:2a5,,2001:db8:1a2b:3c4d:22fd:be29:ffae:6e6f,,8081,HTTP,2755442,1947260
DNMCM,2001:db8:1a2b:3c4d:e68f:bae5:5422:adf,,2001:db8:ea19:a1e1:d72f:669a:cf53:ed68,,8080,TCP,1482906,621418
DNMCM,10.164.116.229,,10.164.105.10,,8081,HTTP,1663274,3207365
DNMCM,2001:db8:2bda:f8d3:c7be:75b1:3f9a:3b13,,2001:db8:ea19:a1e1:badd:af6c:c58c:d7b2,,8443,HTTPS,3618252,2148896
DNMCM,10.164.116.26,,10.164.105.111,,80,HTTP,1456738,3190059
DNMCM,2001:db8:2582:6d22:83d1:cdb9:8e03:7e5a,,2001:db8:548b:87b5:82b9:9c7b:e41e:b440,,8081,HTTP,0,0
DNMCM,2001:db8:2bda:f8d3:e90b:e69f:1b87:4376,,2001:db8:2bda:f8d3:24ae:c1d:ce9e:d0bd,,5432,TCP,2974152,2078962
DNMCM,10.164.116.236,,10.164.105.53,,8443,HTTPS,3812451,2615613
DNMCM,10.164.105.13,,10.164.144.223,,8443,HTTPS,1126309,1877605
DNMCM,10.164.116.133,,10.100.246.75,,443,HTTPS,600983,2753369
DNMCM,2001:db8:2bda:f8d3:ce75:bf10:1413:9aa8,,2001:db8:4c3a:9f21:32ad:8a8e:8337:7469,,22,TCP,397518,3901762
DNMCM,10.164.145.209,,10.100.160.217,,443,HTTPS,2129825,1817584
DNMCM,10.164.144.122,,10.165.116.238,,80,HTTP,1865609,383940
DNMCM,10.164.145.174,,10.164.105.28,,8080,HTTP,2368444,1214086
DNMCM,10.100.246.245,,10.100.160.81,,8080,HTTP,344530,3388809
DNMCM,10.100.160.157,,10.164.105.106,,80,HTTP,867929,3818045
DNMCM,10.100.246.43,,10.164.105.28,,8443,HTTPS,1998092,554060
DNMCM,10.164.116.126,,10.100.160.160,,8081,HTTP,104192,3634662
DNMCM,10.164.144.217,,10.165.116.103,,22,TCP,3164141,955106
DNMCM,10.164.105.119,,10.164.105.227,,8080,TCP,1751097,3507636
DNMCM,10.165.116.69,,10.164.116.68,,8081,HTTP,3959672,1966711
DNMCM,10.100.246.112,,10.100.160.158,,8443,HTTPS,2089173,2799461
DNMCM,2001:db8:2bda:f8d3:ec35:9559:8882:2c16,,2001:db8:ea19:a1e1:42d5:6a06:21b2:b4e7,,443,TCP,3933486,1417143
