App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNMET,10.165.116.147,,10.164.144.47,,,TCP,0,0
DNMET,10.164.105.99,,10.164.145.253,,443,HTTPS,2876131,2360021
DNMET,10.165.116.78,,10.164.144.123,,443,HTTPS,0,0
DNMET,10.164.116.23,,10.164.105.28,,8080,HTTP,1037237,3261478
DNMET,10.100.160.129,,10.100.160.108,,,TCP,2870364,2139907
DNMET,10.100.160.109,,10.100.246.163,,8080,HTTP,681281,2586491
DNMET,10.164.105.246,,10.100.246.88,,5432,TCP,1301918,2108486
DNMET,10.100.160.112,,10.164.145.156,,443,HTTPS,765196,2753973
DNMET,10.100.160.111,,10.100.160.92,,22,TCP,1485451,1674839
DNMET,10.164.105.109,,10.165.116.156,,8443,HTTPS,0,0
DNMET,10.164.144.42,,10.165.116.42,,443,HTTPS,1312070,3168419
DNMET,10.164.105.87,,10.164.144.223,,22,TCP,1653998,775062
DNMET,10.164.145.15,,10.164.145.112,,8443,HTTPS,3322622,1197816
DNMET,2001:db8:ea19:a1e1:9b2b:e183:c9f3:396c,,2001:db8:1a2b:3c4d:3b02:6fab:9c6a:ee67,,8080,HTTP,2338094,1642442
DNMET,10.164.105.138,,10.164.105.159,,8080,HTTP,3175148,1383103
DNMET,10.100.160.113,,10.164.116.250,,8443,TCP,786099,3422454
DNMET,10.164.105.109,,10.165.116.103,,8081,HTTP,1580556,1659926
DNMET,10.100.160.112,,10.100.246.252,,8443,HTTPS,487433,1072496
DNMET,10.164.144.199,,10.164.144.168,,5432,TCP,1158100,1552681
DNMET,10.165.116.227,,10.164.116.180,,80,HTTP,1586204,2103563
DNMET,10.164.144.44,,10.164.105.114,,,TCP,1050040,1074353
DNMET,10.100.160.190,,10.100.160.172,,3306,TCP,3297007,2411242
DNMET,10.164.144.124,,10.100.160.133,,8443,TCP,1950165,907663
DNMET,2001:db8:2bda:f8d3:20c9:8cfe:a7b4:ccfd,,2001:db8:2bda:f8d3:7480:9230:f151:2495,,443,HTTPS,3665202,628865
DNMET,10.164.144.203,,10.100.246.201,,8443,HTTPS,0,0
DNMET,10.165.116.211,,10.165.116.145,,8443,HTTPS,3465512,1057769
DNMET,10.165.116.231,,10.100.246.160,,8081,HTTP,513617,2516619
DNMET,10.164.105.41,,10.165.116.44,,389,TCP,1380072,2540469
DNMET,10.164.145.7,,10.164.105.125,,,TCP,1648125,898537
DNMET,10.165.116.202,,10.164.105.97,,443,HTTPS,331448,3022653
DNMET,10.100.160.6,,10.100.246.202,,80,HTTP,945410,820019
DNMET,10.164.116.36,,10.100.246.50,,8443,HTTPS,1694519,1396485
DNMET,10.164.144.47,,10.164.105.197,,8081,HTTP,3351508,2905102
DNMET,10.100.246.75,,10.164.105.98,,8443,HTTPS,3358882,1672286
DNMET,10.165.116.221,,10.164.145.9,,80,TCP,0,0
DNMET,10.164.116.6,,10.164.144.156,,443,HTTPS,0,0
DNMET,10.164.105.235,,10.165.116.125,,,TCP,3566595,189987
DNMET,10.165.116.113,,10.165.116.51,,80,TCP,1404551,3763252
DNMET,10.165.116.74,,10.100.246.121,,8443,HTTPS,0,0
DNMET,2001:db8:2bda:f8d3:7df6:319a:e813:6e2e,,2001:db8:4c3a:9f21:2be2:e0e:8819:7a7d,,,TCP,0,0
DNMET,2001:db8:548b:87b5:f8fb:a4b0:6a3b:e92f,,2001:db8:1a2b:3c4d:9039:c2e:4d6f:6aa9,,443,HTTPS,1280729,2927363
DNMET,10.165.116.234,,10.164.116.207,,8081,HTTP,3556207,1111129
DNMET,2001:db8:4c3a:9f21:337d:dfa4:5585:e365,,2001:db8:548b:87b5:4748:b74c:a1d8:aab3,,,TCP,1709168,1471667
DNMET,10.164.116.132,,10.164.144.246,,443,HTTPS,2799781,2945640
DNMET,10.164.116.78,,10.100.246.100,,,TCP,3360546,2022423
DNMET,10.165.116.139,,10.100.160.158,,8081,HTTP,1031727,448843
DNMET,10.100.246.146,,10.100.160.109,,80,HTTP,3449417,408327
DNMET,10.165.116.196,,10.164.116.114,,443,HTTPS,3986026,2133837
DNMET,10.100.246.161,,10.100.160.246,,8081,HTTP,1196154,2325664
DNMET,10.164.144.16,,10.164.116.52,,,TCP,2677875,2437738
DNMET,2001:db8:4c3a:9f21:2062:e7f4:8504:1e4e,,2001:db8:548b:87b5:ac25:d007:fd40:504c,,3306,TCP,2322044,1900925
DNMET,10.100.246.67,,10.164.145.116,,80,HTTP,704679,1852332
DNMET,2001:db8:548b:87b5:5cff:d12f:160:b56b,,2001:db8:2bda:f8d3:c142:c184:5664:7b59,,8080,HTTP,152695,3153430
DNMET,2001:db8:2bda:f8d3:fbc6:e633:5b6f:9e0,,2001:db8:2bda:f8d3:4211:bb02:7c68:83a0,,80,HTTP,623110,217594
DNMET,10.165.116.102,,10.165.116.13,,,TCP,1925652,2636188
DNMET,10.165.116.76,,10.164.144.200,,8443,HTTPS,1324580,3215810
DNMET,2001:db8:2bda:f8d3:1d51:edc4:6d51:9462,,2001:db8:ea19:a1e1:8d3b:b15b:fc28:4016,,8443,HTTPS,1685657,1885799
DNMET,10.164.145.188,,10.164.116.20,,8080,TCP,2084466,3630257
DNMET,10.164.116.142,,10.165.116.93,,8081,HTTP,1320335,3469738
DNMET,10.164.105.231,,10.164.105.87,,8443,TCP,2156739,2880459
