App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNMLO,10.100.246.39,,10.164.145.120,,80,HTTP,2932440,1207161
DNMLO,10.164.105.187,,10.164.116.116,,80,HTTP,378928,2848867
DNMLO,2001:db8:548b:87b5:d355:2a29:d951:301c,,2001:db8:1a2b:3c4d:c88:a547:bf30:7ca1,,8443,TCP,304503,3960531
DNMLO,10.100.246.14,,10.164.144.47,,,TCP,3623823,1611543
DNMLO,10.165.116.158,,10.165.116.31,,8443,HTTPS,0,0
DNMLO,10.100.246.248,,10.164.145.62,,443,HTTPS,313042,1711522
DNMLO,10.164.105.141,,10.164.105.27,,8080,HTTP,1987273,3843183
DNMLO,10.164.116.16,,10.164.145.215,,80,HTTP,0,0
DNMLO,10.164.105.128,,10.100.246.243,,1521,TCP,789058,3391793
DNMLO,10.164.144.73,,10.164.105.120,,8443,HTTPS,1939228,3461574
DNMLO,10.164.144.13,,10.100.246.3,,8443,HTTPS,1237028,3926355
DNMLO,10.165.116.174,,10.164.145.243,,80,HTTP,2903001,968032
DNMLO,10.164.145.165,,10.164.145.152,,443,HTTPS,2837691,998275
DNMLO,10.164.145.105,,10.164.144.252,,80,HTTP,642932,2775778
DNMLO,10.164.144.126,,10.164.116.240,,,TCP,1858558,3569936
DNMLO,10.164.116.226,,10.100.246.222,,80,TCP,1226417,3860264
DNMLO,10.164.144.171,,10.164.105.121,,443,HTTPS,2549139,2529772
DNMLO,10.164.105.34,,10.164.105.199,,80,TCP,883224,3414907
DNMLO,10.165.116.213,,10.164.145.88,,,TCP,1510645,3953472
DNMLO,10.100.246.133,,10.164.144.176,,443,HTTPS,2286664,2757643
DNMLO,2001:db8:2582:6d22:6a63:c6a9:3b6d:4b6e,,2001:db8:ea19:a1e1:90d4:faee:6a81:a841,,8443,TCP,1141939,1684156
DNMLO,10.100.246.15,,10.164.145.137,,443,HTTPS,892150,846210
DNMLO,10.164.105.191,,10.164.105.48,,8080,HTTP,2553997,1246616
DNMLO,2001:db8:548b:87b5:811c:81c9:a2b1:3ac4,,2001:db8:2bda:f8d3:1d07:b06e:8d34:162f,,443,HTTPS,1616841,1830912
DNMLO,10.164.144.249,,10.100.160.129,,443,HTTPS,1940754,2842338
DNMLO,10.100.160.216,,10.164.144.8,,443,HTTPS,683728,1542804
DNMLO,2001:db8:ea19:a1e1:7018:fa03:b339:1c0,,2001:db8:2bda:f8d3:79d8:6d23:4fe4:5ad2,,8080,HTTP,1565411,2653128
DNMLO,10.100.246.9,,10.100.246.9,,,TCP,2949699,2487393
DNMLO,10.100.246.215,,10.100.246.155,,8443,HTTPS,129366,2832257
DNMLO,10.100.160.42,,10.164.144.206,,8080,HTTP,390851,694363
DNMLO,10.164.105.177,,10.164.116.32,,,TCP,378751,1869919
DNMLO,10.165.116.15,,10.100.160.89,,80,HTTP,3399825,3473852
DNMLO,10.164.145.149,,10.100.246.255,,8080,HTTP,2558094,2141293
DNMLO,10.164.145.37,,10.164.116.140,,443,HTTPS,2790077,1253322
DNMLO,10.164.105.19,,10.100.160.21,,443,HTTPS,3402863,1988181
DNMLO,2001:db8:ea19:a1e1:4441:1fb4:1a0f:6a46,,2001:db8:2582:6d22:224a:42d:1b09:5a7b,,3306,TCP,2289607,2206171
DNMLO,10.164.144.100,,10.165.116.200,,443,HTTPS,1673157,2743119
DNMLO,10.164.144.113,,10.100.246.154,,8443,HTTPS,1878434,215273
DNMLO,2001:db8:4c3a:9f21:edf6:e5a0:e500:ff86,,2001:db8:2bda:f8d3:57b1:9c28:f47b:38e2,,8443,TCP,610148,374774
DNMLO,10.164.145.40,,10.164.144.185,,8080,HTTP,3529703,3839832
DNMLO,10.100.160.4,,10.100.246.131,,443,HTTPS,427827,3415613
DNMLO,10.164.144.18,,10.164.116.160,,1521,TCP,1125494,3276852
DNMLO,10.164.105.39,,10.164.105.66,,443,HTTPS,2347080,2021402
DNMLO,10.164.105.39,,10.164.145.1,,8080,HTTP,0,0
DNMLO,10.165.116.212,,10.164.116.143,,80,TCP,3778861,125604
DNMLO,2001:db8:1a2b:3c4d:8b4b:6b42:a068:de8a,,2001:db8:ea19:a1e1:d053:2808:25d4:d6c,,5432,TCP,824816,3634775
DNMLO,2001:db8:1a2b:3c4d:cb86:a0d8:8a6a:1b25,,2001:db8:2582:6d22:e1a6:b4c4:efe8:77e6,,,TCP,3940010,2274991
DNMLO,10.164.105.16,,10.100.160.232,,80,HTTP,411122,2212188
DNMLO,10.164.144.214,,10.164.116.179,,443,HTTPS,2884641,1501862
DNMLO,10.164.145.11,,10.164.105.25,,22,TCP,0,0
DNMLO,2001:db8:2582:6d22:54bf:a7a4:ede3:10e9,,2001:db8:2582:6d22:a6ed:75be:a13a:55f4,,,TCP,2364399,1807754
DNMLO,2001:db8:548b:87b5:e68c:b1ba:b6eb:2780,,2001:db8:1a2b:3c4d:de70:7c0e:a6ea:2cc2,,8443,HTTPS,2518165,856052
DNMLO,10.164.144.140,,10.164.105.74,,,TCP,1217903,1830981
DNMLO,10.164.116.52,,10.164.116.208,,80,HTTP,588581,2346001
DNMLO,2001:db8:ea19:a1e1:2828:e6a8:92d3:4b6,,2001:db8:ea19:a1e1:3b1d:31cf:79a7:839,,8443,HTTPS,1784647,1448929
DNMLO,10.164.116.172,,10.164.144.169,,80,HTTP,2478173,279637
DNMLO,2001:db8:2bda:f8d3:cfdf:88f8:6b12:121a,,2001:db8:4c3a:9f21:76c6:1e2e:1262:1ecb,,8081,HTTP,3913871,3719210
DNMLO,10.100.160.117,,10.100.160.244,,,TCP,814349,1545080
DNMLO,10.164.144.97,,10.164.116.176,,443,HTTPS,607394,756166
DNMLO,10.164.144.23,,10.100.160.15,,443,HTTPS,832587,2720127
DNMLO,10.100.160.139,,10.100.246.221,,443,TCP,506550,100421
