App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNMMZ,10.164.144.238,,10.164.116.43,,,TCP,0,0
DNMMZ,10.100.160.117,,10.164.105.243,,8443,HTTPS,2655736,3925727
DNMMZ,10.100.160.164,,10.164.105.127,,8081,HTTP,1255953,3714545
DNMMZ,10.165.116.196,,10.164.116.88,,,TCP,0,0
DNMMZ,10.164.116.200,,10.164.145.100,,8081,HTTP,3618292,1543107
DNMMZ,10.164.144.35,,10.165.116.169,,80,TCP,3164900,3408453
DNMMZ,10.165.116.109,,10.164.145.218,,443,HTTPS,1821651,367614
DNMMZ,10.164.105.135,,10.164.116.181,,8080,HTTP,1570266,3842843
DNMMZ,2001:db8:ea19:a1e1:b46e:b4bc:9bec:c679,,2001:db8:2bda:f8d3:7972:23f2:2ec3:5c27,,80,HTTP,1246802,2295233
DNMMZ,2001:db8:548b:87b5:9ea9:6ab5:21a5:494d,,2001:db8:548b:87b5:67cb:4a86:ade6:8538,,,TCP,3536564,2178635
DNMMZ,10.164.105.33,,10.164.144.170,,8443,HTTPS,3534891,1849352
DNMMZ,10.165.116.87,,10.100.246.227,,3306,TCP,3655769,3358254
DNMMZ,10.100.246.76,,10.100.246.140,,,TCP,0,0
DNMMZ,10.165.116.37,,10.100.160.69,,,TCP,3227692,2534855
DNMMZ,10.164.144.160,,10.100.160.18,,8443,TCP,2497396,1351918
DNMMZ,10.100.160.28,,10.100.160.31,,8443,HTTPS,269737,609826
DNMMZ,10.100.160.49,,10.164.105.89,,443,HTTPS,689245,1340434
DNMMZ,10.164.144.218,,10.164.144.231,,8080,TCP,3820804,1341984
DNMMZ,2001:db8:2582:6d22:9be8:f86e:dce4:ffb5,,2001:db8:4c3a:9f21:73f7:ec3b:c478:6e01,,80,HTTP,2650359,2080116
DNMMZ,10.164.116.106,,10.165.116.1,,8443,HTTPS,716143,594613
DNMMZ,10.164.116.89,,10.100.246.37,,443,HTTPS,2129038,2632130
DNMMZ,10.164.144.129,,10.164.116.201,,80,HTTP,2335383,2195459
DNMMZ,10.100.160.198,,10.164.116.97,,8443,HTTPS,2251348,3672371
DNMMZ,10.164.144.110,,10.164.144.187,,8081,HTTP,2667169,856411
DNMMZ,10.164.105.208,,10.164.105.148,,80,HTTP,602787,961958
DNMMZ,10.100.246.191,,10.100.160.197,,389,TCP,878653,1019764
DNMMZ,10.100.160.17,,10.164.145.149,,80,HTTP,3685578,2270167
DNMMZ,10.100.160.152,,10.164.116.17,,80,HTTP,1307037,3511024
DNMMZ,10.100.246.55,,10.164.144.244,,8443,HTTPS,529281,3376959
DNMMZ,10.164.144.130,,10.165.116.41,,8081,HTTP,769926,2156179
DNMMZ,2001:db8:548b:87b5:2980:f7b5:e86b:b300,,2001:db8:2bda:f8d3:b3c9:3829:5250:871b,,8081,HTTP,3173963,957548
DNMMZ,10.100.246.122,,10.100.246.95,,5432,TCP,3628399,1148214
DNMMZ,10.164.145.88,,10.164.116.48,,8443,HTTPS,2461376,2713046
DNMMZ,2001:db8:ea19:a1e1:364e:4bbb:1501:dbbc,,2001:db8:1a2b:3c4d:6335:c6b7:6ba4:5237,,8443,HTTPS,2019163,3865632
DNMMZ,10.164.116.224,,10.100.246.34,,80,HTTP,1782630,1692441
