App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNPGR,10.100.160.246,,10.164.105.51,,80,HTTP,2058273,232450
DNPGR,10.165.116.93,,10.164.144.32,,3306,TCP,1061195,1505234
DNPGR,2001:db8:548b:87b5:dcf9:8f24:2a20:70ec,,2001:db8:ea19:a1e1:5396:c7ff:e4a2:a443,,80,HTTP,3634139,3733709
DNPGR,2001:db8:2bda:f8d3:1191:6202:4dc2:6314,,2001:db8:4c3a:9f21:a2e7:b4b3:1e77:dfe3,,80,TCP,748882,3378525
DNPGR,2001:db8:1a2b:3c4d:b86d:30be:4119:1b0a,,2001:db8:548b:87b5:893f:77c7:857d:5b11,,8080,HTTP,3166532,1911052
DNPGR,10.100.246.12,,10.100.246.129,,8443,HTTPS,0,0
DNPGR,10.164.144.188,,10.100.160.150,,8443,HTTPS,1259882,493462
DNPGR,10.100.246.54,,10.100.246.54,,443,TCP,1370633,1199463
DNPGR,10.164.145.216,,10.164.116.16,,3306,TCP,1223773,3962407
DNPGR,10.165.116.228,,10.100.160.168,,,TCP,1554058,3768296
DNPGR,10.100.246.177,,10.164.144.210,,1521,TCP,1290145,3716130
DNPGR,10.100.246.16,,10.164.145.45,,443,HTTPS,1887157,281987
DNPGR,10.164.116.126,,10.164.145.167,,8443,HTTPS,483581,916866
DNPGR,10.164.144.3,,10.164.144.104,,8080,HTTP,2732399,2762561
DNPGR,10.164.144.76,,10.100.246.4,,8443,HTTPS,3994613,2679004
DNPGR,10.164.144.254,,10.164.144.238,,8443,HTTPS,0,0
DNPGR,10.164.105.70,,10.164.116.96,,8443,HTTPS,2183433,1845019
DNPGR,10.100.160.32,,10.165.116.144,,8080,HTTP,2240056,3435703
DNPGR,10.100.246.3,,10.100.160.172,,389,TCP,0,0
DNPGR,10.165.116.31,,10.100.246.183,,80,HTTP,3677582,1002619
DNPGR,10.100.246.207,,10.100.246.68,,8443,HTTPS,0,0
DNPGR,2001:db8:1a2b:3c4d:8259:de97:673:f2ef,,2001:db8:2bda:f8d3:891:807e:cffe:9499,,8080,TCP,1259095,1820865
DNPGR,10.100.160.215,,10.165.116.228,,443,HTTPS,0,0
DNPGR,10.165.116.33,,10.100.160.3,,8081,HTTP,754573,3861842
DNPGR,10.164.116.90,,10.164.145.145,,8443,HTTPS,1573375,584241
DNPGR,10.164.144.132,,10.164.145.103,,8081,HTTP,489089,1941659
DNPGR,2001:db8:ea19:a1e1:cbb0:ed44:a5d0:8e8a,,2001:db8:ea19:a1e1:48cc:bf79:7cde:4129,,80,HTTP,1901963,972942
DNPGR,10.164.105.94,,10.164.145.204,,443,HTTPS,1676325,2542513
DNPGR,10.164.145.40,,10.164.105.32,,80,HTTP,1593433,1855548
DNPGR,2001:db8:2582:6d22:c9a:830f:f02a:83bc,,2001:db8:548b:87b5:d78d:9826:f309:327e,,,TCP,3589586,208124
DNPGR,2001:db8:2bda:f8d3:6cfc:eb2a:91e9:a59f,,2001:db8:2582:6d22:8eda:a3db:df15:7669,,80,HTTP,1521961,1804513
DNPGR,10.164.145.126,,10.165.116.18,,8080,TCP,3839638,2959918
DNPGR,10.164.144.242,,10.164.144.242,,8443,TCP,1899497,2158062
DNPGR,10.100.246.80,,10.164.105.33,,443,TCP,3312899,3013884
DNPGR,10.100.160.221,,10.164.145.121,,80,HTTP,2523398,2564632
DNPGR,10.100.246.189,,10.165.116.186,,80,TCP,3445568,1109055
DNPGR,10.164.116.219,,10.100.246.99,,8081,HTTP,1337052,521145
DNPGR,2001:db8:1a2b:3c4d:5b10:ac4e:de34:e78d,,2001:db8:2582:6d22:7304:926d:c231:adad,,80,HTTP,2052455,3126994
DNPGR,10.164.105.69,,10.164.145.187,,80,HTTP,2231819,3353322
DNPGR,10.164.145.79,,10.164.144.32,,443,HTTPS,1357900,1210652
DNPGR,10.164.144.169,,10.164.105.141,,22,TCP,3097010,1240137
DNPGR,10.164.105.79,,10.164.145.186,,8081,HTTP,684183,3755673
DNPGR,2001:db8:4c3a:9f21:a149:43e2:f990:f46f,,2001:db8:2bda:f8d3:4d79:7882:7866:19f6,,1521,TCP,2927343,2272874
DNPGR,10.100.160.249,,10.100.160.96,,1521,TCP,1455319,907151
DNPGR,10.100.246.63,,10.165.116.222,,80,HTTP,3699005,1230429
DNPGR,10.100.246.14,,10.100.246.115,,8443,HTTPS,2373321,3179208
DNPGR,2001:db8:2bda:f8d3:fe5:6a7:aac:cf5b,,2001:db8:ea19:a1e1:296a:440f:abbc:ad01,,,TCP,1850988,1354695
DNPGR,10.164.145.84,,10.164.116.152,,8443,HTTPS,3364734,2976970
DNPGR,10.164.144.106,,10.164.145.155,,8080,HTTP,2842020,1274455
DNPGR,10.164.145.96,,10.100.160.77,,80,HTTP,3153660,2083625
DNPGR,10.164.145.210,,10.164.145.226,,389,TCP,1171756,1112103
