App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNRAS,10.164.145.127,,10.165.116.193,,8443,TCP,3332108,1110412
DNRAS,10.164.116.219,,10.164.105.178,,8081,HTTP,2951759,1404008
DNRAS,10.165.116.73,,10.100.246.7,,8080,HTTP,2293662,2438462
DNRAS,2001:db8:2bda:f8d3:68a3:96fc:166c:589,,2001:db8:2bda:f8d3:e64c:8a66:7b1c:7842,,8080,TCP,1628616,881860
DNRAS,2001:db8:4c3a:9f21:67a0:9bda:a69f:b357,,2001:db8:4c3a:9f21:e305:50cf:e47d:de08,,80,HTTP,0,0
DNRAS,10.164.144.145,,10.100.246.23,,8080,HTTP,3906951,2276362
DNRAS,2001:db8:2582:6d22:e1d3:e779:394c:fd4f,,2001:db8:2bda:f8d3:814b:c74b:5598:9ee1,,8443,HTTPS,0,0
DNRAS,10.165.116.245,,10.164.116.206,,8080,HTTP,3909851,151115
DNRAS,10.100.160.97,,10.100.246.226,,8443,HTTPS,2094546,3548999
DNRAS,10.164.145.226,,10.164.116.62,,8443,HTTPS,2970339,1795111
DNRAS,10.164.144.98,,10.164.145.172,,8081,HTTP,710856,831307
DNRAS,10.165.116.236,,10.100.160.18,,443,HTTPS,1383785,304372
DNRAS,10.165.116.118,,10.164.105.202,,8080,HTTP,407193,1237417
DNRAS,10.164.116.150,,10.164.116.173,,8443,HTTPS,609256,2202345
DNRAS,10.100.246.2,,10.100.160.31,,443,HTTPS,797070,182680
DNRAS,10.164.105.33,,10.100.160.243,,8080,HTTP,643498,3517237
DNRAS,10.165.116.93,,10.164.144.179,,80,HTTP,0,0
DNRAS,2001:db8:1a2b:3c4d:cb95:e9d7:b05d:c47f,,2001:db8:2bda:f8d3:7955:cdb7:84b3:1a4d,,,TCP,1148183,658868
DNRAS,2001:db8:2bda:f8d3:354d:efdb:6778:375d,,2001:db8:548b:87b5:dd83:9d94:bc11:fe6d,,8080,HTTP,1038873,2739047
DNRAS,10.100.160.120,,10.165.116.123,,80,HTTP,3185998,2400838
DNRAS,2001:db8:2582:6d22:510e:a0bb:e950:7945,,2001:db8:2bda:f8d3:845e:895c:82d4:409b,,8443,HTTPS,2924942,2720929
DNRAS,10.100.246.43,,10.164.145.62,,80,HTTP,2469492,1804507
DNRAS,10.164.144.129,,10.164.116.200,,8443,HTTPS,3203541,956984
DNRAS,10.164.116.39,,10.100.246.31,,8443,HTTPS,2400587,2994115
DNRAS,10.164.116.131,,10.100.246.62,,8080,HTTP,1464858,3671311
DNRAS,10.165.116.66,,10.165.116.112,,443,HTTPS,1816799,3109074
DNRAS,2001:db8:4c3a:9f21:cdaf:b798:c2ea:6bf8,,2001:db8:ea19:a1e1:d8c6:18d3:6a88:aec7,,8443,TCP,2330890,3630140
DNRAS,10.164.116.91,,10.164.116.24,,8080,TCP,3962736,3539770
DNRAS,10.100.246.130,,10.164.144.60,,8443,HTTPS,0,0
DNRAS,10.164.105.17,,10.164.145.4,,8080,TCP,2784816,184500
DNRAS,10.100.160.17,,10.100.246.100,,443,HTTPS,3565949,2862534
DNRAS,10.100.160.105,,10.164.144.27,,8081,HTTP,3689546,3259985
DNRAS,10.100.246.209,,10.100.160.133,,,TCP,1255248,3368761
DNRAS,2001:db8:2bda:f8d3:ce34:9cdf:a56d:9b90,,2001:db8:548b:87b5:a912:9448:a9e1:de60,,443,HTTPS,891951,896432
DNRAS,2001:db8:2582:6d22:32fd:26cf:d374:10c5,,2001:db8:ea19:a1e1:ac89:6a12:c117:5223,,80,HTTP,0,0
DNRAS,2001:db8:ea19:a1e1:ba16:b978:2b8a:6340,,2001:db8:1a2b:3c4d:e28:a8b2:4864:d1f1,,8080,HTTP,402423,2057672
DNRAS,10.164.144.127,,10.164.145.125,,3306,TCP,1176151,676860
DNRAS,10.164.145.43,,10.100.160.244,,8443,HTTPS,2267976,560539
DNRAS,10.164.144.140,,10.100.160.81,,8080,HTTP,1622870,2832338
