App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNRCB,10.164.116.77,,10.164.116.34,,8443,HTTPS,3799898,606212
DNRCB,10.164.144.71,,10.100.160.32,,80,HTTP,0,0
DNRCB,10.164.144.134,,10.100.246.35,,,TCP,1734638,1287486
DNRCB,10.164.145.12,,10.164.144.130,,1521,TCP,1163483,1607189
DNRCB,2001:db8:4c3a:9f21:6855:4b62:d075:50e6,,2001:db8:548b:87b5:c86e:4907:3f57:7cd7,,8443,TCP,3226912,2245748
DNRCB,10.165.116.120,,10.100.246.93,,443,HTTPS,810984,3257851
DNRCB,10.164.116.225,,10.164.116.12,,8443,HTTPS,954360,3736322
DNRCB,2001:db8:2bda:f8d3:7f0a:42aa:10fc:a127,,2001:db8:1a2b:3c4d:da94:a440:8895:538f,,443,HTTPS,606477,1666146
DNRCB,10.164.105.135,,10.164.145.127,,,TCP,2218601,2081938
DNRCB,2001:db8:ea19:a1e1:f513:c9d5:85d5:2ef,,2001:db8:2582:6d22:d454:8671:c112:34bf,,,TCP,860649,3820750
DNRCB,10.164.116.25,,10.164.144.2,,8081,HTTP,596548,303536
DNRCB,2001:db8:4c3a:9f21:63cf:3593:e971:c792,,2001:db8:1a2b:3c4d:f0ba:231:4479:1892,,8443,HTTPS,0,0
DNRCB,10.100.246.53,,10.164.145.223,,,TCP,1002355,3017137
DNRCB,10.164.105.226,,10.164.105.159,,443,HTTPS,2372583,1532871
DNRCB,10.164.116.251,,10.164.144.226,,5432,TCP,1323872,2288027
DNRCB,10.164.145.77,,10.164.145.134,,8081,HTTP,1720646,1076089
DNRCB,10.100.160.166,,10.164.144.215,,8443,TCP,3049953,2806523
DNRCB,10.164.105.26,,10.164.145.76,,80,HTTP,181734,3509550
DNRCB,2001:db8:ea19:a1e1:e91e:1b34:ce41:ae8b,,2001:db8:ea19:a1e1:11fe:14e2:2532:69bf,,80,TCP,382900,2862766
DNRCB,10.164.116.105,,10.164.145.93,,8080,HTTP,513153,1535629
DNRCB,10.100.246.204,,10.165.116.243,,8443,TCP,532632,3267391
DNRCB,10.164.145.52,,10.100.246.189,,8443,HTTPS,256243,2016961
DNRCB,10.164.145.10,,10.164.144.181,,8443,HTTPS,3037772,989956
DNRCB,10.100.246.222,,10.165.116.236,,8081,HTTP,2406650,3521983
DNRCB,2001:db8:548b:87b5:bac0:12bf:b165:d9a7,,2001:db8:2bda:f8d3:a0d2:f46a:a954:9588,,3306,TCP,1669782,2094897
DNRCB,10.100.246.17,,10.164.145.24,,8443,HTTPS,3014298,1082859
DNRCB,10.165.116.26,,10.100.160.221,,80,HTTP,1414808,3929921
DNRCB,10.100.246.90,,10.165.116.16,,22,TCP,1832571,1995100
DNRCB,10.100.246.137,,10.165.116.129,,443,HTTPS,3839003,390884
DNRCB,10.165.116.76,,10.164.144.252,,443,HTTPS,3476124,1964805
DNRCB,10.164.145.209,,10.164.144.77,,80,HTTP,1184315,3830977
DNRCB,10.100.246.219,,10.165.116.240,,8080,HTTP,0,0
DNRCB,2001:db8:4c3a:9f21:e43f:9c60:e4ec:aa08,,2001:db8:2bda:f8d3:eeb0:50e0:56be:9c9c,,8081,HTTP,2255454,614445
DNRCB,10.100.246.18,,10.164.144.183,,8080,HTTP,2978937,1427624
DNRCB,10.100.160.129,,10.100.160.10,,8081,HTTP,1266632,935546
DNRCB,10.165.116.80,,10.164.116.230,,3306,TCP,2641728,3110317
DNRCB,10.100.160.90,,10.100.246.146,,1521,TCP,1151266,2424278
DNRCB,2001:db8:2bda:f8d3:96f6:9cc6:8b75:8df7,,2001:db8:2bda:f8d3:be6f:fd89:18d3:9ccd,,8443,TCP,2141733,2302410
DNRCB,10.164.144.220,,10.165.116.124,,443,HTTPS,2550135,2974056
