App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNRCT,10.100.246.156,,10.165.116.112,,3306,TCP,3307110,1740987
DNRCT,10.164.145.248,,10.165.116.215,,443,HTTPS,2735812,1570188
DNRCT,10.164.144.144,,10.164.105.242,,80,HTTP,3052583,817194
DNRCT,10.164.105.229,,10.164.105.181,,80,HTTP,3409463,3632703
DNRCT,10.164.116.129,,10.164.105.36,,,TCP,3517064,226665
DNRCT,10.100.246.128,,10.164.105.127,,8080,TCP,0,0
DNRCT,10.164.145.63,,10.164.145.73,,22,TCP,0,0
DNRCT,10.100.160.70,,10.100.246.242,,5432,TCP,227234,342817
DNRCT,2001:db8:2582:6d22:1d58:fa65:c2c3:5739,,2001:db8:1a2b:3c4d:7644:60b2:a48c:216f,,,TCP,1115972,2404079
DNRCT,10.164.116.105,,10.164.116.206,,8443,HTTPS,709810,587889
DNRCT,10.100.246.241,,10.100.246.82,,80,TCP,3511590,3133315
DNRCT,10.164.116.45,,10.165.116.224,,8443,HTTPS,3593332,885166
DNRCT,10.164.144.223,,10.100.246.45,,443,HTTPS,2291529,324670
DNRCT,10.164.116.163,,10.164.105.168,,443,HTTPS,3094177,1985196
DNRCT,10.164.116.4,,10.100.246.12,,80,HTTP,3945528,242049
DNRCT,10.100.246.81,,10.164.116.193,,80,HTTP,388088,1744634
DNRCT,2001:db8:2582:6d22:9837:4089:8d44:83d3,,2001:db8:2bda:f8d3:b896:6ac0:ad85:a255,,443,HTTPS,3021905,2869378
DNRCT,10.164.105.10,,10.165.116.124,,8081,HTTP,0,0
DNRCT,10.165.116.75,,10.164.116.113,,443,TCP,0,0
DNRCT,10.164.105.5,,10.164.105.191,,8080,HTTP,1301559,2264328
DNRCT,2001:db8:2bda:f8d3:18f6:1454:7f3d:ea4d,,2001:db8:4c3a:9f21:4487:b04d:d0ec:2d1,,8081,HTTP,0,0
DNRCT,10.164.116.93,,10.165.116.124,,8443,TCP,1084446,3834826
DNRCT,10.164.145.169,,10.164.144.227,,80,HTTP,3986559,3981710
DNRCT,2001:db8:1a2b:3c4d:3e16:d0c6:9a75:4325,,2001:db8:2582:6d22:56ee:d98b:c61d:e4e8,,443,HTTPS,2285516,1926179
DNRCT,10.164.105.109,,10.164.116.135,,8443,HTTPS,1282591,879636
DNRCT,10.164.105.29,,10.165.116.102,,80,HTTP,1719678,3266447
DNRCT,10.164.116.157,,10.164.145.130,,8081,HTTP,982046,126849
DNRCT,10.100.246.157,,10.164.105.172,,8443,HTTPS,145625,394305
DNRCT,10.164.116.86,,10.100.246.199,,8080,HTTP,2792772,3267534
DNRCT,10.164.144.251,,10.100.246.99,,8080,HTTP,3022259,2987693
DNRCT,10.164.144.237,,10.164.144.53,,8081,HTTP,193140,1812337
DNRCT,10.164.144.218,,10.164.145.155,,80,HTTP,0,0
DNRCT,10.100.160.78,,10.164.105.23,,22,TCP,1754792,1602895
DNRCT,10.164.116.233,,10.100.246.178,,443,HTTPS,2997293,966712
DNRCT,10.100.160.237,,10.164.105.226,,8443,HTTPS,3232337,806217
DNRCT,10.165.116.208,,10.164.116.126,,8081,HTTP,3880718,1893019
DNRCT,10.164.144.133,,10.100.246.180,,8443,HTTPS,2184805,3345060
DNRCT,10.100.160.129,,10.100.246.29,,8081,HTTP,1562217,3937893
DNRCT,10.100.160.85,,10.165.116.178,,,TCP,2632410,2894079
DNRCT,2001:db8:2bda:f8d3:67bf:31a8:3087:885a,,2001:db8:548b:87b5:6ef7:60ec:4428:1c36,,8081,HTTP,1017568,3880030
DNRCT,10.164.105.27,,10.100.246.77,,8443,HTTPS,2450487,1720724
DNRCT,10.100.160.103,,10.164.116.55,,80,HTTP,1058449,1429172
DNRCT,2001:db8:2bda:f8d3:d8bf:a2ff:f92f:5167,,2001:db8:1a2b:3c4d:2d37:a52e:1227:66ec,,80,TCP,1714126,2170658
DNRCT,10.164.116.163,,10.165.116.89,,443,HTTPS,2007466,3326586
DNRCT,10.164.116.62,,10.164.116.59,,8080,HTTP,2329049,3179634
DNRCT,10.100.246.97,,10.164.116.155,,443,TCP,0,0
DNRCT,10.164.144.135,,10.164.145.10,,8443,HTTPS,1874665,3134633
DNRCT,10.100.160.51,,10.100.246.199,,8080,HTTP,1582027,945684
DNRCT,10.164.145.62,,10.164.145.23,,8081,HTTP,3569312,1365136
DNRCT,2001:db8:2bda:f8d3:783b:24c6:a3d:6b59,,2001:db8:ea19:a1e1:3f1c:184d:5e12:cdb2,,8443,HTTPS,1206236,432104
DNRCT,10.164.145.189,,10.164.116.245,,443,HTTPS,835649,2019207
DNRCT,2001:db8:4c3a:9f21:327f:720c:af35:73af,,2001:db8:1a2b:3c4d:e6f5:2b23:29f8:360b,,389,TCP,2003163,3585408
DNRCT,10.100.160.255,,10.164.116.28,,3306,TCP,2966870,2397020
DNRCT,10.164.144.9,,10.164.145.234,,443,TCP,3990446,3791083
DNRCT,10.164.116.18,,10.164.144.46,,80,TCP,533343,1658098
DNRCT,10.100.160.70,,10.100.160.229,,443,HTTPS,289954,3482891
DNRCT,10.164.144.208,,10.165.116.98,,8443,HTTPS,458868,2621311
DNRCT,2001:db8:4c3a:9f21:42f5:f188:994d:6335,,2001:db8:548b:87b5:4815:a8e7:7045:6859,,443,HTTPS,3131172,1608730
