App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNREP,10.165.116.132,,10.100.160.247,,8443,HTTPS,540856,3010757
DNREP,10.164.116.115,,10.100.246.182,,8080,TCP,3775551,3914144
DNREP,10.165.116.109,,10.164.145.49,,80,HTTP,2877301,3759505
DNREP,10.164.145.76,,10.164.105.20,,389,TCP,2716347,227140
DNREP,10.165.116.23,,10.100.160.244,,443,HTTPS,3812710,1425135
DNREP,10.100.160.227,,10.164.144.168,,443,HTTPS,0,0
DNREP,2001:db8:ea19:a1e1:f082:d7e5:26bf:fa83,,2001:db8:2bda:f8d3:161d:73d5:a076:3f35,,443,HTTPS,1745528,1871548
DNREP,10.164.116.71,,10.164.105.82,,,TCP,3689431,1054742
DNREP,10.100.246.155,,10.164.105.159,,80,HTTP,482380,2031471
DNREP,10.164.105.188,,10.164.105.234,,443,TCP,0,0
DNREP,10.164.105.158,,10.100.160.36,,80,HTTP,1719646,610201
DNREP,10.100.160.111,,10.100.160.37,,389,TCP,560396,3034718
DNREP,10.164.144.53,,10.164.105.184,,80,HTTP,146884,344744
DNREP,2001:db8:ea19:a1e1:e06f:771c:aea8:fc8e,,2001:db8:2582:6d22:49b6:a087:6cc1:9bf3,,1521,TCP,1334541,1555659
DNREP,10.165.116.246,,10.164.145.71,,8443,HTTPS,3427265,770468
DNREP,10.164.144.216,,10.164.144.221,,8081,HTTP,2095223,780681
DNREP,10.164.145.79,,10.100.246.161,,8443,HTTPS,2177433,1358518
DNREP,10.164.144.112,,10.100.246.105,,8080,HTTP,2536912,2526833
DNREP,10.164.105.95,,10.100.246.106,,443,HTTPS,2206030,2149773
DNREP,10.164.116.224,,10.100.160.176,,8081,HTTP,3818657,3372625
DNREP,10.100.246.93,,10.165.116.158,,8443,HTTPS,0,0
DNREP,2001:db8:2582:6d22:7148:5862:920f:a21e,,2001:db8:2bda:f8d3:a1e9:d50b:d790:cc38,,1521,TCP,1854370,886974
DNREP,10.164.145.111,,10.164.144.222,,1521,TCP,3543796,3066857
DNREP,10.164.116.93,,10.100.160.255,,3306,TCP,2897235,2140114
DNREP,10.165.116.255,,10.100.246.160,,1521,TCP,2316712,2583542
DNREP,10.100.160.203,,10.164.145.107,,8443,HTTPS,226432,381198
DNREP,10.164.144.234,,10.164.105.253,,443,HTTPS,2513330,1184445
DNREP,10.165.116.201,,10.164.105.40,,80,HTTP,3777422,2672628
DNREP,10.100.246.43,,10.164.105.144,,,TCP,697256,3953871
DNREP,10.164.105.126,,10.100.246.185,,,TCP,1027076,3634424
DNREP,10.164.116.248,,10.165.116.97,,443,HTTPS,1465561,3394658
DNREP,2001:db8:2582:6d22:adc3:dcbe:e1ea:a8fb,,2001:db8:548b:87b5:a84b:313c:2120:c651,,,TCP,2692140,420514
DNREP,10.165.116.113,,10.165.116.142,,8081,HTTP,783271,796704
DNREP,10.100.246.5,,10.164.144.181,,8080,HTTP,0,0
DNREP,10.164.116.248,,10.100.246.121,,443,HTTPS,2722367,689411
DNREP,10.164.145.176,,10.164.144.209,,443,HTTPS,1075420,3957993
DNREP,10.100.246.231,,10.165.116.208,,,TCP,3749391,775257
DNREP,10.164.145.90,,10.100.160.210,,5432,TCP,3261237,2390231
DNREP,10.164.105.225,,10.164.144.252,,8443,HTTPS,2360692,3659525
DNREP,10.100.246.212,,10.164.144.77,,8080,TCP,0,0
DNREP,10.164.116.57,,10.164.145.233,,8080,HTTP,2947611,3776502
DNREP,10.100.160.135,,10.164.116.96,,8081,HTTP,2955657,2442337
DNREP,10.164.116.41,,10.164.105.139,,3306,TCP,3592321,340578
DNREP,10.100.246.189,,10.100.160.109,,1521,TCP,1950511,299057
DNREP,10.164.105.238,,10.165.116.173,,,TCP,250578,2125616
DNREP,10.164.145.151,,10.164.145.176,,8081,HTTP,2245469,2927080
DNREP,2001:db8:1a2b:3c4d:f3fa:fbb6:fdd5:fd0f,,2001:db8:4c3a:9f21:2fd1:3c3e:8c73:3167,,443,HTTPS,0,0
DNREP,10.165.116.245,,10.100.160.234,,8081,HTTP,2750752,2683869
DNREP,10.164.116.118,,10.164.116.182,,8443,HTTPS,1530976,1248838
DNREP,10.164.116.48,,10.164.116.107,,443,HTTPS,3248315,1074613
DNREP,2001:db8:2bda:f8d3:9cb3:68a8:195e:a9a2,,2001:db8:2bda:f8d3:b6c3:c5d8:cf27:c16d,,8443,HTTPS,2916528,1279198
DNREP,10.100.160.127,,10.100.246.124,,8080,HTTP,1690863,1132753
DNREP,10.100.246.84,,10.164.145.92,,80,HTTP,1773866,2946214
DNREP,10.164.116.233,,10.164.116.248,,1521,TCP,856250,2528612
DNREP,10.164.144.224,,10.164.116.19,,443,HTTPS,990270,1913861
DNREP,10.100.160.132,,10.100.160.216,,8443,TCP,0,0
