App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNRGE,10.164.116.66,,10.164.144.37,,8081,HTTP,2559536,3650716
DNRGE,2001:db8:2bda:f8d3:a294:55bc:a728:b8e5,,2001:db8:2bda:f8d3:724b:c957:ad40:ff0f,,1521,TCP,3160739,606140
DNRGE,10.100.246.76,,10.164.105.212,,8443,HTTPS,2948936,534615
DNRGE,10.165.116.90,,10.164.144.3,,443,TCP,1459440,2746040
DNRGE,10.100.160.6,,10.100.160.210,,8080,TCP,359035,570591
DNRGE,10.164.105.118,,10.100.160.166,,8443,HTTPS,0,0
DNRGE,10.164.144.163,,10.164.116.241,,8443,TCP,2279750,300269
DNRGE,10.165.116.185,,10.164.105.214,,1521,TCP,3597661,1551473
DNRGE,2001:db8:548b:87b5:31:b643:6e9f:b017,,2001:db8:2bda:f8d3:c0aa:3d04:19a9:c1b5,,8081,HTTP,134946,3583213
DNRGE,10.164.105.80,,10.100.160.49,,8081,HTTP,2081618,863021
DNRGE,10.164.145.95,,10.164.145.116,,8443,HTTPS,3233271,3406822
DNRGE,2001:db8:548b:87b5:308b:2719:70ab:a0b4,,2001:db8:548b:87b5:4c31:8dec:73db:b947,,5432,TCP,3145195,2914010
DNRGE,10.164.116.129,,10.100.246.2,,389,TCP,3119321,3095589
DNRGE,10.100.246.218,,10.100.160.197,,8443,HTTPS,901385,1544539
DNRGE,2001:db8:ea19:a1e1:d879:7020:e94e:3808,,2001:db8:2bda:f8d3:fddf:383f:8ccd:a09e,,8443,HTTPS,1704802,1604358
DNRGE,10.100.246.177,,10.100.160.195,,1521,TCP,3294046,2004599
DNRGE,2001:db8:2bda:f8d3:3d40:e202:d760:37f,,2001:db8:1a2b:3c4d:613d:6a2d:2fe4:b56,,8443,HTTPS,3222213,250157
DNRGE,2001:db8:2582:6d22:93f3:e926:c654:6d5a,,2001:db8:548b:87b5:2519:2f89:f350:beda,,80,TCP,1831116,1817386
DNRGE,10.100.246.35,,10.165.116.102,,,TCP,381483,1772781
DNRGE,10.100.246.220,,10.100.246.139,,,TCP,3951077,1880080
DNRGE,10.164.145.41,,10.164.116.48,,5432,TCP,1626002,2017973
