App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNROM,10.164.145.114,,10.164.105.59,,3306,SQL,3009513,3012684
DNROM,10.164.145.3,,10.164.105.179,,5432,ORACLE,3383090,2760524
DNROM,10.164.145.7,,10.164.105.17,,27017,TLS,2855847,2602028
DNROM,10.164.145.166,,10.164.105.70,,3306,POSTGRESQL,3346861,2845069
DNROM,10.164.105.45,,10.164.105.118,,1521,MYSQL,1950351,1613500
DNROM,10.164.105.185,,10.164.105.201,,5432,MYSQL,1062631,4335400
DNROM,2001:db8:548b:87b5:1a05:ba29:76d:d9bf,,2001:db8:548b:87b5:5e30:f7ec:9cbf:3ec,,3306,TLS,3822440,4858551
DNROM,10.164.105.95,,10.164.105.144,,27017,DB2,3727518,3632995
DNROM,10.164.105.210,,10.164.105.113,,1521,MYSQL,1567770,3762911
DNROM,10.164.145.77,,10.164.105.26,,5432,DB2,3491283,1380209
DNROM,10.164.105.47,,10.164.105.188,,27017,SQL,2499937,2097549
DNROM,10.164.145.96,,10.164.105.69,,27017,DB2,2742876,1062594
DNROM,10.164.145.143,,10.164.105.84,,5432,ORACLE,0,0
DNROM,10.164.145.210,,10.164.105.23,,27017,POSTGRESQL,1091203,1954181
DNROM,10.164.105.74,,10.164.105.73,,5432,SQL,2615008,4232191
DNROM,10.164.105.210,,10.164.105.62,,1433,SQL,3554830,2890205
DNROM,10.164.145.173,,10.164.105.176,,1433,DB2,1354054,2935170
DNROM,10.164.105.233,,10.164.105.95,,1521,POSTGRESQL,2281833,3428779
DNROM,10.164.105.193,,10.164.105.50,,3306,POSTGRESQL,2122705,1950177
DNROM,10.164.105.148,,10.164.105.255,,1521,TLS,2570998,4034345
DNROM,10.164.145.80,,10.164.105.197,,3306,DB2,3466580,3127572
DNROM,10.164.145.229,,10.164.105.33,,1521,DB2,2599145,4953136
DNROM,2001:db8:2bda:f8d3:31c0:c665:c6c9:2309,,2001:db8:548b:87b5:8222:9548:c112:1a9a,,27017,MYSQL,3430297,4787617
DNROM,2001:db8:2bda:f8d3:866c:8bf9:48dd:d365,,2001:db8:548b:87b5:d4a6:e3cb:f052:333a,,1521,SQL,3734498,1285635
DNROM,10.164.145.73,,10.164.105.210,,1433,DB2,3401019,1345363
DNROM,10.164.145.242,,10.164.105.81,,27017,TLS,2112246,4452716
DNROM,2001:db8:548b:87b5:24be:485b:d99c:6c7c,,2001:db8:548b:87b5:6814:c06f:949f:1f3d,,1433,SQL,3817468,2904720
DNROM,10.164.105.203,,10.164.105.114,,27017,POSTGRESQL,2781108,4454873
DNROM,10.164.105.227,,10.164.105.56,,27017,DB2,3402086,4798598
DNROM,2001:db8:2bda:f8d3:bb58:ec7b:87b8:a762,,2001:db8:548b:87b5:ed8e:d27b:4a1:c0b,,3306,ORACLE,2806163,3640468
DNROM,10.164.105.78,,10.164.105.210,,3306,POSTGRESQL,1488246,4499257
DNROM,10.164.145.213,,10.164.105.33,,27017,SQL,1731961,2673268
DNROM,10.164.105.68,,10.164.105.23,,3306,TLS,3620157,3258989
DNROM,10.164.145.246,,10.164.105.157,,27017,TLS,2150186,3977880
DNROM,10.164.105.45,,10.164.105.125,,5432,ORACLE,2240972,3516308
DNROM,2001:db8:2bda:f8d3:157d:c5d7:aee1:c31c,,2001:db8:548b:87b5:8546:b0b9:59fb:667e,,5432,SQL,2233827,4086686
DNROM,10.164.105.112,,10.164.105.156,,27017,ORACLE,0,0
DNROM,10.164.105.64,,10.164.105.18,,1521,SQL,1051467,1810689
DNROM,10.164.105.155,,10.164.105.70,,27017,TLS,1587400,2185636
DNROM,10.164.145.180,,10.164.105.69,,1521,POSTGRESQL,2558707,1045375
DNROM,10.164.145.140,,10.164.105.245,,5432,POSTGRESQL,1398957,1971714
DNROM,10.164.105.23,,10.164.105.120,,5432,ORACLE,1526525,1764153
DNROM,2001:db8:548b:87b5:a774:fe23:f3a2:10d4,,2001:db8:548b:87b5:c543:15d6:fb03:d66f,,1521,TLS,3633535,1441418
DNROM,2001:db8:2bda:f8d3:64b7:b1f7:9f25:7a59,,2001:db8:548b:87b5:627:2dff:9f09:9c4d,,1433,ORACLE,1307132,3019120
DNROM,2001:db8:548b:87b5:423:9d14:e828:4cab,,2001:db8:548b:87b5:c671:c92d:71dd:4be5,,27017,TLS,1936927,1823319
DNROM,10.164.145.47,,10.164.105.250,,1433,DB2,2993331,4416669
DNROM,10.164.105.46,,10.164.105.188,,3306,POSTGRESQL,2573144,3329413
DNROM,10.164.105.173,,10.164.105.9,,5432,SQL,2375652,3411165
DNROM,10.164.105.81,,10.164.105.179,,1433,ORACLE,3974032,3649639
DNROM,10.164.105.87,,10.164.105.34,,1433,MYSQL,1120211,4399069
DNROM,10.164.145.210,,10.164.105.119,,5432,SQL,1601609,1491727
DNROM,10.164.145.72,,10.164.105.250,,1521,TLS,2632032,4022960
DNROM,10.164.105.104,,10.164.105.10,,27017,SQL,2787672,3546290
DNROM,2001:db8:2bda:f8d3:35b0:3e2c:bb3c:e6fa,,2001:db8:548b:87b5:1d99:dc4d:9bfb:576c,,27017,DB2,0,0
DNROM,10.164.105.224,,10.164.105.26,,5432,POSTGRESQL,0,0
DNROM,10.164.145.163,,10.164.105.246,,1433,POSTGRESQL,0,0
DNROM,10.164.105.78,,10.164.105.200,,1521,DB2,2243837,2192065
DNROM,10.164.105.250,,10.164.105.143,,27017,DB2,2912169,4612567
DNROM,2001:db8:548b:87b5:4c01:fd54:43fa:1e73,,2001:db8:548b:87b5:1320:3a0c:f617:6c2c,,27017,MYSQL,1344456,2325360
DNROM,10.164.145.179,,10.164.105.175,,1433,ORACLE,1756586,2928631
DNROM,10.164.145.196,,10.164.105.51,,1433,POSTGRESQL,3390763,3519235
DNROM,2001:db8:2bda:f8d3:b18f:71d1:88c7:8d51,,2001:db8:548b:87b5:d8d:5a25:e9d3:4b1e,,3306,POSTGRESQL,1251431,1011191
DNROM,10.164.105.14,,10.164.105.236,,1521,POSTGRESQL,1870543,1019812
DNROM,10.164.105.57,,10.164.105.222,,1521,MYSQL,2818353,4941273
DNROM,10.164.145.74,,10.164.105.54,,27017,DB2,0,0
DNROM,2001:db8:548b:87b5:234c:995e:9a0a:3de9,,2001:db8:548b:87b5:e15f:35f2:5959:f167,,27017,MYSQL,3325565,2172071
DNROM,10.164.145.197,,10.164.105.131,,27017,POSTGRESQL,846845,3637410
DNROM,10.164.145.218,,10.164.105.18,,3306,ORACLE,2980304,4048791
DNROM,10.164.145.107,,10.164.105.84,,3306,ORACLE,2368684,1888762
DNROM,10.164.105.69,,10.164.105.238,,1521,TLS,2197529,3567694
DNROM,10.164.145.33,,10.164.105.227,,1521,ORACLE,2516310,3586783
DNROM,10.164.105.254,,10.164.105.207,,1433,POSTGRESQL,3093319,4831456
DNROM,10.164.145.5,,10.164.105.130,,3306,MYSQL,3329019,3082213
DNROM,10.164.105.217,,10.164.105.108,,27017,ORACLE,2203452,2792390
DNROM,10.164.105.181,,10.164.105.224,,27017,SQL,3258155,4194299
DNROM,10.164.105.9,,10.164.105.220,,1521,TLS,3179364,3940037
DNROM,10.164.105.4,,10.164.105.1,,27017,ORACLE,1122360,4405006
DNROM,10.164.145.131,,10.164.105.104,,27017,MYSQL,810246,1370405
DNROM,10.164.105.3,,10.164.105.5,,27017,SQL,1680782,2555495
DNROM,10.164.105.150,,10.164.105.94,,5432,SQL,2467840,1288485
DNROM,10.164.145.226,,10.164.105.154,,1433,ORACLE,0,0
DNROM,10.164.145.95,,10.164.105.183,,27017,POSTGRESQL,2945365,1493138
DNROM,10.164.105.118,,10.164.105.187,,5432,ORACLE,3627944,4045530
DNROM,10.164.145.218,,10.164.105.26,,3306,SQL,2175996,3402206
DNROM,2001:db8:2bda:f8d3:5caf:f6b5:c9ed:96f,,2001:db8:548b:87b5:a15d:5a1f:5adb:805e,,3306,ORACLE,3136027,2690000
DNROM,10.164.145.82,,10.164.105.52,,1433,DB2,1446717,3259009
DNROM,10.164.145.50,,10.164.105.21,,1433,DB2,1739747,2410069
DNROM,2001:db8:2bda:f8d3:4de0:6ad:c384:42df,,2001:db8:548b:87b5:daf4:5519:cc61:3280,,27017,SQL,1400832,1623025
DNROM,10.164.145.93,,10.164.105.173,,5432,MYSQL,2915246,3190156
DNROM,10.164.105.227,,10.164.105.106,,3306,MYSQL,3339906,3048130
DNROM,10.164.105.3,,10.164.105.183,,1521,SQL,1368377,3785231
DNROM,10.164.105.56,,10.164.105.136,,3306,TLS,2129140,1913207
DNROM,10.164.105.208,,10.164.105.62,,3306,POSTGRESQL,0,0
DNROM,10.164.105.104,,10.164.105.242,,1433,ORACLE,1723171,4768757
DNROM,2001:db8:2bda:f8d3:eace:85d1:78c3:38e9,,2001:db8:548b:87b5:336d:9178:fa16:11ba,,27017,SQL,1190169,1515559
DNROM,10.164.105.8,,10.164.105.182,,27017,ORACLE,1222774,3276179
DNROM,10.164.145.31,,10.164.105.85,,5432,SQL,2963856,2916447
DNROM,10.164.105.101,,10.164.105.56,,1521,ORACLE,1551682,1656516
DNROM,2001:db8:2bda:f8d3:4d2d:e9ff:589e:b0cf,,2001:db8:548b:87b5:c81d:87a6:db7e:8636,,3306,TLS,1643034,3878578
DNROM,10.164.145.49,,10.164.105.213,,1433,SQL,3077932,4079756
DNROM,2001:db8:548b:87b5:b86c:d753:e4d2:5a49,,2001:db8:548b:87b5:7fde:95f7:32af:61f5,,27017,MYSQL,2395975,2480903
