App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNRVS,2001:db8:ea19:a1e1:bedf:41da:f3e8:ad08,,2001:db8:2582:6d22:bba6:c1af:d037:a903,,389,REST,3846470,542231
DNRVS,10.164.144.85,,10.164.145.11,,,REST,381303,1580453
DNRVS,10.164.144.40,,10.164.145.224,,389,REST,3087285,1955098
DNRVS,2001:db8:2bda:f8d3:b374:a14c:a3ca:f231,,2001:db8:548b:87b5:2ef6:6603:667f:b648,,,TLS,0,0
DNRVS,10.164.145.39,,10.164.105.238,,,TLS,0,0
DNRVS,10.164.144.113,,10.164.145.209,,8443,HTTPS,2789631,1276608
DNRVS,10.100.246.9,,10.164.116.214,,3306,REST,2167916,2686626
DNRVS,10.164.145.126,,10.164.145.36,,443,HTTPS,3168363,3648150
DNRVS,10.164.144.43,,10.164.145.229,,443,HTTPS,1911252,754019
DNRVS,10.164.145.36,,10.164.105.202,,,SOAP,445491,1002469
DNRVS,10.164.144.144,,10.164.116.243,,443,SOAP,0,0
DNRVS,10.100.246.149,,10.164.105.123,,443,SOAP,3694705,2459575
DNRVS,10.164.145.161,,10.164.105.143,,8080,SOAP,329787,2524678
DNRVS,10.100.246.171,,10.164.105.202,,8443,HTTPS,0,0
DNRVS,10.100.246.97,,10.164.145.112,,443,HTTPS,310565,3502760
DNRVS,10.164.144.164,,10.164.145.109,,8080,SOAP,2430730,567461
DNRVS,10.100.246.228,,10.164.105.163,,,HTTP2-SSL,3904593,1037122
DNRVS,10.164.144.79,,10.164.145.57,,8443,HTTPS,826142,131252
DNRVS,10.164.144.65,,10.164.116.190,,80,TLS,3790292,2464921
DNRVS,10.164.145.152,,10.164.145.92,,22,REST,0,0
DNRVS,2001:db8:2bda:f8d3:2caf:e196:60bb:76e1,,2001:db8:548b:87b5:5bfc:1f76:5b20:aa38,,1521,HTTP2-SSL,742623,3676674
DNRVS,10.164.144.182,,10.164.116.248,,,TLS,3393573,3767319
DNRVS,10.100.246.128,,10.164.145.165,,,TLS,305908,1923556
DNRVS,10.164.145.75,,10.164.116.75,,389,TLS,2293541,1723620
DNRVS,10.100.246.227,,10.164.145.29,,8443,HTTPS,1230026,2670583
DNRVS,10.164.144.212,,10.164.145.46,,80,SOAP,3931432,895347
DNRVS,10.164.145.162,,10.164.105.95,,8443,HTTPS,919543,1641182
