App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNSBT,10.164.145.123,,10.165.116.147,,22,TCP,198294,1111507
DNSBT,10.100.246.213,,10.165.116.191,,8080,HTTP,0,0
DNSBT,10.164.144.134,,10.164.145.194,,443,HTTPS,1086197,634969
DNSBT,10.100.246.192,,10.164.144.111,,8443,HTTPS,2295668,536559
DNSBT,10.100.246.76,,10.100.246.173,,3306,TCP,2117098,1378896
DNSBT,10.100.246.91,,10.164.145.157,,8081,HTTP,317499,2771549
DNSBT,10.165.116.2,,10.164.144.169,,8080,HTTP,821095,247294
DNSBT,2001:db8:2bda:f8d3:d9e:98e4:6513:794,,2001:db8:4c3a:9f21:be84:9e1a:929d:cd34,,443,HTTPS,1520465,3323531
DNSBT,10.164.116.92,,10.164.116.104,,443,HTTPS,232917,2012498
DNSBT,2001:db8:548b:87b5:6e31:e4d7:c661:ca57,,2001:db8:4c3a:9f21:1cc8:300e:8e91:4d5a,,8080,TCP,0,0
DNSBT,10.100.160.42,,10.164.145.163,,8443,HTTPS,3278970,3020485
DNSBT,10.164.145.208,,10.164.105.250,,80,HTTP,3035285,117881
DNSBT,10.164.105.229,,10.164.145.51,,80,HTTP,590396,2548792
DNSBT,10.100.246.214,,10.164.145.25,,8081,HTTP,3718135,1073626
DNSBT,10.100.246.103,,10.164.144.18,,8080,TCP,1077297,2471321
DNSBT,10.165.116.87,,10.164.144.116,,,TCP,1815206,2139437
DNSBT,10.165.116.212,,10.165.116.33,,8443,HTTPS,3348212,1497809
DNSBT,10.164.105.66,,10.164.105.126,,8080,TCP,2893699,513608
DNSBT,2001:db8:2bda:f8d3:fdc1:87fd:a241:514f,,2001:db8:2bda:f8d3:c891:ac25:d101:6c8d,,8080,HTTP,3942036,2310085
DNSBT,10.165.116.252,,10.164.145.43,,8443,HTTPS,0,0
DNSBT,10.164.145.179,,10.100.160.231,,8443,HTTPS,3737127,3600845
DNSBT,10.164.144.253,,10.165.116.148,,5432,TCP,3849034,2076756
DNSBT,10.165.116.110,,10.100.246.222,,443,HTTPS,2495191,1362234
DNSBT,10.165.116.168,,10.100.160.251,,80,TCP,963763,3851460
DNSBT,2001:db8:548b:87b5:e9ca:78ea:f630:523d,,2001:db8:4c3a:9f21:ee90:6493:4265:dbd4,,443,HTTPS,1116692,3806827
DNSBT,10.165.116.116,,10.100.160.124,,5432,TCP,934268,2974930
DNSBT,10.165.116.110,,10.164.145.165,,443,HTTPS,3221868,1269287
DNSBT,10.100.246.22,,10.164.144.142,,8080,TCP,3479499,3950818
DNSBT,10.100.160.3,,10.164.144.127,,443,HTTPS,3395306,3787210
DNSBT,10.100.246.136,,10.164.144.13,,,TCP,3031798,2063591
DNSBT,10.164.145.56,,10.164.144.10,,8081,HTTP,255138,1260007
DNSBT,10.165.116.55,,10.164.144.155,,443,HTTPS,393311,2652307
DNSBT,10.164.145.192,,10.164.144.75,,8080,HTTP,367277,2315169
DNSBT,2001:db8:2bda:f8d3:5482:9a50:e8da:60d8,,2001:db8:2582:6d22:d38b:74ea:86e1:6188,,1521,TCP,1031645,422676
DNSBT,10.165.116.48,,10.164.145.132,,443,HTTPS,2635519,662816
DNSBT,10.164.145.80,,10.100.246.106,,8081,HTTP,2656979,3664641
DNSBT,10.100.160.85,,10.164.116.219,,,TCP,3610882,1965004
DNSBT,10.100.160.48,,10.164.145.215,,80,HTTP,1961565,2926884
DNSBT,10.100.246.101,,10.100.160.2,,8443,HTTPS,3042327,667143
DNSBT,10.164.145.146,,10.164.116.20,,,TCP,792674,2887415
DNSBT,10.100.160.4,,10.164.105.220,,8443,HTTPS,3883679,3761235
DNSBT,10.100.160.232,,10.164.116.216,,80,HTTP,2163531,712272
DNSBT,10.100.160.112,,10.164.105.80,,443,HTTPS,652723,952180
DNSBT,10.164.105.149,,10.164.116.132,,8443,TCP,0,0
DNSBT,10.165.116.111,,10.164.144.93,,80,HTTP,1098356,297943
