App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNSCC,10.164.145.114,,10.164.145.158,,8443,HTTPS,1240148,1360600
DNSCC,10.164.145.22,,10.164.105.193,,389,TLS,322598,3243349
DNSCC,10.164.145.200,,10.164.105.208,,3306,TLS,379388,1490100
DNSCC,10.164.145.77,,10.164.145.118,,443,HTTPS,675078,2305114
DNSCC,10.164.145.64,,10.100.246.136,,80,TLS,2093597,1400635
DNSCC,10.164.145.72,,10.164.145.10,,8443,HTTPS,2534850,2970150
DNSCC,2001:db8:2bda:f8d3:1097:4f5c:299:1d49,,2001:db8:548b:87b5:fdfa:28a8:e251:f2f5,,22,TLS,0,0
DNSCC,10.164.145.221,,10.164.145.131,,1521,HTTP2-SSL,663482,2908115
DNSCC,10.164.145.208,,10.100.246.86,,22,HTTP2-SSL,2547230,3496636
DNSCC,10.164.145.150,,10.164.105.163,,8443,HTTP2-SSL,3678714,1613514
DNSCC,2001:db8:2bda:f8d3:b989:e538:3318:4f97,,2001:db8:2bda:f8d3:ac0a:2c2f:f6a8:e9be,,8443,HTTPS,2986608,2019660
DNSCC,10.164.145.234,,10.100.246.163,,80,HTTP2-SSL,249506,424369
DNSCC,10.164.145.184,,10.100.246.32,,8443,HTTPS,1657027,2156198
DNSCC,10.164.145.137,,10.164.145.19,,80,HTTP2-SSL,3489845,2966279
DNSCC,10.164.145.253,,10.164.145.26,,,TLS,3347809,2524256
DNSCC,10.164.145.120,,10.100.246.76,,,HTTP2-SSL,658269,1664774
DNSCC,10.164.145.188,,10.164.105.184,,8080,TLS,710199,872784
DNSCC,2001:db8:2bda:f8d3:4941:2fec:5be1:593b,,2001:db8:548b:87b5:2ac6:793c:34c0:361c,,443,HTTP2-SSL,670616,1243221
DNSCC,10.164.145.19,,10.164.105.214,,8443,HTTPS,3329626,1491728
DNSCC,10.164.145.224,,10.164.105.179,,8080,TLS,3066156,3101972
DNSCC,10.164.145.149,,10.100.246.245,,1521,HTTP2-SSL,1752404,2074634
DNSCC,10.164.145.24,,10.164.145.78,,443,HTTPS,0,0
DNSCC,10.164.145.248,,10.164.105.134,,443,HTTPS,590014,1932839
DNSCC,10.164.145.244,,10.164.145.137,,8443,HTTPS,460317,2357304
DNSCC,10.164.145.228,,10.100.246.219,,,HTTP2-SSL,3658094,1656834
DNSCC,10.164.145.72,,10.164.105.49,,1521,HTTP2-SSL,3976601,1528987
DNSCC,2001:db8:2bda:f8d3:1df4:94ac:4d87:3f2e,,2001:db8:2bda:f8d3:79ad:b8af:159e:16d4,,8443,HTTPS,470715,2414513
DNSCC,2001:db8:2bda:f8d3:eb78:5990:4d15:5838,,2001:db8:1a2b:3c4d:cba7:669a:a177:a36b,,443,HTTPS,701781,1604421
DNSCC,10.164.145.184,,10.164.145.100,,80,HTTP2-SSL,3326695,3805757
DNSCC,10.164.145.211,,10.100.246.8,,8443,HTTPS,3072022,3256237
DNSCC,10.164.145.88,,10.164.105.72,,8443,TLS,2692669,3520846
DNSCC,10.164.145.44,,10.100.246.21,,,TLS,192540,518272
DNSCC,2001:db8:2bda:f8d3:cf7a:79cd:a190:ab32,,2001:db8:548b:87b5:22c1:4a3e:3955:3bdb,,443,HTTPS,1147562,1588181
DNSCC,10.164.145.252,,10.164.145.132,,5432,TLS,3043197,3650401
DNSCC,2001:db8:2bda:f8d3:e1db:df4d:4fd5:5aa7,,2001:db8:548b:87b5:2c14:efa9:da9e:3a9d,,389,TLS,793289,1152347
DNSCC,10.164.145.85,,10.164.105.116,,8080,HTTP2-SSL,1267532,2994547
DNSCC,10.164.145.218,,10.164.105.25,,,HTTP2-SSL,0,0
DNSCC,10.164.145.40,,10.164.105.2,,,TLS,0,0
DNSCC,10.164.145.30,,10.164.145.39,,,TLS,3555292,1653422
DNSCC,10.164.145.185,,10.164.145.32,,8443,TLS,2722994,3676506
DNSCC,10.164.145.116,,10.164.105.190,,8443,HTTPS,732573,2828434
DNSCC,10.164.145.40,,10.164.105.163,,443,HTTPS,321564,3150318
DNSCC,10.164.145.209,,10.164.145.62,,22,HTTP2-SSL,3430637,2570862
DNSCC,10.164.145.94,,10.164.145.137,,,TLS,2835452,1778753
DNSCC,10.164.145.221,,10.164.105.102,,5432,HTTP2-SSL,2234685,145491
DNSCC,10.164.145.98,,10.100.246.27,,8443,HTTPS,1405729,1970942
DNSCC,10.164.145.147,,10.164.105.139,,389,TLS,847925,3624668
DNSCC,10.164.145.79,,10.164.105.172,,8080,TLS,1674863,1757948
