App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNSCH,10.164.145.247,,10.164.105.93,,22,TLS,3717618,876933
DNSCH,10.164.145.11,,10.164.145.201,,8080,TLS,2558403,1787426
DNSCH,10.164.145.59,,10.164.105.92,,,TLS,0,0
DNSCH,10.164.145.49,,10.100.246.245,,22,TLS,578837,940878
DNSCH,10.164.145.110,,10.164.145.193,,22,TLS,3544833,228480
DNSCH,10.164.145.216,,10.164.105.206,,389,HTTP2-SSL,1855669,890905
DNSCH,10.164.145.127,,10.100.246.7,,8080,HTTP2-SSL,642955,1725861
DNSCH,2001:db8:2bda:f8d3:52c6:1ee8:a874:aae7,,2001:db8:548b:87b5:32be:ce87:d006:1819,,80,HTTP2-SSL,2810623,2816761
DNSCH,2001:db8:2bda:f8d3:dd63:22a2:681b:673b,,2001:db8:2bda:f8d3:ddb4:b728:9ef3:7ba0,,443,HTTPS,1252373,136535
DNSCH,10.164.145.150,,10.164.145.8,,8443,HTTP2-SSL,2326290,1119108
DNSCH,2001:db8:2bda:f8d3:2540:a2b:c1e8:334,,2001:db8:548b:87b5:c110:3ac:a583:658b,,1521,HTTP2-SSL,3829786,207815
DNSCH,2001:db8:2bda:f8d3:22d0:d514:35f2:e781,,2001:db8:548b:87b5:dc87:51c9:53d:3852,,,HTTP2-SSL,3437420,616518
DNSCH,10.164.145.167,,10.100.246.19,,8443,TLS,3899933,2724192
DNSCH,10.164.145.32,,10.164.145.71,,5432,HTTP2-SSL,1792512,3046285
DNSCH,2001:db8:2bda:f8d3:f03b:b9aa:4bd3:4883,,2001:db8:2bda:f8d3:d62b:b621:333b:16f6,,8443,HTTPS,2087193,1075659
DNSCH,2001:db8:2bda:f8d3:dc49:a8e7:3c65:95b9,,2001:db8:2bda:f8d3:5c9d:c7fb:759c:7bf,,8443,HTTPS,2595860,2906384
DNSCH,10.164.145.161,,10.164.145.124,,443,HTTPS,2805186,1214920
DNSCH,10.164.145.167,,10.164.105.9,,389,TLS,3342845,1317298
DNSCH,10.164.145.10,,10.164.145.82,,,TLS,0,0
DNSCH,10.164.145.2,,10.100.246.201,,1521,TLS,2414819,1630696
DNSCH,10.164.145.192,,10.100.246.87,,,TLS,2198297,1596124
DNSCH,2001:db8:2bda:f8d3:e1a9:98ab:c441:a874,,2001:db8:1a2b:3c4d:1866:5fb8:bd6e:9d59,,,HTTP2-SSL,1866112,334822
DNSCH,10.164.145.254,,10.164.105.6,,3306,HTTP2-SSL,1512689,1391060
DNSCH,10.164.145.171,,10.164.105.139,,1521,HTTP2-SSL,837843,3965687
DNSCH,10.164.145.38,,10.100.246.156,,1521,TLS,624088,1042695
DNSCH,10.164.145.181,,10.164.105.32,,,TLS,0,0
DNSCH,2001:db8:2bda:f8d3:65d:350b:93bd:e575,,2001:db8:548b:87b5:a9ff:bd7f:8e4:9fc3,,8080,HTTP2-SSL,2903727,2376542
DNSCH,10.164.145.17,,10.100.246.55,,8443,HTTPS,3037125,1049895
DNSCH,10.164.145.251,,10.164.145.73,,1521,TLS,1598382,1435563
DNSCH,10.164.145.148,,10.164.105.252,,3306,TLS,2341698,3693265
DNSCH,10.164.145.76,,10.164.105.24,,443,TLS,0,0
DNSCH,2001:db8:2bda:f8d3:79c9:193e:6fb5:271f,,2001:db8:2bda:f8d3:7e81:5dd5:e0be:5a67,,8080,HTTP2-SSL,299808,656331
DNSCH,10.164.145.225,,10.164.105.228,,3306,TLS,2882793,3365521
DNSCH,10.164.145.118,,10.164.145.53,,8443,HTTP2-SSL,3671494,1706183
DNSCH,10.164.145.46,,10.164.105.204,,8443,HTTPS,950726,1506295
DNSCH,10.164.145.203,,10.164.105.85,,389,HTTP2-SSL,2097873,2774186
DNSCH,10.164.145.239,,10.164.145.174,,,HTTP2-SSL,2723536,2004423
DNSCH,10.164.145.110,,10.164.105.39,,5432,TLS,0,0
DNSCH,2001:db8:2bda:f8d3:407d:6000:e981:bad2,,2001:db8:548b:87b5:8dcb:d116:ab6d:3bdf,,80,TLS,1962171,2555180
DNSCH,10.164.145.108,,10.164.145.140,,443,HTTPS,874756,1015660
DNSCH,10.164.145.92,,10.100.246.165,,8443,HTTPS,2504916,1773812
DNSCH,10.164.145.203,,10.164.105.136,,3306,TLS,0,0
DNSCH,10.164.145.63,,10.164.105.209,,8443,HTTPS,1628443,2152205
DNSCH,10.164.145.228,,10.100.246.32,,443,HTTPS,2111648,3160750
DNSCH,10.164.145.121,,10.164.145.185,,389,TLS,1600592,1919686
