App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNTCB,10.100.160.60,,10.164.116.169,,443,HTTPS,379759,2332278
DNTCB,10.164.145.17,,10.164.105.6,,8443,HTTPS,2340714,3352285
DNTCB,10.164.144.130,,10.100.160.11,,8443,HTTPS,0,0
DNTCB,10.100.160.10,,10.164.116.17,,443,HTTPS,1758705,901498
DNTCB,10.164.116.144,,10.100.246.192,,3306,TCP,281378,2791362
DNTCB,10.164.145.124,,10.164.144.110,,8443,HTTPS,0,0
DNTCB,10.100.246.226,,10.164.105.31,,80,HTTP,2574587,2562032
DNTCB,10.164.144.234,,10.164.144.39,,8080,HTTP,0,0
DNTCB,10.164.145.233,,10.165.116.163,,8443,HTTPS,1954440,944766
DNTCB,2001:db8:ea19:a1e1:1ffa:651d:c1a:3fbb,,2001:db8:1a2b:3c4d:62b4:9b:6259:74f2,,443,TCP,2958928,656990
DNTCB,2001:db8:548b:87b5:153c:4630:dec2:2ab1,,2001:db8:ea19:a1e1:ecd:6425:1f35:413c,,3306,TCP,981224,3323871
DNTCB,2001:db8:2582:6d22:2135:f0bb:b8a6:39e4,,2001:db8:548b:87b5:6ef1:f6e5:17cf:1588,,443,HTTPS,456052,1614569
DNTCB,10.100.246.46,,10.100.246.101,,8081,HTTP,1961190,2893424
DNTCB,10.164.105.226,,10.164.145.74,,443,HTTPS,1736380,3827076
DNTCB,10.100.160.68,,10.165.116.133,,443,HTTPS,2164411,3502435
DNTCB,10.164.145.252,,10.165.116.53,,3306,TCP,3218052,2260536
DNTCB,10.165.116.108,,10.164.105.142,,443,HTTPS,492456,3714258
DNTCB,10.164.144.93,,10.100.160.86,,443,HTTPS,1187804,1566943
DNTCB,10.164.144.163,,10.100.160.144,,443,TCP,745274,1445059
DNTCB,10.100.246.98,,10.164.105.72,,8443,HTTPS,1324714,3070418
DNTCB,10.164.145.238,,10.164.144.56,,80,TCP,3617191,2399655
DNTCB,10.165.116.138,,10.100.160.26,,443,HTTPS,1800076,2734129
DNTCB,10.100.246.205,,10.164.145.125,,80,HTTP,3194607,283534
DNTCB,10.164.144.111,,10.164.105.147,,443,HTTPS,1615952,1879329
DNTCB,10.164.105.176,,10.164.144.147,,443,HTTPS,3830950,2681019
DNTCB,2001:db8:548b:87b5:68ef:8430:51b3:7ed6,,2001:db8:548b:87b5:9df:d4cb:c345:d871,,8443,HTTPS,508011,3113519
DNTCB,10.100.246.2,,10.164.144.202,,5432,TCP,3453534,504961
DNTCB,10.165.116.84,,10.165.116.193,,8443,TCP,3304037,1724406
DNTCB,10.164.105.238,,10.164.116.226,,8080,HTTP,3982886,652687
DNTCB,10.165.116.18,,10.164.105.231,,443,HTTPS,2788343,2758156
DNTCB,10.164.105.100,,10.164.145.4,,,TCP,3003542,3014955
DNTCB,10.164.144.116,,10.164.145.85,,443,HTTPS,3562094,311863
DNTCB,10.100.160.136,,10.164.145.120,,80,HTTP,2742239,1587469
DNTCB,10.164.145.42,,10.164.145.85,,,TCP,1655080,418900
DNTCB,10.100.246.175,,10.164.144.25,,8080,HTTP,3463074,1662909
DNTCB,10.164.145.202,,10.164.105.48,,8443,HTTPS,0,0
DNTCB,10.164.105.179,,10.100.160.66,,8443,HTTPS,147129,1788023
DNTCB,10.164.144.157,,10.164.116.134,,8081,HTTP,168608,3985113
DNTCB,10.100.160.88,,10.164.105.71,,8081,HTTP,2695316,1207204
DNTCB,10.165.116.204,,10.164.116.117,,443,HTTPS,0,0
DNTCB,10.164.105.214,,10.164.144.166,,8443,HTTPS,211097,3239212
