App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNTCM,10.164.144.103,,10.100.160.240,,3306,TCP,2004623,3629346
DNTCM,10.164.144.215,,10.100.160.216,,3306,TCP,3147978,2464481
DNTCM,10.165.116.137,,10.100.246.245,,443,HTTPS,1888217,2786630
DNTCM,10.164.145.50,,10.164.116.252,,8443,HTTPS,1675326,2420165
DNTCM,10.100.160.32,,10.164.116.132,,443,HTTPS,1635208,1477423
DNTCM,10.100.160.171,,10.164.105.233,,80,TCP,3708738,493827
DNTCM,10.164.145.171,,10.164.116.46,,389,TCP,2724579,1865115
DNTCM,10.100.246.107,,10.100.246.173,,8080,HTTP,250326,479355
DNTCM,2001:db8:ea19:a1e1:b935:dc43:b6cd:7b0,,2001:db8:2bda:f8d3:92c2:ea93:d293:4d74,,8443,TCP,1462748,3253668
DNTCM,10.164.116.153,,10.164.144.79,,,TCP,1727814,1599458
DNTCM,10.164.105.143,,10.100.160.140,,80,TCP,3166310,2555705
DNTCM,10.164.145.71,,10.100.160.59,,8443,HTTPS,3443315,1386008
DNTCM,10.100.160.218,,10.100.160.96,,22,TCP,2105496,673455
DNTCM,10.165.116.117,,10.165.116.99,,8443,HTTPS,1122811,1366132
DNTCM,10.164.144.198,,10.164.145.115,,8443,HTTPS,1307170,2583820
DNTCM,10.165.116.248,,10.165.116.6,,8080,HTTP,3721095,1438141
DNTCM,10.165.116.87,,10.100.246.79,,1521,TCP,226619,2471222
DNTCM,2001:db8:4c3a:9f21:6d93:439f:24ea:cc02,,2001:db8:2bda:f8d3:70da:7ec8:28b6:dddd,,8443,HTTPS,1678627,2299625
DNTCM,10.165.116.35,,10.100.246.23,,80,HTTP,3006231,1069039
DNTCM,10.100.246.112,,10.164.145.104,,8443,HTTPS,3214930,2927050
DNTCM,10.164.116.114,,10.164.145.196,,8080,TCP,2302525,1488747
DNTCM,10.100.160.37,,10.100.246.54,,8443,HTTPS,3636988,1662019
DNTCM,10.164.116.209,,10.164.145.15,,80,HTTP,3005253,2022934
DNTCM,2001:db8:548b:87b5:a754:1ae0:4c2:151e,,2001:db8:2bda:f8d3:c239:a978:630:5697,,,TCP,1129255,1530052
DNTCM,10.164.116.50,,10.164.105.237,,443,HTTPS,2322701,1746961
DNTCM,10.164.105.252,,10.100.246.122,,80,HTTP,0,0
DNTCM,2001:db8:4c3a:9f21:a538:db8:5e74:6a4c,,2001:db8:548b:87b5:8b5b:9772:bba2:ec82,,443,HTTPS,1340262,3255077
DNTCM,2001:db8:1a2b:3c4d:7f3:58fe:7837:13e3,,2001:db8:2bda:f8d3:91de:8e81:8e3c:c4e5,,22,TCP,3372857,624979
DNTCM,10.100.160.125,,10.165.116.206,,5432,TCP,1871473,3659820
