App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNWHO,10.164.116.94,,10.100.160.11,,80,HTTP,1929120,2228983
DNWHO,10.100.160.85,,10.164.105.136,,3306,TCP,175608,1314907
DNWHO,10.164.144.10,,10.164.116.202,,80,HTTP,3692146,2303766
DNWHO,10.164.145.15,,10.164.105.65,,443,HTTPS,3573792,1004231
DNWHO,2001:db8:2bda:f8d3:7801:ccdd:2ec5:9bf4,,2001:db8:4c3a:9f21:8540:6b28:3b34:a899,,8080,TCP,3648830,1429178
DNWHO,10.100.160.254,,10.164.116.80,,3306,TCP,2153019,3893492
DNWHO,10.164.116.118,,10.164.116.62,,8080,HTTP,1109374,3428424
DNWHO,10.165.116.195,,10.100.246.21,,389,TCP,3767185,1278843
DNWHO,10.165.116.81,,10.164.145.96,,443,TCP,2559230,1509108
DNWHO,10.164.145.26,,10.164.144.99,,5432,TCP,0,0
DNWHO,10.164.116.248,,10.165.116.156,,443,HTTPS,2853893,3535050
DNWHO,10.100.160.106,,10.165.116.98,,,TCP,3819420,3581697
DNWHO,10.164.144.66,,10.100.160.44,,8081,HTTP,2163934,1105002
DNWHO,10.164.144.107,,10.165.116.210,,,TCP,1683315,3047513
DNWHO,10.165.116.241,,10.164.105.119,,,TCP,3703286,165044
DNWHO,10.164.144.150,,10.100.246.57,,80,HTTP,366620,893077
DNWHO,10.165.116.189,,10.165.116.244,,443,HTTPS,532565,1662715
DNWHO,10.100.246.241,,10.164.116.55,,8443,HTTPS,1561107,769063
DNWHO,10.100.246.4,,10.100.160.84,,8443,HTTPS,3873080,1865187
DNWHO,2001:db8:2bda:f8d3:acec:5066:a47b:392c,,2001:db8:2bda:f8d3:6806:ee9b:c22c:6ecd,,80,HTTP,2514620,186408
DNWHO,10.164.105.81,,10.164.144.107,,443,HTTPS,2854545,1953688
DNWHO,10.164.116.173,,10.164.145.23,,443,HTTPS,646681,3009780
DNWHO,10.164.105.112,,10.164.116.11,,1521,TCP,0,0
DNWHO,10.165.116.90,,10.165.116.142,,,TCP,994675,2787565
DNWHO,10.164.116.15,,10.164.145.242,,443,HTTPS,3477205,2806767
DNWHO,2001:db8:2bda:f8d3:bb9d:56a6:3925:b538,,2001:db8:2582:6d22:eea4:24d:bddb:a7e5,,80,HTTP,0,0
DNWHO,10.164.105.5,,10.165.116.13,,443,HTTPS,1613154,3434162
DNWHO,10.164.105.209,,10.100.160.67,,5432,TCP,2349800,1860668
DNWHO,10.164.105.136,,10.164.145.32,,80,HTTP,1143738,1600748
DNWHO,10.164.145.31,,10.100.160.69,,443,HTTPS,394010,1753215
DNWHO,10.164.144.35,,10.164.105.237,,8080,HTTP,1949804,3269778
DNWHO,10.164.105.220,,10.164.145.201,,8443,HTTPS,1284750,1937939
DNWHO,10.100.160.220,,10.164.105.171,,443,HTTPS,1011572,1108062
DNWHO,10.165.116.24,,10.100.246.52,,8081,HTTP,663515,1979798
DNWHO,10.164.144.201,,10.165.116.17,,3306,TCP,3777296,3011894
DNWHO,10.100.160.103,,10.100.246.212,,,TCP,654751,3526610
DNWHO,10.164.144.132,,10.165.116.172,,8443,HTTPS,3877116,1679716
DNWHO,10.164.145.126,,10.100.246.254,,5432,TCP,1024439,256108
DNWHO,10.100.246.239,,10.164.116.31,,80,HTTP,2674299,2218078
DNWHO,10.100.160.41,,10.164.144.238,,443,HTTPS,1825826,3793111
DNWHO,10.165.116.136,,10.164.145.44,,3306,TCP,1701616,2144469
DNWHO,10.164.145.140,,10.164.116.67,,,TCP,2827864,1957395
DNWHO,10.165.116.91,,10.164.105.236,,,TCP,2909724,365915
DNWHO,10.164.116.156,,10.100.246.214,,8081,HTTP,3297973,571553
DNWHO,10.164.105.118,,10.165.116.192,,,TCP,1420345,3860318
DNWHO,10.165.116.244,,10.165.116.6,,,TCP,1646352,551872
DNWHO,10.164.145.56,,10.165.116.201,,3306,TCP,3924801,1147962
DNWHO,10.100.246.58,,10.100.246.0,,443,TCP,1038756,2460493
DNWHO,10.100.160.71,,10.165.116.76,,443,HTTPS,2023479,107331
DNWHO,10.165.116.249,,10.100.246.89,,80,HTTP,1110641,722921
DNWHO,10.164.145.26,,10.100.160.6,,,TCP,813939,2376680
DNWHO,10.164.145.4,,10.164.105.20,,80,HTTP,0,0
DNWHO,10.100.160.207,,10.165.116.22,,389,TCP,2212809,3197206
DNWHO,10.164.116.12,,10.165.116.86,,443,HTTPS,3725684,3182839
DNWHO,10.100.160.11,,10.165.116.137,,80,HTTP,2920315,2440377
DNWHO,10.164.145.221,,10.100.246.67,,8081,HTTP,792565,3540396
DNWHO,10.100.246.169,,10.100.160.109,,443,HTTPS,3028189,3878864
DNWHO,10.164.116.26,,10.164.105.38,,443,HTTPS,1713134,2375104
DNWHO,10.100.246.176,,10.165.116.213,,80,HTTP,0,0
DNWHO,10.164.105.116,,10.165.116.60,,,TCP,2274605,1101744
DNWHO,10.164.145.25,,10.164.116.199,,8443,HTTPS,3338597,3626507
DNWHO,10.164.145.168,,10.164.105.139,,8080,TCP,1078648,1928818
DNWHO,10.164.116.188,,10.164.145.93,,389,TCP,383568,2605316
DNWHO,10.100.160.134,,10.164.145.153,,80,HTTP,3339606,163094
DNWHO,10.164.105.30,,10.164.145.181,,22,TCP,946199,2274128
DNWHO,10.164.144.231,,10.100.160.193,,443,HTTPS,1142886,605252
DNWHO,10.164.116.196,,10.100.160.116,,8443,HTTPS,0,0
DNWHO,10.164.145.70,,10.100.246.4,,443,HTTPS,3781455,3073439
DNWHO,10.165.116.214,,10.165.116.184,,80,TCP,3640067,1416600
DNWHO,10.164.116.10,,10.164.145.119,,443,HTTPS,0,0
DNWHO,10.164.145.6,,10.165.116.45,,80,TCP,312018,2479654
DNWHO,10.164.145.1,,10.164.144.101,,8443,HTTPS,2246181,540747
DNWHO,10.164.144.82,,10.164.116.217,,8080,HTTP,0,0
DNWHO,10.164.116.144,,10.164.145.71,,8443,HTTPS,3968878,2934942
DNWHO,10.164.145.246,,10.165.116.25,,8443,HTTPS,2537495,474368
DNWHO,10.164.145.26,,10.100.160.184,,443,HTTPS,679778,3072445
DNWHO,10.100.160.246,,10.164.105.168,,8080,HTTP,3415136,2658677
DNWHO,10.100.246.149,,10.164.145.200,,80,HTTP,1408888,2135674
DNWHO,10.164.105.94,,10.164.145.12,,443,HTTPS,161020,546775
DNWHO,10.164.144.34,,10.164.144.222,,443,HTTPS,2631262,1951440
DNWHO,10.164.116.23,,10.100.160.130,,443,HTTPS,146194,773384
DNWHO,10.165.116.178,,10.164.145.16,,443,HTTPS,1656035,1218484
