App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNWHS,10.165.116.153,,10.100.246.152,,8080,HTTP,259388,2782537
DNWHS,10.165.116.197,,10.100.246.80,,8443,HTTPS,2190114,1322534
DNWHS,10.100.160.175,,10.165.116.79,,8081,HTTP,2246515,345204
DNWHS,10.100.160.182,,10.164.145.85,,8081,HTTP,1449626,3797856
DNWHS,10.100.160.167,,10.164.144.113,,8443,HTTPS,0,0
DNWHS,10.164.144.182,,10.164.145.66,,389,TCP,1500786,2876131
DNWHS,10.164.116.120,,10.164.105.32,,443,HTTPS,3999813,3965086
DNWHS,2001:db8:4c3a:9f21:1ac0:a0d9:3f05:787,,2001:db8:2582:6d22:73ad:64c8:5d06:d786,,8081,HTTP,1641155,1365015
DNWHS,10.100.160.201,,10.164.116.1,,1521,TCP,1782153,3865419
DNWHS,2001:db8:ea19:a1e1:d0be:f96b:1d55:8058,,2001:db8:4c3a:9f21:e80f:648a:5639:da7c,,8080,HTTP,2781552,3627217
DNWHS,10.164.144.168,,10.100.160.21,,8443,HTTPS,0,0
DNWHS,10.100.246.9,,10.100.246.99,,443,TCP,1554245,1339775
DNWHS,2001:db8:548b:87b5:f89:ab83:fa09:d502,,2001:db8:2582:6d22:762b:39ad:a072:e098,,,TCP,470651,3913821
DNWHS,10.164.145.233,,10.100.160.39,,5432,TCP,3535049,1716566
DNWHS,10.164.144.107,,10.164.116.77,,8443,HTTPS,2698039,2297212
DNWHS,10.165.116.172,,10.164.105.219,,443,HTTPS,1753803,2499554
DNWHS,10.164.105.55,,10.100.160.169,,,TCP,1216756,856445
DNWHS,10.164.144.15,,10.165.116.52,,8081,HTTP,537110,1512187
DNWHS,10.164.116.142,,10.164.105.113,,8443,TCP,162700,209452
DNWHS,2001:db8:548b:87b5:33e8:4c0c:28a8:fca0,,2001:db8:2bda:f8d3:3af1:b71a:db18:d023,,5432,TCP,930671,2989917
DNWHS,10.165.116.135,,10.164.105.140,,8080,TCP,571261,3758316
DNWHS,2001:db8:1a2b:3c4d:a027:d086:24e7:599f,,2001:db8:ea19:a1e1:4ed5:bbe4:958a:2e48,,8081,HTTP,116098,924395
DNWHS,2001:db8:2bda:f8d3:9217:6221:a996:1790,,2001:db8:2bda:f8d3:559d:fc4d:1d05:b00,,1521,TCP,3037027,739389
DNWHS,10.100.160.52,,10.165.116.56,,3306,TCP,2576264,2167115
DNWHS,10.164.144.133,,10.164.145.143,,,TCP,0,0
DNWHS,2001:db8:2582:6d22:b289:6b85:2de1:f552,,2001:db8:2582:6d22:1f76:9e06:98bd:d641,,8080,TCP,320268,3788821
DNWHS,10.164.105.169,,10.100.246.156,,1521,TCP,1061788,3874843
DNWHS,10.100.246.213,,10.165.116.54,,8081,HTTP,0,0
DNWHS,10.164.105.203,,10.100.246.101,,,TCP,3138315,2758605
DNWHS,10.100.160.163,,10.164.116.169,,8080,HTTP,0,0
DNWHS,10.165.116.118,,10.164.145.98,,8080,HTTP,0,0
DNWHS,10.164.144.88,,10.164.105.248,,,TCP,0,0
DNWHS,10.165.116.145,,10.164.105.50,,8081,HTTP,3760512,565019
DNWHS,10.100.160.45,,10.100.160.40,,8080,TCP,1435982,3958888
DNWHS,10.164.144.202,,10.165.116.88,,,TCP,2764720,1788946
DNWHS,10.164.105.98,,10.164.144.239,,80,HTTP,2087919,1761503
DNWHS,10.164.105.183,,10.164.105.5,,8443,HTTPS,2868087,2270136
DNWHS,2001:db8:1a2b:3c4d:3720:18c6:4441:c6ff,,2001:db8:548b:87b5:735e:fb03:ea3f:ad2c,,443,HTTPS,298150,2640331
DNWHS,10.100.160.38,,10.164.116.74,,8081,HTTP,2201954,2265699
DNWHS,10.164.144.34,,10.100.246.91,,3306,TCP,470575,3781821
DNWHS,10.164.116.155,,10.164.145.154,,8080,TCP,3861931,192270
DNWHS,2001:db8:2bda:f8d3:8f51:ceb:251f:10d2,,2001:db8:548b:87b5:b7f2:ef29:5ab2:3036,,,TCP,3778223,1310621
