App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DNZEL,2001:db8:2582:6d22:7ed0:fe5a:4b6e:c2c9,,2001:db8:1a2b:3c4d:c47d:d7bd:cf1e:3bd9,,5672,IBMMQ,839802,1511375
DNZEL,10.100.160.92,,10.165.116.232,,15672,IBMMQ,3378579,2564355
DNZEL,10.164.116.201,,10.100.246.91,,15672,KAFKA,1886838,755764
DNZEL,10.100.246.243,,10.164.105.9,,443,AMQP,2071099,3731803
DNZEL,10.100.160.186,,10.100.160.28,,9092,RABBITMQ,291793,1199850
DNZEL,10.100.246.239,,10.164.144.153,,5672,IBMMQ,1136356,3773840
DNZEL,10.164.105.25,,10.165.116.245,,9092,IBMMQ,2718566,1964108
DNZEL,2001:db8:2bda:f8d3:f2a9:d5b8:918c:dcef,,2001:db8:2bda:f8d3:c6f8:c9bb:1d60:7df1,,8443,TCP,2887442,982515
DNZEL,10.100.160.123,,10.165.116.165,,1521,TCP,2999131,1708890
DNZEL,10.164.116.199,,10.100.160.118,,389,TCP,0,0
DNZEL,2001:db8:2bda:f8d3:7a14:6089:e366:92a9,,2001:db8:ea19:a1e1:1fbc:4911:5aeb:356,,15672,IBMMQ,2153120,3001358
DNZEL,10.165.116.16,,10.164.116.231,,5672,IBMMQ,3268020,3180184
DNZEL,10.100.246.9,,10.100.246.248,,15672,RABBITMQ,1758940,2210675
DNZEL,10.164.105.250,,10.100.246.254,,80,TCP,463366,3499542
DNZEL,10.100.246.185,,10.100.160.227,,443,TCP,2526546,3816174
DNZEL,2001:db8:4c3a:9f21:63a4:ccca:4b29:a956,,2001:db8:2bda:f8d3:63d3:c6f5:96f6:85ab,,15672,RABBITMQ,2088779,2528647
DNZEL,10.164.145.70,,10.165.116.200,,443,TCP,1047970,2897048
DNZEL,10.164.145.181,,10.165.116.142,,15672,IBMMQ,2874645,223054
DNZEL,10.164.145.158,,10.164.144.68,,5672,IBMMQ,3121766,3955128
DNZEL,10.100.160.209,,10.164.116.178,,15672,IBMMQ,3829616,2589854
DNZEL,10.165.116.12,,10.164.105.101,,1521,AMQP,288789,684975
DNZEL,10.164.116.249,,10.165.116.111,,9092,KAFKA,1692517,762630
DNZEL,2001:db8:2bda:f8d3:4431:bcd9:9d45:5b0d,,2001:db8:1a2b:3c4d:90ce:88df:2128:e419,,5672,RABBITMQ,521781,1446873
DNZEL,2001:db8:4c3a:9f21:7b33:e320:f11a:a39a,,2001:db8:1a2b:3c4d:201b:445f:16b7:17be,,9092,KAFKA,0,0
DNZEL,10.100.160.30,,10.164.145.241,,5672,KAFKA,2949495,3818225
DNZEL,10.165.116.142,,10.164.105.28,,15672,IBMMQ,2264523,2692682
DNZEL,10.164.145.217,,10.164.116.92,,5432,TCP,0,0
DNZEL,10.164.105.19,,10.164.116.15,,15672,KAFKA,850306,2543674
DNZEL,10.164.116.114,,10.164.144.152,,,TCP,904505,1553894
DNZEL,10.164.144.199,,10.164.116.30,,389,AMQP,2161861,1749803
DNZEL,10.164.116.63,,10.100.160.183,,9092,KAFKA,2557782,3654890
DNZEL,10.164.145.251,,10.164.105.227,,3306,AMQP,3676262,1356584
DNZEL,10.164.145.111,,10.100.160.154,,15672,RABBITMQ,0,0
DNZEL,10.164.144.33,,10.164.145.155,,15672,KAFKA,1184173,710550
DNZEL,10.164.105.29,,10.165.116.34,,5672,RABBITMQ,2623335,2020992
DNZEL,10.164.105.87,,10.164.145.233,,15672,IBMMQ,679724,3240715
DNZEL,10.164.116.18,,10.164.105.27,,,TCP,2018560,117811
DNZEL,10.165.116.4,,10.165.116.219,,,TCP,3993950,1087814
DNZEL,10.164.145.247,,10.165.116.40,,3306,AMQP,863249,2442680
DNZEL,2001:db8:1a2b:3c4d:9b0b:aa64:c68c:cb96,,2001:db8:ea19:a1e1:7fb1:6070:817f:806d,,9092,IBMMQ,852813,981459
DNZEL,10.164.116.231,,10.100.246.8,,9092,RABBITMQ,380626,971075
DNZEL,10.100.160.32,,10.164.105.208,,15672,KAFKA,2251138,3535106
DNZEL,10.165.116.226,,10.165.116.58,,5672,IBMMQ,2044185,1449106
DNZEL,10.100.246.59,,10.164.144.38,,389,TCP,478372,1817516
DNZEL,10.164.144.55,,10.100.160.60,,15672,KAFKA,567136,1356493
DNZEL,2001:db8:2bda:f8d3:1718:49d1:fb14:768f,,2001:db8:4c3a:9f21:a1b7:ede3:d0d3:5b1f,,15672,IBMMQ,3940253,3322834
DNZEL,10.164.105.217,,10.165.116.28,,5672,IBMMQ,264394,1477131
DNZEL,2001:db8:2582:6d22:7ddc:aac9:baf2:4e15,,2001:db8:2bda:f8d3:f3b:d14f:32fa:1099,,8080,AMQP,1801477,323687
DNZEL,10.165.116.245,,10.164.145.157,,9092,RABBITMQ,2070774,2615710
DNZEL,10.165.116.213,,10.100.246.84,,,AMQP,2984896,344483
DNZEL,10.165.116.9,,10.100.246.157,,5672,IBMMQ,2688622,2738274
DNZEL,10.100.160.21,,10.164.145.121,,5672,KAFKA,314308,214348
