App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DPAPI,10.164.144.92,,10.164.145.160,,389,TLS,3759538,1275108
DPAPI,10.164.144.214,,10.164.145.252,,,HTTP2-SSL,2063452,1138542
DPAPI,10.164.144.40,,10.164.145.29,,443,HTTPS,2713748,1313654
DPAPI,10.100.246.181,,10.164.105.53,,8080,HTTP2-SSL,142152,3632735
DPAPI,2001:db8:1a2b:3c4d:8033:cc7a:49f7:1d49,,2001:db8:2bda:f8d3:536:b3ab:56cd:6199,,,REST,3541915,3466098
DPAPI,10.164.145.221,,10.164.145.42,,1521,SOAP,3368611,1116702
DPAPI,2001:db8:ea19:a1e1:e708:da56:30ac:8f79,,2001:db8:548b:87b5:a832:eec5:8b6f:3652,,389,TLS,3750460,741054
DPAPI,10.164.144.169,,10.164.116.229,,,REST,806980,2875277
DPAPI,10.164.144.42,,10.164.116.209,,443,HTTPS,3215101,1521615
DPAPI,2001:db8:1a2b:3c4d:e3de:a1e:ddc9:63e8,,2001:db8:2582:6d22:c181:3925:c83d:b716,,,TLS,2256452,1971251
DPAPI,10.164.144.20,,10.164.116.200,,22,HTTP2-SSL,3390556,696315
DPAPI,10.100.246.75,,10.164.116.22,,8443,TLS,2062366,3704231
DPAPI,10.100.246.49,,10.164.145.90,,1521,REST,1072788,563818
DPAPI,10.100.246.30,,10.164.116.30,,443,REST,0,0
DPAPI,10.164.144.27,,10.164.145.32,,443,HTTP2-SSL,3271934,673455
DPAPI,10.164.145.78,,10.164.105.121,,1521,SOAP,2259888,3721005
DPAPI,10.100.246.209,,10.164.145.7,,80,HTTP2-SSL,2459531,541766
DPAPI,10.100.246.46,,10.164.105.110,,8080,REST,3485367,3561645
DPAPI,10.164.145.11,,10.164.105.191,,,HTTP2-SSL,355428,3272249
DPAPI,10.164.145.83,,10.164.116.207,,443,HTTPS,202372,2923208
DPAPI,10.164.145.211,,10.164.116.55,,1521,TLS,0,0
DPAPI,2001:db8:ea19:a1e1:801a:70d1:ee8b:1d4e,,2001:db8:548b:87b5:9a67:db9c:d4d0:a67e,,3306,TLS,3495418,1179388
