App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
DSAA,10.164.105.42,,10.164.105.169,,1433,MYSQL,2088220,2138590
DSAA,10.164.145.88,,10.164.105.72,,27017,ORACLE,2181055,1282040
DSAA,10.164.105.192,,10.164.105.43,,1433,DB2,3746863,2323402
DSAA,10.164.145.158,,10.164.105.31,,1433,MYSQL,2570102,3538330
DSAA,10.164.105.142,,10.164.105.15,,5432,DB2,3863385,3115807
DSAA,10.164.145.6,,10.164.105.79,,1433,POSTGRESQL,3855288,3156962
DSAA,10.164.145.121,,10.164.105.158,,1433,ORACLE,1928447,4790116
DSAA,10.164.105.234,,10.164.105.164,,3306,ORACLE,0,0
DSAA,10.164.105.207,,10.164.105.95,,5432,TLS,3376125,3584515
DSAA,10.164.105.69,,10.164.105.17,,3306,SQL,943173,1398567
DSAA,10.164.105.117,,10.164.105.253,,27017,SQL,3315792,3682672
DSAA,10.164.145.156,,10.164.105.199,,27017,TLS,2320484,3133860
DSAA,10.164.105.15,,10.164.105.189,,5432,DB2,2772008,2524766
DSAA,10.164.105.184,,10.164.105.100,,27017,TLS,1484117,4426291
DSAA,10.164.145.130,,10.164.105.20,,5432,SQL,2900287,4529100
DSAA,10.164.145.41,,10.164.105.99,,27017,SQL,1016917,2532171
DSAA,10.164.105.197,,10.164.105.70,,1521,TLS,2134795,2052995
DSAA,10.164.145.142,,10.164.105.141,,1521,ORACLE,1190528,3028480
DSAA,10.164.105.197,,10.164.105.78,,1433,TLS,1899395,2045626
DSAA,10.164.105.186,,10.164.105.17,,1521,POSTGRESQL,1079445,2005053
DSAA,10.164.145.116,,10.164.105.166,,5432,TLS,3927754,1098489
DSAA,10.164.145.190,,10.164.105.255,,1521,TLS,1020316,4457665
DSAA,10.164.145.16,,10.164.105.16,,1521,ORACLE,1275184,3725296
DSAA,2001:db8:2bda:f8d3:f48c:2b15:24e5:273c,,2001:db8:548b:87b5:e88a:1754:8186:cd30,,1521,TLS,2024448,3506463
DSAA,2001:db8:2bda:f8d3:1fcc:47d5:7fc:bc4c,,2001:db8:548b:87b5:5605:cd5f:533e:5e69,,1521,POSTGRESQL,2854533,1585942
DSAA,10.164.105.20,,10.164.105.65,,1433,TLS,1300401,1542158
DSAA,2001:db8:548b:87b5:edda:fd9d:67e1:f077,,2001:db8:548b:87b5:ba6:36cd:4054:7544,,1521,POSTGRESQL,3035212,4630702
DSAA,10.164.145.59,,10.164.105.5,,27017,DB2,3607267,4986510
DSAA,10.164.105.75,,10.164.105.175,,1521,SQL,836190,4128627
DSAA,10.164.145.108,,10.164.105.141,,5432,TLS,2866691,2611968
DSAA,10.164.105.226,,10.164.105.232,,3306,MYSQL,2421046,3933548
DSAA,10.164.145.42,,10.164.105.207,,1521,TLS,2521956,3911865
DSAA,10.164.105.110,,10.164.105.94,,1433,POSTGRESQL,1736203,3796315
DSAA,2001:db8:2bda:f8d3:f70d:8bc3:98ba:414d,,2001:db8:548b:87b5:c652:7380:dc63:bd88,,27017,POSTGRESQL,3727718,4465657
DSAA,10.164.105.163,,10.164.105.44,,1433,POSTGRESQL,1564415,4927437
DSAA,10.164.105.165,,10.164.105.151,,27017,TLS,3982392,2230150
DSAA,10.164.105.136,,10.164.105.57,,27017,POSTGRESQL,1626442,4240459
DSAA,10.164.145.58,,10.164.105.157,,3306,POSTGRESQL,3552025,1995621
DSAA,2001:db8:2bda:f8d3:7350:7e59:2840:fd5b,,2001:db8:548b:87b5:5377:2f:ed4b:412b,,5432,SQL,835759,1708760
DSAA,10.164.145.88,,10.164.105.128,,3306,ORACLE,824967,4430026
DSAA,10.164.145.15,,10.164.105.243,,1521,MYSQL,3507011,2094016
DSAA,10.164.105.49,,10.164.105.125,,1433,POSTGRESQL,2544470,1812540
DSAA,10.164.105.67,,10.164.105.166,,3306,TLS,3353300,2319194
DSAA,2001:db8:2bda:f8d3:264d:4bd8:ee02:65bd,,2001:db8:548b:87b5:833d:b590:65c9:ece3,,27017,SQL,2496211,2351487
DSAA,2001:db8:2bda:f8d3:ec6f:c421:79eb:c5c5,,2001:db8:548b:87b5:456:32c6:d6b1:4cbd,,27017,ORACLE,0,0
DSAA,10.164.145.10,,10.164.105.125,,1433,DB2,2107890,4362348
DSAA,10.164.145.84,,10.164.105.42,,27017,SQL,1580074,4373973
DSAA,10.164.145.239,,10.164.105.96,,1521,SQL,1221509,1082481
DSAA,10.164.105.6,,10.164.105.66,,1521,DB2,3253738,3292264
DSAA,10.164.145.220,,10.164.105.0,,5432,MYSQL,1626162,3130183
DSAA,10.164.145.124,,10.164.105.191,,27017,ORACLE,0,0
DSAA,10.164.145.247,,10.164.105.73,,5432,POSTGRESQL,1529696,4989249
DSAA,10.164.145.238,,10.164.105.176,,1521,POSTGRESQL,1594742,2811367
DSAA,10.164.145.185,,10.164.105.194,,27017,TLS,2265067,3630117
DSAA,10.164.145.234,,10.164.105.30,,27017,MYSQL,2236154,4822689
DSAA,10.164.105.63,,10.164.105.221,,5432,ORACLE,1734264,1466436
DSAA,10.164.145.107,,10.164.105.230,,27017,ORACLE,0,0
DSAA,10.164.105.142,,10.164.105.49,,3306,TLS,3379673,4936435
DSAA,10.164.145.243,,10.164.105.245,,1521,MYSQL,2206537,2086583
DSAA,10.164.145.243,,10.164.105.12,,1433,ORACLE,2742160,4795809
DSAA,10.164.105.251,,10.164.105.78,,1433,MYSQL,2932480,4992802
DSAA,10.164.145.24,,10.164.105.104,,3306,DB2,1676042,2564687
DSAA,10.164.145.222,,10.164.105.215,,5432,ORACLE,1753283,3590790
DSAA,2001:db8:2bda:f8d3:969f:8f07:3723:d8b2,,2001:db8:548b:87b5:160:62ec:3288:900d,,5432,DB2,2211841,3388374
DSAA,10.164.145.54,,10.164.105.173,,1521,MYSQL,947136,2497732
DSAA,10.164.105.21,,10.164.105.247,,1433,MYSQL,1324293,1687587
DSAA,2001:db8:2bda:f8d3:c6f:151b:555a:141f,,2001:db8:548b:87b5:c9c:9019:eaba:be89,,27017,MYSQL,3443909,3566389
DSAA,10.164.145.65,,10.164.105.16,,1433,ORACLE,891869,3360080
DSAA,10.164.105.141,,10.164.105.205,,3306,DB2,2485915,3440022
DSAA,10.164.145.240,,10.164.105.127,,5432,TLS,2025299,4322787
DSAA,10.164.145.57,,10.164.105.24,,3306,ORACLE,1132649,3422602
DSAA,10.164.145.138,,10.164.105.137,,1521,POSTGRESQL,822775,3071451
DSAA,10.164.105.87,,10.164.105.110,,27017,SQL,3703927,4011792
DSAA,2001:db8:548b:87b5:ca3d:8bff:dea:c8b,,2001:db8:548b:87b5:911d:8ea3:c0e2:776,,1521,MYSQL,2176515,2354827
DSAA,2001:db8:548b:87b5:ef:c826:381f:453e,,2001:db8:548b:87b5:e609:468:1ab9:a3c6,,1433,TLS,2841056,1116567
DSAA,10.164.145.37,,10.164.105.29,,5432,POSTGRESQL,1828952,4963665
DSAA,10.164.105.85,,10.164.105.126,,5432,POSTGRESQL,3607782,1882454
DSAA,10.164.105.135,,10.164.105.49,,27017,ORACLE,1552001,2610146
DSAA,10.164.105.41,,10.164.105.137,,5432,MYSQL,3401490,2671938
DSAA,10.164.105.165,,10.164.105.173,,1433,SQL,1735139,4445031
DSAA,10.164.145.7,,10.164.105.42,,1521,POSTGRESQL,1548867,2969772
DSAA,2001:db8:2bda:f8d3:d9d2:b7fa:83ea:8d64,,2001:db8:548b:87b5:d366:a6c9:10e7:18bc,,1433,DB2,1304635,2761607
DSAA,10.164.145.74,,10.164.105.60,,1521,POSTGRESQL,1154036,2170501
DSAA,10.164.105.107,,10.164.105.16,,5432,DB2,2841662,1237736
DSAA,10.164.145.52,,10.164.105.140,,1521,ORACLE,1412833,4214189
DSAA,10.164.105.63,,10.164.105.65,,5432,SQL,833658,2176552
DSAA,2001:db8:2bda:f8d3:40de:a125:20e6:4140,,2001:db8:548b:87b5:6a9:b518:fc7a:dd93,,5432,MYSQL,0,0
DSAA,10.164.105.64,,10.164.105.239,,1433,MYSQL,2787412,2643490
DSAA,10.164.145.107,,10.164.105.62,,3306,ORACLE,2296275,2742914
DSAA,2001:db8:2bda:f8d3:7723:d2b1:a1c8:cac5,,2001:db8:548b:87b5:b036:e980:b9f8:b50e,,5432,DB2,2346706,1423812
DSAA,10.164.145.239,,10.164.105.239,,27017,ORACLE,1088526,2697563
DSAA,10.164.105.112,,10.164.105.142,,1433,MYSQL,1165892,2932611
DSAA,10.164.105.95,,10.164.105.28,,27017,POSTGRESQL,2188440,4052313
DSAA,2001:db8:2bda:f8d3:56a0:7c56:7fa3:4219,,2001:db8:548b:87b5:7641:2c5e:da36:dd2c,,3306,SQL,3978610,1253844
DSAA,10.164.145.249,,10.164.105.142,,1521,MYSQL,3809658,2712163
DSAA,10.164.145.62,,10.164.105.92,,3306,POSTGRESQL,2264781,3367318
DSAA,10.164.105.254,,10.164.105.162,,1521,ORACLE,2809371,4347504
DSAA,10.164.145.217,,10.164.105.128,,5432,POSTGRESQL,0,0
DSAA,10.164.145.169,,10.164.105.239,,5432,TLS,1959823,1438648
DSAA,10.164.145.133,,10.164.105.77,,3306,MYSQL,1768632,2153375
DSAA,10.164.145.224,,10.164.105.216,,3306,ORACLE,1843312,3826339
DSAA,10.164.105.91,,10.164.105.76,,3306,DB2,3501187,1653841
DSAA,10.164.105.254,,10.164.105.111,,5432,ORACLE,3182517,4857785
DSAA,10.164.105.26,,10.164.105.124,,5432,MYSQL,2873035,2496512
DSAA,10.164.145.154,,10.164.105.133,,3306,ORACLE,0,0
DSAA,10.164.145.131,,10.164.105.7,,5432,MYSQL,2332358,1309099
DSAA,10.164.145.250,,10.164.105.38,,5432,SQL,2907630,3454606
DSAA,10.164.105.27,,10.164.105.190,,1433,ORACLE,1329533,4873577
DSAA,10.164.105.213,,10.164.105.83,,3306,POSTGRESQL,2667719,2189319
DSAA,2001:db8:548b:87b5:6fdf:9127:91ec:58f2,,2001:db8:548b:87b5:e13a:df4:7be1:4112,,27017,SQL,3365110,2390039
DSAA,10.164.105.216,,10.164.105.144,,27017,ORACLE,2938703,4810542
DSAA,10.164.145.2,,10.164.105.225,,1521,DB2,1979454,2666205
DSAA,2001:db8:548b:87b5:29f0:b5ca:ae7d:b0e6,,2001:db8:548b:87b5:ec5e:b0fc:b32b:c6c,,1521,TLS,1373081,4393193
DSAA,2001:db8:2bda:f8d3:2933:ae6:5494:156c,,2001:db8:548b:87b5:e352:be10:fd7f:6154,,1433,POSTGRESQL,3159709,1959073
DSAA,10.164.145.11,,10.164.105.82,,1521,TLS,1313098,2112275
DSAA,10.164.145.160,,10.164.105.160,,1521,MYSQL,2481978,3053132
DSAA,10.164.145.233,,10.164.105.0,,27017,SQL,2970280,1817279
DSAA,10.164.145.94,,10.164.105.243,,1521,POSTGRESQL,0,0
DSAA,10.164.145.76,,10.164.105.252,,3306,SQL,2129451,2964090
DSAA,10.164.105.178,,10.164.105.92,,5432,POSTGRESQL,1847596,2835437
DSAA,10.164.105.172,,10.164.105.70,,5432,SQL,1347475,1419911
DSAA,2001:db8:2bda:f8d3:8698:2a0b:6a5c:92c,,2001:db8:548b:87b5:ec1b:72d1:8e88:f65d,,1433,TLS,1713808,4859166
DSAA,10.164.105.160,,10.164.105.21,,3306,SQL,2749661,2531362
DSAA,10.164.105.28,,10.164.105.141,,5432,MYSQL,3753830,1500258
DSAA,10.164.145.5,,10.164.105.40,,27017,DB2,3381411,4076779
DSAA,10.164.145.192,,10.164.105.8,,27017,SQL,0,0
DSAA,10.164.145.192,,10.164.105.195,,27017,POSTGRESQL,2368562,4216543
DSAA,10.164.145.102,,10.164.105.241,,1521,TLS,1599854,3430959
DSAA,10.164.145.94,,10.164.105.168,,27017,SQL,2878426,1191634
DSAA,2001:db8:548b:87b5:7ec5:e9f5:6b5f:fa15,,2001:db8:548b:87b5:8876:27e5:273c:5b2d,,5432,POSTGRESQL,3866864,1400322
DSAA,2001:db8:548b:87b5:c2cb:e14e:3d39:4e8e,,2001:db8:548b:87b5:5c1c:e21f:85e3:1dc0,,1433,SQL,3029712,3351328
DSAA,10.164.105.215,,10.164.105.53,,27017,ORACLE,3437745,4922118
DSAA,10.164.145.76,,10.164.105.231,,3306,TLS,2652958,3678565
DSAA,10.164.145.193,,10.164.105.159,,1521,POSTGRESQL,3034078,3206345
DSAA,10.164.105.41,,10.164.105.208,,1521,TLS,2821738,3943566
DSAA,2001:db8:2bda:f8d3:9651:e24e:7f34:6bb4,,2001:db8:548b:87b5:5ba3:dbd8:2b2:4638,,1521,DB2,3292054,4318866
DSAA,10.164.105.172,,10.164.105.219,,1521,TLS,2851029,2414807
DSAA,10.164.105.134,,10.164.105.95,,3306,ORACLE,1689112,4607284
DSAA,10.164.105.98,,10.164.105.152,,3306,POSTGRESQL,3253032,3837320
DSAA,10.164.145.80,,10.164.105.53,,3306,SQL,3207873,3946232
DSAA,10.164.105.40,,10.164.105.231,,1521,TLS,2932858,3196682
DSAA,10.164.145.70,,10.164.105.221,,27017,SQL,3572798,4070767
DSAA,2001:db8:548b:87b5:b3fc:581f:1590:415a,,2001:db8:548b:87b5:e38a:dff9:5efd:4941,,3306,POSTGRESQL,2050184,2783701
DSAA,2001:db8:2bda:f8d3:ba8d:2ec:b170:552c,,2001:db8:548b:87b5:3105:aef7:4673:63a6,,27017,MYSQL,2044673,2035524
DSAA,10.164.105.215,,10.164.105.151,,1521,POSTGRESQL,2195600,2298549
DSAA,2001:db8:548b:87b5:78a8:1688:d0c:a44a,,2001:db8:548b:87b5:28db:2c1:51f3:e278,,3306,TLS,3836566,2119464
DSAA,2001:db8:548b:87b5:5669:231f:9063:2782,,2001:db8:548b:87b5:12c5:3b80:b5ea:457e,,1433,DB2,1322921,4632842
DSAA,10.164.145.39,,10.164.105.126,,1433,DB2,1409283,1971021
DSAA,2001:db8:2bda:f8d3:d519:6f14:fcd6:a254,,2001:db8:548b:87b5:999c:3245:1ad9:dae3,,5432,MYSQL,817849,3189097
DSAA,10.164.105.181,,10.164.105.15,,3306,ORACLE,1866011,2731082
DSAA,10.164.105.103,,10.164.105.201,,5432,TLS,0,0
DSAA,10.164.105.178,,10.164.105.217,,1521,ORACLE,3419688,2139379
DSAA,10.164.105.40,,10.164.105.28,,27017,ORACLE,2940529,1624085
DSAA,10.164.105.98,,10.164.105.243,,3306,POSTGRESQL,1235575,1308722
DSAA,10.164.145.175,,10.164.105.43,,1433,TLS,2113717,3742270
DSAA,10.164.105.84,,10.164.105.9,,27017,SQL,3766815,4461371
DSAA,10.164.145.76,,10.164.105.27,,1521,SQL,1324288,4195321
DSAA,10.164.105.20,,10.164.105.212,,27017,MYSQL,3504928,4564162
DSAA,2001:db8:548b:87b5:a0ea:eb:a92b:360,,2001:db8:548b:87b5:151d:f0f9:372a:72a2,,27017,POSTGRESQL,0,0
DSAA,10.164.145.49,,10.164.105.186,,1433,DB2,3761067,2756904
DSAA,10.164.145.43,,10.164.105.50,,1521,TLS,3648915,1566960
DSAA,10.164.105.24,,10.164.105.230,,27017,MYSQL,0,0
DSAA,2001:db8:548b:87b5:3c1a:4bc3:7e16:da1,,2001:db8:548b:87b5:9e61:af45:3cd7:6bc9,,3306,ORACLE,3008190,1610129
DSAA,10.164.145.70,,10.164.105.60,,3306,SQL,1621758,2129139
DSAA,10.164.145.234,,10.164.105.55,,3306,MYSQL,1324980,4696309
DSAA,10.164.145.224,,10.164.105.231,,1521,MYSQL,0,0
DSAA,10.164.105.254,,10.164.105.115,,1521,ORACLE,0,0
DSAA,10.164.145.148,,10.164.105.232,,3306,DB2,2697614,4497484
DSAA,10.164.105.191,,10.164.105.242,,1433,TLS,3586976,2955214
DSAA,10.164.145.60,,10.164.105.144,,3306,DB2,3628668,1421209
DSAA,10.164.145.95,,10.164.105.90,,3306,TLS,3254198,2257310
DSAA,10.164.145.21,,10.164.105.25,,1521,SQL,2594795,2835327
DSAA,10.164.105.107,,10.164.105.196,,5432,MYSQL,2605107,3169990
DSAA,2001:db8:2bda:f8d3:c696:5985:7dec:d8e7,,2001:db8:548b:87b5:9e8f:fa10:2f81:1d1c,,5432,SQL,844817,4714613
DSAA,10.164.105.202,,10.164.105.101,,5432,DB2,2543679,1637658
DSAA,10.164.105.75,,10.164.105.66,,1433,ORACLE,901885,3433108
DSAA,10.164.105.81,,10.164.105.128,,27017,SQL,1685997,1391668
DSAA,10.164.145.147,,10.164.105.198,,1521,TLS,3418310,1454848
DSAA,2001:db8:548b:87b5:bc1c:84d:6404:f2cd,,2001:db8:548b:87b5:5927:aec9:74ef:c5f1,,5432,SQL,1775825,4339600
DSAA,10.164.145.71,,10.164.105.154,,5432,MYSQL,3635956,3999228
DSAA,2001:db8:548b:87b5:27a3:8eef:7a03:be5a,,2001:db8:548b:87b5:c22e:9fd0:1a35:b6b0,,27017,MYSQL,2565621,2834642
DSAA,10.164.105.189,,10.164.105.46,,27017,MYSQL,2340921,3740755
DSAA,10.164.105.177,,10.164.105.103,,5432,SQL,1505608,1869717
DSAA,10.164.105.86,,10.164.105.56,,1433,SQL,1321574,1323349
DSAA,2001:db8:548b:87b5:b6b9:65f3:bec4:d999,,2001:db8:548b:87b5:bfff:5d88:f339:f78e,,1521,SQL,1831397,1612328
DSAA,10.164.145.108,,10.164.105.192,,1521,SQL,3380481,2464678
DSAA,10.164.105.208,,10.164.105.3,,5432,ORACLE,2494274,2602373
DSAA,10.164.105.133,,10.164.105.32,,1433,POSTGRESQL,3555434,3625768
DSAA,10.164.145.247,,10.164.105.229,,5432,MYSQL,3240459,1404141
