App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ECL,10.164.105.194,,10.165.116.192,,8080,TCP,433023,1828458
ECL,10.164.116.33,,10.164.144.77,,8443,HTTPS,1851144,3034803
ECL,10.164.116.69,,10.164.145.110,,22,TCP,503428,996148
ECL,2001:db8:1a2b:3c4d:f9a2:e377:a20b:93a6,,2001:db8:2bda:f8d3:aa61:9dcc:1221:5992,,8443,TCP,711443,1911164
ECL,2001:db8:2582:6d22:c83d:3502:30c7:f3ee,,2001:db8:2bda:f8d3:7f74:1713:3edd:3716,,1521,TCP,774158,298925
ECL,10.164.144.52,,10.164.145.56,,443,TCP,1795309,2799688
ECL,10.100.160.209,,10.164.116.80,,8081,HTTP,2617441,1110313
ECL,10.164.116.133,,10.100.160.154,,8443,HTTPS,3123706,1204413
ECL,2001:db8:ea19:a1e1:76f1:7b64:4c8e:fee2,,2001:db8:1a2b:3c4d:f109:1f2f:fb0a:343c,,8080,HTTP,1129769,2257732
ECL,10.164.116.145,,10.165.116.249,,8443,TCP,3901109,1293591
ECL,10.164.105.150,,10.164.116.237,,8443,TCP,3526799,3154049
ECL,10.100.246.188,,10.100.246.160,,80,HTTP,3661612,1529395
ECL,10.164.145.70,,10.164.145.163,,443,TCP,3736374,1054389
ECL,10.164.144.115,,10.164.116.52,,443,HTTPS,2592793,687994
ECL,10.164.145.43,,10.164.105.98,,8081,HTTP,253685,2196025
ECL,10.164.116.182,,10.164.144.44,,80,HTTP,3710065,1631778
ECL,10.100.246.196,,10.165.116.93,,,TCP,3928621,3662691
ECL,2001:db8:2582:6d22:1151:231a:81cd:4c4e,,2001:db8:1a2b:3c4d:e654:b0e2:95ee:d93a,,,TCP,3591252,573582
ECL,10.164.145.235,,10.100.160.155,,389,TCP,686879,2163620
ECL,10.165.116.196,,10.165.116.181,,443,HTTPS,2918687,342963
ECL,10.164.145.162,,10.164.105.170,,,TCP,2727053,496240
ECL,10.164.144.121,,10.164.116.106,,8081,HTTP,3222698,2563270
ECL,10.100.160.177,,10.100.246.37,,,TCP,3113521,3183305
ECL,10.100.246.253,,10.164.145.214,,8443,HTTPS,2290713,699365
ECL,10.100.160.46,,10.164.105.31,,8443,HTTPS,0,0
ECL,10.100.246.20,,10.100.160.44,,8443,HTTPS,1857016,1029716
ECL,2001:db8:2bda:f8d3:c632:785c:a1ae:8542,,2001:db8:ea19:a1e1:f62d:eea5:7f61:49c4,,8443,HTTPS,1306992,2703121
ECL,10.100.246.100,,10.165.116.96,,22,TCP,3562215,1396861
ECL,10.165.116.125,,10.165.116.45,,443,HTTPS,1402727,2507764
ECL,10.164.144.152,,10.164.116.138,,8443,TCP,3781683,2033602
ECL,10.164.145.220,,10.164.116.60,,8443,HTTPS,2640405,827378
ECL,10.164.105.221,,10.165.116.125,,443,HTTPS,1638428,3504933
ECL,10.164.116.40,,10.165.116.232,,8080,HTTP,2910855,1322809
ECL,10.164.144.55,,10.165.116.188,,443,HTTPS,390305,2820263
ECL,2001:db8:ea19:a1e1:1cc7:aaf2:bd88:4450,,2001:db8:2bda:f8d3:cc51:91c4:db09:e2c4,,80,HTTP,1355112,3273158
ECL,10.164.145.139,,10.164.105.34,,8081,HTTP,1723779,617618
