App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
EFW,10.100.246.192,,10.164.116.100,,443,HTTPS,1950259,918713
EFW,10.164.116.214,,10.164.105.61,,443,HTTPS,3623102,490737
EFW,10.164.105.2,,10.100.160.151,,443,HTTPS,401115,703804
EFW,10.164.105.57,,10.100.160.252,,80,HTTP,736338,2234069
EFW,10.164.145.33,,10.164.145.227,,8080,HTTP,1375517,2686382
EFW,10.164.116.239,,10.164.145.182,,8080,HTTP,1991614,2893661
EFW,10.164.145.36,,10.164.145.197,,80,HTTP,960156,3062326
EFW,10.164.116.102,,10.100.160.231,,,TCP,355335,1311873
EFW,10.100.246.182,,10.164.105.32,,80,HTTP,2066307,2947717
EFW,10.164.116.112,,10.164.145.173,,1521,TCP,786281,518350
EFW,2001:db8:4c3a:9f21:214f:9999:85b0:63b2,,2001:db8:4c3a:9f21:d604:a354:b23b:c6c8,,8080,TCP,2242626,696025
EFW,10.100.160.72,,10.100.246.29,,80,HTTP,831172,708449
EFW,10.164.145.173,,10.100.246.109,,443,HTTPS,115818,3461669
EFW,10.164.145.75,,10.100.246.145,,8443,HTTPS,1228714,3802929
EFW,2001:db8:548b:87b5:dec3:d883:72ac:ec72,,2001:db8:ea19:a1e1:e4e:2397:72b0:cb3,,8080,HTTP,3440340,3933242
EFW,2001:db8:2582:6d22:ddbe:8d7c:2e05:ec23,,2001:db8:2bda:f8d3:b3e6:4d6d:84dc:63cd,,8080,TCP,3832975,468185
EFW,10.164.145.93,,10.165.116.110,,80,TCP,454139,2219586
EFW,2001:db8:1a2b:3c4d:2bfd:e673:6006:fb3d,,2001:db8:1a2b:3c4d:4960:ab1d:a387:716a,,80,HTTP,0,0
EFW,10.164.145.45,,10.100.160.32,,389,TCP,1369396,2139611
EFW,2001:db8:ea19:a1e1:cc7d:177e:d257:36a5,,2001:db8:2bda:f8d3:326a:4f3d:9e91:e290,,443,HTTPS,3602089,3241171
EFW,10.164.145.188,,10.100.246.188,,8443,TCP,433917,1557093
EFW,10.164.116.120,,10.100.160.233,,,TCP,2431399,3095216
EFW,10.164.145.213,,10.100.160.1,,5432,TCP,0,0
EFW,10.165.116.14,,10.165.116.196,,8081,HTTP,3704207,160044
EFW,10.164.116.169,,10.100.246.23,,443,HTTPS,168787,1444546
