App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
EM,10.164.145.155,,10.164.145.234,,1521,TCP,1041499,323717
EM,10.164.116.10,,10.100.160.163,,443,HTTPS,2455032,697965
EM,10.164.144.238,,10.164.116.88,,8443,HTTPS,1747351,941099
EM,10.164.105.195,,10.164.105.129,,80,TCP,3685141,2905010
EM,10.164.116.189,,10.100.246.236,,443,HTTPS,591406,3551844
EM,2001:db8:4c3a:9f21:e8aa:1ab9:dceb:d81a,,2001:db8:ea19:a1e1:e813:8db0:bb75:bb3a,,443,HTTPS,1588970,465573
EM,10.165.116.66,,10.165.116.190,,443,HTTPS,3826409,875691
EM,2001:db8:2bda:f8d3:29ea:fcbf:779c:b875,,2001:db8:2bda:f8d3:46c6:1377:129f:761d,,8081,HTTP,0,0
EM,10.164.105.97,,10.164.116.55,,3306,TCP,471170,1479509
EM,10.164.105.67,,10.100.160.200,,8080,HTTP,2063664,589500
EM,10.164.145.96,,10.164.145.193,,443,HTTPS,2416232,3378821
EM,10.100.246.235,,10.164.144.12,,8081,HTTP,2543877,1397067
EM,10.164.105.45,,10.164.145.253,,8080,HTTP,2787339,241808
EM,10.165.116.254,,10.164.145.234,,8443,HTTPS,2575564,3419687
EM,10.100.246.96,,10.100.160.63,,80,TCP,2664910,2854929
EM,10.165.116.198,,10.100.160.2,,8443,HTTPS,1129801,1773281
EM,10.164.105.9,,10.164.116.145,,3306,TCP,1052879,1469167
EM,2001:db8:ea19:a1e1:6f9b:a271:d53e:1e8e,,2001:db8:1a2b:3c4d:4e5d:8a0b:c4e1:a810,,443,HTTPS,3273629,140511
EM,10.164.116.201,,10.164.105.12,,8081,HTTP,3383786,3998227
EM,10.165.116.43,,10.100.246.85,,80,HTTP,1443630,2113076
EM,10.165.116.197,,10.164.145.71,,8443,HTTPS,2233841,1093936
EM,10.164.116.201,,10.164.144.33,,8443,HTTPS,294220,3748665
EM,10.164.105.179,,10.164.144.230,,22,TCP,1327018,1827363
EM,10.164.105.118,,10.165.116.153,,443,HTTPS,0,0
EM,10.164.105.205,,10.164.144.158,,80,HTTP,993484,1356302
EM,10.165.116.167,,10.100.160.208,,443,HTTPS,1257703,153769
EM,10.100.246.173,,10.100.160.221,,8080,HTTP,2313624,3862211
EM,10.100.246.183,,10.164.144.70,,8080,TCP,1363683,2256363
EM,10.164.145.114,,10.164.145.211,,,TCP,2716490,2227011
EM,10.165.116.168,,10.164.105.43,,,TCP,1257526,3066626
EM,2001:db8:4c3a:9f21:133:d52c:ade6:98e4,,2001:db8:2bda:f8d3:98f1:c899:7952:8997,,8081,HTTP,3583445,501186
EM,2001:db8:2bda:f8d3:d9ec:9466:1b9e:90ff,,2001:db8:ea19:a1e1:47e1:6d1d:6427:f18a,,443,HTTPS,2833896,3045034
EM,10.100.160.233,,10.100.246.4,,8443,HTTPS,3224439,3652421
EM,2001:db8:548b:87b5:2c71:69a4:2426:76dd,,2001:db8:4c3a:9f21:c94a:498e:ee3b:9593,,80,HTTP,2852580,775807
