App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
EMDS,10.164.145.128,,10.164.105.248,,443,HTTPS,1947608,2339172
EMDS,10.165.116.148,,10.100.246.139,,80,HTTP,0,0
EMDS,2001:db8:ea19:a1e1:5208:7cb:e0d7:42f0,,2001:db8:1a2b:3c4d:91c1:fbb:9500:12dc,,80,HTTP,537386,2685881
EMDS,2001:db8:2bda:f8d3:71f6:6466:4d96:53c1,,2001:db8:4c3a:9f21:4225:9f7:4707:5949,,80,HTTP,3643335,1065511
EMDS,10.100.246.79,,10.100.160.157,,80,TCP,617673,882520
EMDS,10.164.145.2,,10.164.116.52,,8080,HTTP,289799,789896
EMDS,10.164.105.67,,10.164.144.206,,,TCP,3004397,1455609
EMDS,10.165.116.191,,10.164.116.174,,443,TCP,238338,338553
EMDS,2001:db8:4c3a:9f21:881b:e960:aaf:8d82,,2001:db8:ea19:a1e1:fd2a:4b5b:245b:4406,,8443,HTTPS,2421997,656848
EMDS,2001:db8:2bda:f8d3:c17:8e93:cc81:a2ad,,2001:db8:2bda:f8d3:780d:cb86:d93c:154b,,8080,HTTP,0,0
EMDS,10.100.160.47,,10.165.116.192,,8443,TCP,0,0
EMDS,10.164.105.114,,10.164.145.230,,8081,HTTP,1551757,1860398
EMDS,10.164.116.84,,10.165.116.246,,,TCP,0,0
EMDS,2001:db8:548b:87b5:fb49:71f2:2eb7:9d41,,2001:db8:2582:6d22:6b89:8765:c986:1e1,,3306,TCP,230953,1686840
EMDS,10.164.145.4,,10.164.116.120,,80,HTTP,897640,3797467
EMDS,2001:db8:4c3a:9f21:e0c3:26f1:fc90:73f6,,2001:db8:1a2b:3c4d:b50f:818e:7aeb:1fea,,443,HTTPS,678316,2431873
EMDS,10.165.116.88,,10.100.246.95,,,TCP,0,0
EMDS,10.165.116.48,,10.164.116.70,,3306,TCP,3100474,1557968
EMDS,10.164.144.153,,10.164.116.193,,8443,HTTPS,3584298,1734209
EMDS,10.164.116.145,,10.164.144.233,,8443,TCP,2864590,2872110
EMDS,10.164.144.213,,10.100.160.59,,8443,HTTPS,807040,1217346
EMDS,10.165.116.234,,10.164.105.230,,443,TCP,1049570,1051639
EMDS,10.164.116.145,,10.164.144.110,,8081,HTTP,1432274,1902051
EMDS,10.164.116.39,,10.164.116.47,,80,HTTP,2579330,1662965
EMDS,10.100.160.104,,10.164.144.106,,80,HTTP,1697224,147775
EMDS,10.164.145.25,,10.165.116.246,,80,TCP,420494,3302400
EMDS,10.164.105.87,,10.100.160.207,,80,TCP,3358696,3613967
EMDS,10.164.144.127,,10.100.160.210,,1521,TCP,2617853,1049682
EMDS,10.100.160.168,,10.164.105.236,,5432,TCP,3276243,1825147
EMDS,10.100.246.67,,10.164.105.174,,443,TCP,1780721,544693
EMDS,10.164.116.57,,10.100.246.141,,80,HTTP,457306,2383447
EMDS,10.100.160.214,,10.164.144.25,,8081,HTTP,3608939,3783180
EMDS,10.164.145.92,,10.164.144.58,,,TCP,2433393,3420472
EMDS,10.164.116.194,,10.100.160.121,,80,HTTP,0,0
