App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
EMGR,10.165.116.107,,10.100.160.148,,,TCP,323528,3640247
EMGR,10.100.246.33,,10.164.105.202,,80,HTTP,629255,1088220
EMGR,10.164.144.255,,10.164.145.199,,8443,HTTPS,2246926,2688158
EMGR,10.100.246.100,,10.164.105.252,,8443,TCP,1921058,3212521
EMGR,10.164.145.187,,10.100.160.212,,,TCP,521728,166528
EMGR,10.165.116.226,,10.100.160.97,,,TCP,3197652,1849629
EMGR,10.100.160.4,,10.100.160.170,,443,TCP,2515507,1669315
EMGR,10.164.145.233,,10.164.144.230,,,TCP,600255,2254868
EMGR,10.164.145.160,,10.164.105.249,,8443,HTTPS,2253251,1067059
EMGR,10.100.246.148,,10.164.116.60,,443,TCP,3497597,3089763
EMGR,10.164.105.85,,10.164.116.251,,443,HTTPS,0,0
EMGR,2001:db8:548b:87b5:1797:5736:d690:e5d8,,2001:db8:2582:6d22:387b:5746:3711:a80b,,22,TCP,3893708,2645523
EMGR,10.164.105.88,,10.164.105.248,,8443,HTTPS,2897822,2631012
EMGR,10.164.145.155,,10.100.160.76,,443,HTTPS,948584,2148260
EMGR,10.165.116.127,,10.165.116.45,,5432,TCP,1866189,2129865
EMGR,10.100.160.209,,10.164.116.128,,8443,TCP,3292668,3109758
EMGR,10.100.246.182,,10.164.105.159,,443,HTTPS,1961475,1126660
EMGR,10.165.116.50,,10.100.246.212,,80,HTTP,1264538,2462480
EMGR,10.100.160.13,,10.164.144.83,,8443,HTTPS,2218494,2782061
EMGR,2001:db8:2bda:f8d3:7830:2a2f:449a:1d1,,2001:db8:548b:87b5:e3b4:a514:1b90:1396,,8443,HTTPS,1677554,1094207
EMGR,10.100.160.75,,10.164.105.191,,8443,HTTPS,2816942,2240517
EMGR,2001:db8:2bda:f8d3:f38:f0c8:49e9:a7b1,,2001:db8:2bda:f8d3:400b:6010:1d5e:75d8,,8443,HTTPS,2694591,3694315
EMGR,10.164.116.44,,10.164.145.116,,8080,TCP,2911966,1506848
EMGR,10.100.160.1,,10.165.116.196,,1521,TCP,2207298,2637453
EMGR,10.165.116.190,,10.164.105.178,,80,HTTP,435998,3111587
EMGR,10.164.116.180,,10.165.116.108,,8443,HTTPS,1198555,3133462
EMGR,10.164.116.220,,10.164.145.136,,8080,TCP,2340814,1792326
EMGR,2001:db8:4c3a:9f21:449:89a7:14a7:da4e,,2001:db8:1a2b:3c4d:e166:d792:6fc:9487,,,TCP,0,0
EMGR,10.100.160.192,,10.164.145.200,,443,HTTPS,660819,117268
EMGR,2001:db8:4c3a:9f21:322e:3b97:a197:342e,,2001:db8:1a2b:3c4d:1aa2:d5ba:29ce:a132,,8443,HTTPS,659860,2450115
EMGR,10.164.144.66,,10.100.246.37,,8080,TCP,2418703,2831303
EMGR,10.164.145.172,,10.165.116.163,,8443,HTTPS,2455665,3513383
EMGR,10.100.160.27,,10.164.145.81,,,TCP,1585115,2521066
EMGR,10.164.116.29,,10.164.144.28,,5432,TCP,2264528,949050
EMGR,2001:db8:548b:87b5:e07:9f1e:56de:a7bf,,2001:db8:1a2b:3c4d:5bee:4a1c:6b42:a238,,443,HTTPS,3206066,944969
EMGR,2001:db8:ea19:a1e1:6b40:5865:1a21:ebd2,,2001:db8:4c3a:9f21:903d:7aa3:c03:82a2,,443,HTTPS,1793930,3597476
EMGR,10.164.144.68,,10.164.105.229,,8080,TCP,3021266,2129277
EMGR,10.164.145.217,,10.165.116.239,,8080,HTTP,663247,1215889
EMGR,10.164.105.211,,10.164.116.252,,8080,TCP,3564560,1355606
EMGR,10.164.145.60,,10.164.145.120,,443,HTTPS,1552452,2386452
EMGR,2001:db8:2582:6d22:ae42:66c8:189f:55e6,,2001:db8:2582:6d22:bc63:43b0:9626:bd20,,80,HTTP,1901845,2888382
EMGR,10.164.145.196,,10.100.160.202,,443,TCP,582856,3415561
EMGR,10.165.116.46,,10.164.145.135,,443,HTTPS,751036,788782
EMGR,10.164.145.172,,10.100.160.237,,8080,HTTP,1346456,3282581
EMGR,10.100.246.8,,10.164.105.143,,8080,TCP,3091057,2313375
EMGR,10.165.116.122,,10.164.145.178,,443,HTTPS,439859,1577681
EMGR,10.164.116.4,,10.100.160.80,,8081,HTTP,3783233,3048371
EMGR,10.165.116.89,,10.164.105.112,,8080,HTTP,1864622,3463065
