App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
END,10.164.144.129,,10.164.144.246,,443,TCP,2175646,3745614
END,10.165.116.114,,10.164.116.43,,443,HTTPS,3899192,2955128
END,10.100.160.21,,10.100.160.234,,8443,HTTPS,740592,1083804
END,10.164.105.236,,10.164.116.56,,80,TCP,418621,1927210
END,10.100.246.17,,10.164.145.78,,,TCP,220069,3591719
END,10.100.160.231,,10.164.116.119,,8443,HTTPS,2283737,2711888
END,10.164.145.192,,10.165.116.152,,8443,HTTPS,1235403,624077
END,10.164.144.210,,10.164.105.112,,8443,TCP,1022967,368091
END,10.164.145.151,,10.164.116.121,,1521,TCP,0,0
END,10.164.105.175,,10.100.246.243,,8443,HTTPS,2428300,2191038
END,2001:db8:2582:6d22:60be:509c:a791:bea1,,2001:db8:4c3a:9f21:7bd5:d432:69b:2905,,8080,HTTP,980056,2345550
END,10.164.145.137,,10.165.116.38,,443,TCP,2059086,2495359
END,10.164.144.140,,10.100.160.189,,8081,HTTP,1855046,322240
END,10.164.145.12,,10.164.145.78,,8080,HTTP,1659404,2116634
END,2001:db8:4c3a:9f21:6766:8298:e431:55ae,,2001:db8:548b:87b5:a900:aa80:4779:a85d,,8080,HTTP,0,0
END,10.164.145.186,,10.164.116.205,,443,HTTPS,0,0
END,10.164.105.207,,10.164.105.64,,8443,HTTPS,0,0
END,10.100.160.139,,10.164.116.236,,8081,HTTP,3437234,2638765
END,10.165.116.197,,10.164.145.22,,8081,HTTP,947667,3467121
END,10.165.116.33,,10.164.145.54,,443,HTTPS,1351125,2274589
END,2001:db8:2582:6d22:8fc2:6638:d9c4:5744,,2001:db8:ea19:a1e1:95ea:aec9:9431:1fa6,,1521,TCP,197327,1810133
END,10.100.246.91,,10.165.116.158,,8081,HTTP,2577134,3433393
END,10.164.145.253,,10.165.116.105,,443,TCP,1971837,2496579
END,10.165.116.103,,10.100.246.31,,8443,HTTPS,3408534,3251200
END,10.164.116.238,,10.164.116.242,,80,TCP,3938371,3724478
END,10.164.144.38,,10.165.116.195,,22,TCP,1893386,1811426
END,10.164.144.102,,10.164.105.136,,8443,HTTPS,1591369,1940627
END,10.164.144.182,,10.164.144.128,,8080,HTTP,1562133,1154368
END,10.164.145.89,,10.164.145.35,,8081,HTTP,511320,1253111
END,10.164.144.197,,10.164.144.131,,,TCP,0,0
END,2001:db8:ea19:a1e1:fa21:ddd6:99a2:7074,,2001:db8:2bda:f8d3:2dc6:d191:c503:3179,,8080,TCP,2500742,1180096
END,10.164.105.240,,10.164.116.88,,80,HTTP,1208630,697799
END,10.165.116.51,,10.164.105.231,,8080,HTTP,0,0
END,10.164.144.71,,10.100.160.210,,8443,HTTPS,1253559,1707070
END,10.164.144.110,,10.164.116.241,,8080,TCP,2929343,1075980
END,2001:db8:4c3a:9f21:5567:36ec:2791:3868,,2001:db8:4c3a:9f21:8d99:c9a4:575d:bdfe,,8080,HTTP,3543187,3754084
END,10.164.116.208,,10.100.160.78,,8443,HTTPS,1246949,3846971
END,10.100.160.143,,10.164.105.101,,80,HTTP,3225272,1651522
END,2001:db8:1a2b:3c4d:7db0:a733:4677:e5f4,,2001:db8:4c3a:9f21:7bbb:8aec:2964:dfd0,,8443,HTTPS,648506,1199439
END,10.164.105.75,,10.100.160.92,,,TCP,1813585,3702451
END,10.164.145.252,,10.164.145.184,,443,HTTPS,0,0
END,10.100.246.189,,10.164.116.111,,8080,HTTP,2247896,2364780
END,10.164.105.45,,10.164.144.136,,443,HTTPS,812563,3705998
END,10.164.105.10,,10.164.116.124,,8081,HTTP,2410700,3547451
END,10.100.246.44,,10.100.246.94,,8081,HTTP,1394546,2686312
END,10.164.145.82,,10.165.116.45,,8080,HTTP,3375041,1297866
END,10.100.160.202,,10.165.116.247,,,TCP,0,0
END,2001:db8:4c3a:9f21:8541:5bbc:112b:92b,,2001:db8:2582:6d22:d43e:ab5f:ec4b:80de,,8080,TCP,2613727,875289
END,10.164.145.7,,10.100.160.155,,8080,HTTP,3238248,2160871
END,10.164.105.137,,10.164.144.206,,,TCP,2929130,626099
END,2001:db8:ea19:a1e1:7eb5:d451:6680:c4c,,2001:db8:ea19:a1e1:b69d:bb8f:6d7b:f635,,80,HTTP,1759644,2193535
END,2001:db8:548b:87b5:b18e:e1df:c3ca:7ab1,,2001:db8:2582:6d22:1912:264a:fc26:9317,,8080,HTTP,3953064,3154208
END,10.165.116.57,,10.164.144.15,,443,HTTPS,2996797,2731304
END,10.100.160.172,,10.164.145.78,,80,HTTP,3206615,1818272
END,2001:db8:ea19:a1e1:c4b7:f32:4528:67e8,,2001:db8:2bda:f8d3:fbdb:a6f3:3b:bca2,,8080,HTTP,3208710,1253954
END,10.164.105.116,,10.164.145.226,,80,TCP,3972914,2153555
END,10.164.116.162,,10.100.160.58,,443,HTTPS,1912610,539768
