App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ENDNC,10.164.105.223,,10.165.116.133,,8080,HTTP,572145,112791
ENDNC,10.100.160.80,,10.100.160.123,,8081,HTTP,1505368,1446153
ENDNC,10.164.105.130,,10.100.160.190,,80,HTTP,799945,2169050
ENDNC,10.100.160.74,,10.100.160.57,,8080,HTTP,1695553,644315
ENDNC,10.165.116.95,,10.165.116.143,,8443,TCP,3836796,516343
ENDNC,2001:db8:1a2b:3c4d:cb44:5895:49c6:51ad,,2001:db8:2bda:f8d3:1e86:2166:f246:5944,,8081,HTTP,3978279,846101
ENDNC,10.165.116.111,,10.165.116.229,,8443,HTTPS,2449479,2380453
ENDNC,10.164.145.60,,10.165.116.201,,8080,HTTP,3855403,3414329
ENDNC,10.165.116.12,,10.164.105.43,,8080,HTTP,1145402,3969596
ENDNC,10.164.144.7,,10.165.116.186,,8443,HTTPS,2580162,420053
ENDNC,10.165.116.84,,10.164.145.47,,8080,TCP,1223230,3075338
ENDNC,2001:db8:1a2b:3c4d:a9b4:726d:8719:b151,,2001:db8:ea19:a1e1:bad:7c12:55d2:7538,,5432,TCP,1796570,2831967
ENDNC,10.164.116.50,,10.164.105.132,,443,HTTPS,943664,2305062
ENDNC,10.164.105.11,,10.165.116.7,,8080,HTTP,3841583,1833583
ENDNC,10.164.145.187,,10.164.145.56,,80,HTTP,3291773,639055
ENDNC,10.164.116.252,,10.100.160.135,,80,HTTP,1622441,3485597
ENDNC,10.165.116.85,,10.164.105.78,,389,TCP,3771240,2911084
ENDNC,10.165.116.159,,10.100.160.81,,389,TCP,1545709,2467828
ENDNC,10.164.116.178,,10.100.246.61,,8443,TCP,2930174,2133957
ENDNC,10.100.246.241,,10.165.116.85,,443,HTTPS,3087417,3908834
ENDNC,10.100.160.223,,10.164.145.16,,443,HTTPS,1309841,3470572
ENDNC,10.164.145.168,,10.164.105.8,,8081,HTTP,3784367,1899721
ENDNC,10.100.160.162,,10.100.246.145,,,TCP,2125455,2568432
ENDNC,10.100.246.13,,10.164.116.171,,8081,HTTP,562180,605419
ENDNC,10.100.246.227,,10.164.145.85,,5432,TCP,3958413,1826352
ENDNC,10.165.116.94,,10.164.145.34,,8443,HTTPS,2315290,1302813
ENDNC,10.164.116.166,,10.164.105.79,,,TCP,919314,934392
ENDNC,10.100.246.104,,10.100.246.239,,,TCP,3546284,2519281
ENDNC,2001:db8:2bda:f8d3:7dd8:aab9:e00d:a2d5,,2001:db8:ea19:a1e1:7894:539d:ddb2:4e82,,80,TCP,511826,1896058
ENDNC,10.165.116.71,,10.164.145.57,,443,HTTPS,1966249,685503
ENDNC,10.100.246.171,,10.164.116.186,,8080,TCP,2152324,1907725
ENDNC,10.100.160.83,,10.164.144.89,,443,HTTPS,3534485,101328
ENDNC,10.100.246.46,,10.164.105.45,,389,TCP,3203809,2276950
ENDNC,10.100.246.59,,10.100.246.222,,8081,HTTP,1259613,3315667
ENDNC,10.164.145.36,,10.164.116.113,,1521,TCP,1376940,2349054
ENDNC,10.164.145.255,,10.164.144.91,,8081,HTTP,653143,3777269
ENDNC,10.100.160.170,,10.100.246.209,,8081,HTTP,468388,2532598
ENDNC,10.164.144.133,,10.164.145.157,,80,HTTP,1955579,368197
ENDNC,10.164.105.96,,10.100.246.193,,80,TCP,2151449,3044574
ENDNC,2001:db8:2bda:f8d3:b81e:bccc:7d5d:e1c2,,2001:db8:2bda:f8d3:f267:e3e0:d67f:b0b1,,80,TCP,1496893,2295081
ENDNC,10.164.116.186,,10.164.105.25,,8081,HTTP,850732,3273484
ENDNC,10.164.105.100,,10.164.145.97,,8081,HTTP,0,0
ENDNC,10.164.105.238,,10.100.160.91,,80,TCP,2697106,429622
ENDNC,10.164.116.86,,10.100.160.61,,22,TCP,3135688,3403059
ENDNC,10.165.116.214,,10.164.144.196,,80,HTTP,1600823,1827252
ENDNC,2001:db8:2bda:f8d3:f3a1:cedb:5f56:e3b8,,2001:db8:1a2b:3c4d:31ac:2ad:4b67:eeb8,,3306,TCP,352132,684327
ENDNC,10.164.105.140,,10.164.145.160,,8080,HTTP,3395277,3863759
ENDNC,10.164.105.81,,10.164.105.246,,389,TCP,3403088,922873
ENDNC,2001:db8:2582:6d22:8f25:7fa6:d6a1:12ed,,2001:db8:4c3a:9f21:fc45:cebc:434b:95e2,,8443,HTTPS,1628808,1895870
ENDNC,10.164.105.220,,10.100.246.153,,443,HTTPS,3151560,202087
ENDNC,10.164.105.123,,10.100.160.17,,80,HTTP,883763,3797743
ENDNC,2001:db8:548b:87b5:f3b0:27c:4921:d41b,,2001:db8:2bda:f8d3:d2b4:49c3:b5e9:26e0,,80,HTTP,2584934,1346822
ENDNC,10.164.105.120,,10.164.145.39,,80,HTTP,3808925,1107135
ENDNC,10.164.144.16,,10.100.160.191,,8080,TCP,1943744,2890140
ENDNC,10.165.116.166,,10.100.160.247,,8080,HTTP,2055649,3736702
ENDNC,10.100.160.111,,10.164.105.206,,8080,TCP,3481724,1448438
ENDNC,10.100.160.148,,10.100.246.203,,8080,HTTP,2249325,3905614
ENDNC,10.100.160.115,,10.100.160.64,,,TCP,0,0
ENDNC,2001:db8:ea19:a1e1:26c2:e9f1:4e91:b5c,,2001:db8:4c3a:9f21:9484:5521:5087:6c9a,,8443,HTTPS,1052226,1689563
ENDNC,2001:db8:2582:6d22:2fb1:d3c6:41a4:2770,,2001:db8:1a2b:3c4d:a5d3:4d61:c691:83b5,,,TCP,3866980,3322565
ENDNC,2001:db8:2bda:f8d3:b88d:de86:3bda:a272,,2001:db8:1a2b:3c4d:cb21:2c76:664e:a24b,,80,TCP,861059,1139347
ENDNC,10.100.160.217,,10.165.116.113,,8081,HTTP,2530502,1892984
ENDNC,10.165.116.18,,10.164.116.8,,,TCP,3166577,1217963
ENDNC,10.165.116.67,,10.164.145.77,,1521,TCP,100704,745944
ENDNC,2001:db8:ea19:a1e1:4498:a49a:f118:4160,,2001:db8:2582:6d22:387e:8076:729:91fe,,443,HTTPS,0,0
ENDNC,2001:db8:ea19:a1e1:5975:c092:cd2:9b75,,2001:db8:2bda:f8d3:2ea0:97a8:fed2:b6be,,8080,TCP,0,0
ENDNC,10.164.116.224,,10.100.160.181,,8443,HTTPS,2690816,1132581
ENDNC,10.164.116.133,,10.164.105.180,,80,HTTP,3363890,382758
ENDNC,10.100.246.160,,10.164.144.173,,8080,HTTP,2289089,1920329
ENDNC,10.164.144.113,,10.165.116.92,,8443,HTTPS,3468122,246296
ENDNC,2001:db8:4c3a:9f21:5372:aea5:dd43:af43,,2001:db8:2bda:f8d3:7a32:38d0:b220:f2a2,,389,TCP,3068673,3576317
ENDNC,10.100.246.79,,10.100.246.247,,80,HTTP,1249787,428860
