App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ERCPT,2001:db8:1a2b:3c4d:cb03:6f6f:4ea:2e3d,,2001:db8:ea19:a1e1:32a6:b284:8270:5218,,1521,HTTP2-SSL,1508976,1970756
ERCPT,10.100.246.163,,10.164.144.230,,5432,HTTP-TUNNEL/HTTPS,1475757,3110660
ERCPT,10.100.246.20,,10.164.144.29,,1521,HTTP-TUNNEL/HTTPS,1175256,3783266
ERCPT,10.164.144.224,,10.164.145.83,,22,HTTP-TUNNEL/HTTPS,2243333,1451325
ERCPT,10.100.246.142,,10.164.144.46,,8443,HTTPS,1855310,2320149
ERCPT,10.100.246.143,,10.164.144.78,,80,HTTP,1188533,3670631
ERCPT,10.100.246.79,,10.164.145.3,,,HTTP-TUNNEL/HTTPS,2523763,3849282
ERCPT,10.164.144.174,,10.164.144.161,,443,HTTPS,2428724,3264338
ERCPT,10.100.246.183,,10.164.145.47,,1521,HTTP-TUNNEL/HTTPS,1303153,1900354
ERCPT,10.100.246.251,,10.164.144.117,,443,HTTPS,884994,1430817
ERCPT,2001:db8:1a2b:3c4d:c9cd:9ce:8f70:57b2,,2001:db8:ea19:a1e1:1628:ef57:cfdf:c95c,,8080,HTTP,1096670,865485
ERCPT,10.100.246.126,,10.164.145.150,,389,HTTP2-SSL,2859482,925625
ERCPT,2001:db8:1a2b:3c4d:750c:7f4a:f48:237,,2001:db8:ea19:a1e1:4cb1:57be:dbe2:3e20,,443,HTTPS,2487949,2624672
ERCPT,10.100.246.241,,10.164.144.92,,443,HTTPS,2370225,2167799
ERCPT,10.164.144.230,,10.164.144.4,,3306,HTTP2-SSL,1334717,3010093
ERCPT,10.100.246.192,,10.164.144.53,,,HTTP-TUNNEL/HTTPS,2530754,3910099
ERCPT,10.164.144.254,,10.164.145.176,,,HTTP2-SSL,996793,1159669
ERCPT,10.100.246.85,,10.164.145.226,,1521,HTTP2-SSL,2379122,3920643
ERCPT,10.100.246.40,,10.164.145.0,,8443,HTTPS,2302509,3508735
ERCPT,10.164.144.57,,10.164.144.183,,80,HTTP-TUNNEL/HTTPS,1736612,2304031
ERCPT,10.164.144.102,,10.164.144.131,,8443,HTTPS,1815169,2831215
ERCPT,10.100.246.163,,10.164.145.153,,443,HTTPS,2743077,2474941
ERCPT,10.100.246.224,,10.164.144.18,,389,HTTP-TUNNEL/HTTPS,763966,2086065
ERCPT,10.100.246.81,,10.164.144.0,,8081,HTTP,878081,2462137
ERCPT,10.100.246.194,,10.164.144.45,,8443,HTTPS,1332936,2991048
ERCPT,10.100.246.220,,10.164.144.174,,443,HTTPS,1348493,2201591
ERCPT,2001:db8:1a2b:3c4d:b0b2:3e22:2f15:f947,,2001:db8:2bda:f8d3:2f80:7c30:a72:b974,,,HTTP-TUNNEL/HTTPS,2381599,1042926
ERCPT,10.100.246.218,,10.164.144.254,,80,HTTP-TUNNEL/HTTPS,1257660,3575106
ERCPT,10.100.246.186,,10.164.145.82,,1521,HTTP2-SSL,939136,1915079
ERCPT,10.100.246.97,,10.164.145.152,,389,HTTP-TUNNEL/HTTPS,915000,1196283
ERCPT,10.100.246.55,,10.164.145.121,,,HTTP-TUNNEL/HTTPS,1826342,1813163
ERCPT,10.164.144.75,,10.164.144.182,,8443,HTTPS,2738963,2243832
ERCPT,10.164.144.101,,10.164.145.98,,80,HTTP,1622836,2366028
ERCPT,10.100.246.29,,10.164.144.253,,8443,HTTP-TUNNEL/HTTPS,2027812,3551979
ERCPT,10.100.246.192,,10.164.144.14,,,HTTP2-SSL,1556277,2331891
ERCPT,10.100.246.100,,10.164.144.223,,8081,HTTP,2275182,2161110
ERCPT,2001:db8:ea19:a1e1:871b:c674:fd45:dc15,,2001:db8:ea19:a1e1:7c8f:876f:ec2:5ce9,,80,HTTP-TUNNEL/HTTPS,1725340,3198601
ERCPT,10.100.246.112,,10.164.145.99,,,HTTP-TUNNEL/HTTPS,0,0
ERCPT,10.164.144.31,,10.164.144.89,,8443,HTTP2-SSL,2127378,3936066
ERCPT,10.164.144.145,,10.164.144.28,,,HTTP-TUNNEL/HTTPS,1379945,3898236
ERCPT,10.100.246.217,,10.164.145.33,,8080,HTTP,1702226,3414461
ERCPT,10.100.246.236,,10.164.145.230,,8443,HTTP-TUNNEL/HTTPS,1467776,1170091
ERCPT,10.100.246.194,,10.164.145.9,,80,HTTP,2401631,3389920
