App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
FAAR,10.165.116.2,,10.164.144.104,,22,TCP,1640296,2328197
FAAR,10.164.116.198,,10.164.116.227,,8081,HTTP,1576257,2364442
FAAR,2001:db8:2bda:f8d3:17a9:636d:a2bc:665,,2001:db8:2bda:f8d3:f407:a19:5c92:70bf,,1521,TCP,2302602,2898195
FAAR,10.165.116.208,,10.165.116.63,,443,HTTPS,958531,2570522
FAAR,10.164.105.166,,10.164.144.137,,443,HTTPS,1786556,3564792
FAAR,10.164.105.28,,10.100.160.36,,8081,HTTP,2218206,1780992
FAAR,10.100.160.233,,10.164.145.115,,80,HTTP,1626550,542024
FAAR,2001:db8:2bda:f8d3:363b:c02d:fb7a:1b9d,,2001:db8:548b:87b5:f0d8:b956:8fea:f8e2,,8443,HTTPS,659503,1455853
FAAR,2001:db8:1a2b:3c4d:6ed6:3648:911b:f2f0,,2001:db8:1a2b:3c4d:86b7:6fd4:15de:507f,,5432,TCP,1119853,928383
FAAR,10.164.116.177,,10.100.246.115,,80,HTTP,3452060,3838891
FAAR,2001:db8:2bda:f8d3:2dc:1024:abe:aa09,,2001:db8:4c3a:9f21:796d:2780:ae65:87bb,,8080,TCP,3562167,1355916
FAAR,10.100.246.80,,10.165.116.122,,8081,HTTP,821237,737631
FAAR,10.164.144.166,,10.164.105.61,,80,HTTP,1515174,3816300
FAAR,10.100.246.145,,10.164.105.181,,8443,HTTPS,0,0
FAAR,10.164.116.15,,10.100.160.64,,,TCP,2290812,1874595
FAAR,10.164.144.52,,10.100.160.119,,8443,HTTPS,3131168,2716980
FAAR,10.100.160.51,,10.164.116.73,,443,HTTPS,1277168,762794
FAAR,10.164.145.145,,10.164.116.195,,443,TCP,1878458,3547548
FAAR,10.100.160.103,,10.164.116.12,,443,HTTPS,0,0
FAAR,10.165.116.42,,10.100.160.115,,443,HTTPS,0,0
FAAR,10.100.246.199,,10.164.144.118,,22,TCP,3508089,1754466
FAAR,2001:db8:2bda:f8d3:67ee:dd65:1a8e:577c,,2001:db8:4c3a:9f21:61f8:49e4:efe6:6248,,443,HTTPS,1414488,2455362
FAAR,10.164.144.214,,10.165.116.238,,8080,HTTP,1120344,425477
FAAR,10.164.105.79,,10.164.105.102,,8443,HTTPS,638000,539632
FAAR,10.164.116.198,,10.164.144.171,,80,HTTP,2231815,1341660
FAAR,10.164.145.115,,10.164.116.83,,8443,HTTPS,862626,1067634
FAAR,10.100.160.104,,10.164.116.137,,8081,HTTP,1734163,3541719
FAAR,10.164.145.106,,10.164.105.170,,,TCP,2885817,3541790
FAAR,10.164.105.19,,10.100.246.248,,8080,HTTP,1831633,3902772
FAAR,10.100.246.208,,10.165.116.163,,8080,HTTP,3077336,3168444
FAAR,10.164.145.162,,10.100.160.136,,8081,HTTP,1516143,3196029
FAAR,10.164.116.85,,10.164.105.152,,443,HTTPS,866318,2114637
