App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
FG,10.164.144.70,,10.100.160.68,,1521,TCP,3446325,1173142
FG,10.100.246.159,,10.100.246.52,,8443,HTTPS,3342711,565326
FG,10.100.160.137,,10.100.160.173,,8443,HTTPS,2222896,972512
FG,2001:db8:548b:87b5:afe9:596b:4b8d:4b28,,2001:db8:ea19:a1e1:9521:2109:8286:5c31,,80,HTTP,3204237,1178372
FG,10.165.116.49,,10.164.116.36,,8443,HTTPS,599950,3507978
FG,10.164.144.99,,10.165.116.65,,8080,TCP,3070516,3388235
FG,2001:db8:1a2b:3c4d:472a:a8a1:d084:a5dd,,2001:db8:1a2b:3c4d:ea9d:c336:f872:586b,,8080,HTTP,3904425,2091333
FG,10.100.160.219,,10.100.160.6,,8080,HTTP,378763,134434
FG,10.164.116.168,,10.100.160.214,,8080,TCP,966082,1036573
FG,10.100.246.33,,10.164.145.75,,8080,HTTP,3155780,2126713
FG,10.164.116.99,,10.100.160.224,,443,HTTPS,3403203,110855
FG,10.100.160.107,,10.100.160.142,,8443,HTTPS,593413,1645931
FG,10.100.246.52,,10.100.246.107,,443,TCP,807028,1295753
FG,10.100.160.12,,10.164.145.96,,5432,TCP,552390,1407442
FG,10.100.160.176,,10.164.144.36,,8081,HTTP,2585621,1486189
FG,10.164.116.112,,10.164.116.149,,,TCP,3680870,3033052
FG,10.164.144.222,,10.164.105.125,,443,HTTPS,3045438,2323495
FG,10.164.116.19,,10.165.116.193,,80,HTTP,3003099,444272
FG,10.164.144.227,,10.100.246.226,,8080,HTTP,1308170,1914593
FG,10.100.160.19,,10.100.246.98,,8080,HTTP,0,0
FG,10.164.116.251,,10.165.116.189,,80,HTTP,309766,1171522
FG,10.165.116.77,,10.164.116.209,,389,TCP,2685029,2140652
FG,10.100.160.74,,10.165.116.207,,443,HTTPS,2467146,3867389
FG,10.164.144.230,,10.165.116.54,,8081,HTTP,1764526,2859867
FG,10.164.105.164,,10.164.116.193,,443,HTTPS,757704,819078
FG,10.164.116.54,,10.100.246.140,,443,HTTPS,3127136,440190
FG,10.164.144.252,,10.100.160.227,,80,HTTP,3909709,3550199
FG,2001:db8:4c3a:9f21:caf5:b39b:5c0b:1422,,2001:db8:2bda:f8d3:f59d:2bd7:46a0:14aa,,80,HTTP,3144917,3762657
FG,2001:db8:548b:87b5:dd17:39ce:226:d777,,2001:db8:548b:87b5:e37a:a480:de26:b4ba,,443,HTTPS,1291558,1755988
FG,10.164.116.188,,10.164.105.162,,5432,TCP,1929436,1761674
FG,2001:db8:1a2b:3c4d:9e0b:c852:11d9:3a7,,2001:db8:548b:87b5:f99d:4b07:d5bd:d20a,,8443,HTTPS,0,0
FG,10.100.160.38,,10.164.145.15,,8081,HTTP,0,0
FG,10.100.246.152,,10.164.145.134,,8443,HTTPS,1030063,730345
FG,10.164.116.132,,10.100.246.45,,80,HTTP,2831536,1789340
FG,10.100.246.250,,10.100.246.185,,8443,HTTPS,3896362,888329
FG,2001:db8:2bda:f8d3:4652:6046:bccb:f9e0,,2001:db8:2582:6d22:f7f2:1114:2f60:e50a,,8443,HTTPS,0,0
FG,10.100.246.118,,10.100.246.74,,8081,HTTP,626638,1951141
FG,10.164.144.75,,10.164.105.48,,8080,HTTP,1303063,1945444
FG,10.165.116.205,,10.165.116.182,,80,HTTP,264839,2354114
FG,2001:db8:2582:6d22:ca53:7a00:932b:d30b,,2001:db8:2582:6d22:ef25:cd20:2265:68f6,,80,HTTP,0,0
FG,10.100.246.140,,10.165.116.236,,8443,HTTPS,1988720,3965363
FG,10.165.116.12,,10.100.246.55,,8443,HTTPS,1100702,3274308
FG,10.165.116.209,,10.100.160.64,,8443,HTTPS,2422998,2910241
FG,2001:db8:548b:87b5:d7cb:252b:e8f3:9c4b,,2001:db8:1a2b:3c4d:6ef8:b7db:ff5:8e13,,8443,HTTPS,505168,1687260
FG,10.164.116.24,,10.164.145.157,,,TCP,1996933,2256297
FG,2001:db8:2bda:f8d3:87c0:967c:510c:1ace,,2001:db8:1a2b:3c4d:c0a7:db34:6375:8ac7,,,TCP,1618236,1969597
FG,10.164.116.18,,10.165.116.227,,443,HTTPS,931697,2491405
FG,10.100.246.24,,10.100.246.131,,8443,HTTPS,0,0
FG,10.164.116.238,,10.164.144.174,,8080,HTTP,3170725,955871
FG,10.164.116.146,,10.164.145.100,,80,TCP,3554035,2401271
FG,10.165.116.67,,10.164.144.71,,80,HTTP,3349088,1858235
FG,10.164.145.42,,10.165.116.201,,8081,HTTP,2830788,3617115
FG,10.165.116.204,,10.164.116.140,,,TCP,0,0
FG,2001:db8:2bda:f8d3:f08e:4c26:9e4c:21c2,,2001:db8:2bda:f8d3:a923:80e8:fdd:5a78,,443,HTTPS,3669645,379491
FG,10.100.160.10,,10.164.116.3,,80,HTTP,2178652,2169003
FG,10.165.116.33,,10.164.105.202,,80,HTTP,2364829,1335019
FG,10.164.144.140,,10.164.116.250,,8080,HTTP,2369555,2652973
FG,10.165.116.108,,10.164.144.75,,443,HTTPS,3044844,2305402
FG,2001:db8:548b:87b5:4dc:23ca:3c4:bf5b,,2001:db8:1a2b:3c4d:c542:3c7:1957:3a47,,8443,HTTPS,2602438,3483608
FG,10.164.144.107,,10.165.116.89,,,TCP,2438761,3914226
FG,10.100.246.167,,10.164.105.161,,5432,TCP,821341,1806776
FG,10.164.116.231,,10.100.246.37,,8080,HTTP,3015911,3266666
FG,10.164.116.23,,10.100.160.99,,8443,HTTPS,688339,3746768
FG,10.164.116.85,,10.165.116.105,,443,HTTPS,3462732,1229820
FG,10.100.246.159,,10.100.160.239,,8081,HTTP,2864217,3963094
FG,2001:db8:2bda:f8d3:60ec:8edf:2ea7:b400,,2001:db8:2582:6d22:e57f:20fb:4876:d805,,443,HTTPS,2719698,667833
FG,2001:db8:2bda:f8d3:a6c:8728:8726:8da3,,2001:db8:2bda:f8d3:27c9:7b13:54:6f3a,,443,HTTPS,3943533,1640162
FG,10.165.116.145,,10.100.246.226,,443,HTTPS,714677,1193595
FG,10.164.116.254,,10.165.116.90,,8081,HTTP,1602115,1823181
FG,10.100.246.7,,10.100.160.183,,443,HTTPS,2275368,1273187
FG,2001:db8:548b:87b5:d22c:fcb:a709:e845,,2001:db8:2bda:f8d3:4679:d921:266b:794d,,8080,HTTP,0,0
FG,10.165.116.180,,10.164.144.127,,443,HTTPS,529736,2831193
FG,10.164.105.251,,10.164.145.94,,8443,HTTPS,2782445,818091
FG,10.164.105.175,,10.100.246.97,,8443,HTTPS,0,0
FG,10.164.116.170,,10.100.160.244,,8080,HTTP,1773784,201979
FG,10.100.246.144,,10.164.105.25,,1521,TCP,913639,851395
FG,10.164.105.2,,10.165.116.114,,80,HTTP,541035,2164212
FG,10.164.116.159,,10.165.116.152,,,TCP,0,0
FG,10.100.160.70,,10.100.246.200,,443,HTTPS,2094285,1154354
FG,10.165.116.192,,10.165.116.235,,8080,HTTP,1297087,691456
FG,10.100.246.87,,10.165.116.158,,8081,HTTP,874515,3585186
FG,10.100.160.46,,10.165.116.239,,3306,TCP,2901410,1565594
FG,10.165.116.158,,10.164.145.88,,8081,HTTP,1719366,866940
FG,10.164.105.43,,10.164.144.53,,,TCP,1137378,2477079
FG,10.164.144.242,,10.164.116.103,,8080,HTTP,3921064,2894665
FG,10.100.246.87,,10.164.145.22,,1521,TCP,3364761,3934128
FG,10.165.116.119,,10.165.116.136,,8443,HTTPS,1491081,2362520
FG,10.164.105.64,,10.164.144.249,,443,HTTPS,1692590,2768880
FG,10.165.116.72,,10.100.246.84,,8080,HTTP,522638,1618804
FG,10.100.160.76,,10.164.105.111,,443,TCP,3016930,1155394
FG,10.164.116.245,,10.164.145.49,,5432,TCP,0,0
FG,10.164.105.37,,10.164.116.32,,8080,TCP,2533476,424478
FG,10.164.105.74,,10.100.246.219,,8443,HTTPS,0,0
FG,10.164.116.69,,10.100.160.106,,8081,HTTP,0,0
