App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
FICPM,10.164.145.252,,10.100.160.57,,80,HTTP,2247645,1411433
FICPM,10.100.160.58,,10.164.116.140,,443,HTTPS,1630027,3904727
FICPM,10.164.144.52,,10.100.160.15,,8443,HTTPS,2948570,1062020
FICPM,10.164.105.100,,10.165.116.39,,443,TCP,774887,2251321
FICPM,10.164.144.153,,10.164.116.18,,8081,HTTP,1676189,1107833
FICPM,10.100.160.80,,10.164.144.3,,443,TCP,0,0
FICPM,10.164.144.57,,10.165.116.206,,8080,HTTP,1918360,1533077
FICPM,10.100.246.187,,10.165.116.207,,3306,TCP,1511963,924730
FICPM,10.164.144.26,,10.100.160.18,,80,HTTP,2484488,2227281
FICPM,10.164.105.125,,10.164.144.242,,8443,HTTPS,3496583,773833
FICPM,10.100.246.41,,10.164.105.144,,8080,TCP,908216,3315556
FICPM,10.164.105.79,,10.164.105.248,,8080,HTTP,2889993,3680034
FICPM,10.164.144.243,,10.164.116.162,,8080,HTTP,3280562,1972154
FICPM,2001:db8:4c3a:9f21:73f5:6f84:1d86:d253,,2001:db8:2582:6d22:4672:3ee1:63fc:e8e2,,443,HTTPS,497014,2237119
FICPM,10.100.160.19,,10.100.246.206,,8080,HTTP,2604160,3553595
FICPM,10.164.116.47,,10.164.145.250,,443,HTTPS,2725694,2326644
FICPM,10.165.116.91,,10.165.116.97,,80,HTTP,2568454,1932524
FICPM,2001:db8:4c3a:9f21:442:fcb9:acab:411d,,2001:db8:548b:87b5:1aa0:b801:ae35:2933,,3306,TCP,2101207,1528793
FICPM,2001:db8:4c3a:9f21:faf6:8e65:fee4:a0bb,,2001:db8:ea19:a1e1:9190:815d:4502:95df,,443,TCP,3236970,354996
FICPM,10.164.144.23,,10.100.246.238,,443,HTTPS,2564509,928730
FICPM,10.164.105.153,,10.165.116.16,,8443,HTTPS,173717,3244835
FICPM,10.164.145.225,,10.100.246.105,,389,TCP,0,0
FICPM,10.164.116.103,,10.164.145.188,,8081,HTTP,2990619,3983555
FICPM,10.164.105.217,,10.100.160.70,,5432,TCP,1011658,3834125
FICPM,10.165.116.20,,10.164.105.6,,1521,TCP,2409065,2873307
FICPM,2001:db8:4c3a:9f21:4f28:ada0:b341:d12d,,2001:db8:1a2b:3c4d:6a6c:85d:f098:7532,,443,HTTPS,445555,1918271
FICPM,10.100.160.103,,10.164.145.52,,8443,HTTPS,1129138,3221628
FICPM,10.100.160.205,,10.100.160.123,,8443,HTTPS,2168336,1954111
FICPM,10.164.145.62,,10.164.105.175,,8443,TCP,213807,1849917
FICPM,10.164.116.151,,10.165.116.188,,8443,HTTPS,1379716,3534848
FICPM,2001:db8:548b:87b5:7dd0:3af3:8781:dc8e,,2001:db8:ea19:a1e1:5d30:f472:652d:e8d0,,8081,HTTP,1556291,3456701
FICPM,10.164.105.90,,10.165.116.6,,,TCP,3735752,544749
FICPM,10.164.145.88,,10.164.144.143,,80,HTTP,928611,2199638
FICPM,10.164.144.239,,10.164.145.108,,80,HTTP,2852070,2620248
FICPM,2001:db8:2bda:f8d3:d5d6:2690:70b7:b965,,2001:db8:1a2b:3c4d:8b4e:251a:7614:d621,,8081,HTTP,2156138,3689659
