App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
FIMSP,10.100.246.167,,10.165.116.242,,80,HTTP,984507,499655
FIMSP,10.164.116.204,,10.165.116.34,,5432,TCP,3748050,188891
FIMSP,10.100.160.121,,10.164.145.19,,443,HTTPS,0,0
FIMSP,10.100.160.49,,10.164.145.187,,8443,HTTPS,125363,1215812
FIMSP,10.164.144.127,,10.164.105.109,,8081,HTTP,2212202,3228661
FIMSP,10.164.144.55,,10.100.160.210,,443,HTTPS,0,0
FIMSP,10.165.116.41,,10.100.246.126,,8081,HTTP,3136238,2149548
FIMSP,10.100.246.58,,10.164.144.225,,443,HTTPS,3117229,3996447
FIMSP,10.100.246.208,,10.164.144.19,,8443,HTTPS,1359792,1607941
FIMSP,10.165.116.230,,10.100.160.218,,389,TCP,1298928,3292073
FIMSP,10.100.246.205,,10.100.160.231,,8443,HTTPS,3667789,284554
FIMSP,10.165.116.21,,10.165.116.172,,3306,TCP,1499430,2178852
FIMSP,10.100.160.248,,10.164.105.200,,8443,HTTPS,3837240,281122
FIMSP,10.164.144.155,,10.164.145.143,,8081,HTTP,0,0
FIMSP,10.100.160.17,,10.164.116.66,,80,HTTP,708293,1189477
FIMSP,10.100.246.247,,10.165.116.247,,8443,HTTPS,2571228,3997028
FIMSP,10.165.116.199,,10.100.160.222,,8081,HTTP,582188,1166751
FIMSP,2001:db8:2582:6d22:d9a7:3120:b2b7:e7b5,,2001:db8:4c3a:9f21:5386:5c60:8efe:329,,,TCP,2764253,527986
FIMSP,10.100.160.184,,10.164.145.94,,8080,HTTP,181660,1420390
FIMSP,10.164.105.69,,10.165.116.35,,443,HTTPS,2747082,2090496
FIMSP,10.164.144.200,,10.164.105.77,,3306,TCP,2750042,3290934
FIMSP,10.164.116.243,,10.100.246.209,,8080,HTTP,0,0
FIMSP,10.164.144.85,,10.164.145.78,,8081,HTTP,3682452,3079772
FIMSP,10.164.145.80,,10.100.160.163,,8443,HTTPS,531178,691205
FIMSP,10.164.105.26,,10.164.105.156,,8443,HTTPS,2402269,320834
FIMSP,10.164.116.174,,10.100.246.12,,8443,HTTPS,651132,3020924
FIMSP,10.164.145.233,,10.164.144.241,,8080,HTTP,3545775,2627668
FIMSP,2001:db8:2582:6d22:3c9b:b425:e812:bd36,,2001:db8:548b:87b5:ad3d:16f:d7b3:1071,,80,HTTP,2767875,2011737
FIMSP,10.100.246.156,,10.164.105.130,,80,HTTP,2881096,3728499
FIMSP,10.164.144.31,,10.164.145.103,,8081,HTTP,3110745,2240012
FIMSP,10.164.145.38,,10.100.246.54,,8081,HTTP,3373550,1159096
FIMSP,10.164.144.32,,10.164.145.124,,8081,HTTP,2102105,3789289
