App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
FM,10.100.246.41,,10.164.144.167,,80,HTTP,2887154,1691323
FM,2001:db8:2bda:f8d3:a687:667b:5aca:8189,,2001:db8:2bda:f8d3:29e1:1f19:ae88:9f5e,,8081,HTTP,2796283,299469
FM,10.165.116.163,,10.164.105.46,,8081,HTTP,1637060,2008287
FM,10.164.145.51,,10.165.116.193,,,TCP,1461145,2703709
FM,2001:db8:2bda:f8d3:9761:dc70:6a9c:9f5d,,2001:db8:2582:6d22:ef00:7e47:cc83:d8c1,,8443,HTTPS,1735930,2010225
FM,10.164.145.155,,10.164.144.47,,22,TCP,3997483,3565586
FM,10.164.116.166,,10.164.144.9,,443,HTTPS,3635159,294179
FM,10.164.105.71,,10.164.116.12,,443,TCP,3681862,3629485
FM,10.164.105.193,,10.164.145.77,,80,HTTP,2586523,3403857
FM,10.100.160.22,,10.164.116.185,,443,HTTPS,1683961,745798
FM,10.164.105.53,,10.164.105.27,,,TCP,0,0
FM,10.165.116.53,,10.164.145.54,,8080,HTTP,1246620,1108379
FM,10.165.116.222,,10.165.116.16,,8080,HTTP,1597711,684374
FM,10.164.105.246,,10.164.144.35,,8080,TCP,1585536,2381046
FM,10.164.145.89,,10.164.145.242,,8080,HTTP,731826,2833927
FM,10.164.144.202,,10.164.105.239,,80,HTTP,3654738,2277979
FM,10.164.105.105,,10.100.160.20,,80,HTTP,1268367,1238201
FM,10.164.116.22,,10.164.145.11,,8443,HTTPS,3131214,1457960
FM,10.164.116.251,,10.165.116.27,,80,HTTP,3279684,1425265
FM,10.165.116.135,,10.165.116.105,,5432,TCP,1858047,3888824
FM,2001:db8:2bda:f8d3:363b:2e8c:7bc8:1653,,2001:db8:1a2b:3c4d:e3b7:367b:3d55:489e,,,TCP,982424,1283477
FM,10.164.116.169,,10.164.116.157,,443,HTTPS,2779251,336503
FM,10.164.105.112,,10.165.116.225,,8080,HTTP,3438515,2470172
FM,10.100.160.191,,10.165.116.188,,,TCP,1696012,1752831
FM,10.164.105.152,,10.164.145.138,,8443,HTTPS,1780643,1927849
FM,10.164.144.54,,10.100.160.227,,80,HTTP,1808729,734897
FM,10.164.105.79,,10.165.116.47,,8080,TCP,285316,638586
FM,2001:db8:2bda:f8d3:5b79:4ff0:b889:14ed,,2001:db8:1a2b:3c4d:2a5c:bad8:561a:b473,,80,HTTP,1411655,1428332
FM,10.164.105.88,,10.100.246.71,,443,HTTPS,256950,3757985
FM,2001:db8:4c3a:9f21:c51e:698a:8926:1da6,,2001:db8:2582:6d22:dae0:612b:18b6:e228,,80,HTTP,3185977,3732668
FM,10.100.160.71,,10.164.144.148,,8443,HTTPS,1916149,2450123
FM,10.164.144.204,,10.164.105.121,,22,TCP,2036549,176894
FM,10.165.116.81,,10.165.116.7,,8443,HTTPS,3506105,1337019
FM,10.164.105.46,,10.164.145.45,,8080,TCP,330252,2025679
FM,10.164.116.75,,10.164.116.240,,80,HTTP,1019853,1001732
FM,10.164.105.99,,10.164.116.78,,8443,HTTPS,1736178,220424
FM,2001:db8:4c3a:9f21:42a6:d635:cecd:69b1,,2001:db8:1a2b:3c4d:3b20:836c:a27e:5c6b,,8443,HTTPS,2191397,3163107
FM,10.100.246.245,,10.100.160.25,,8081,HTTP,862056,3364723
FM,10.165.116.123,,10.164.116.105,,443,HTTPS,0,0
FM,10.164.116.182,,10.100.160.30,,8081,HTTP,1060028,3004277
FM,10.100.160.178,,10.164.105.58,,443,HTTPS,3633651,1475432
FM,10.100.160.75,,10.164.105.71,,8443,HTTPS,1533792,3907215
FM,10.100.246.206,,10.100.160.217,,8080,TCP,3868551,1523819
FM,10.165.116.85,,10.165.116.224,,8443,HTTPS,3242342,2496755
FM,10.164.144.222,,10.164.105.202,,443,HTTPS,645008,2057482
FM,10.164.144.168,,10.100.246.188,,80,HTTP,3467788,2383576
FM,10.165.116.1,,10.164.105.106,,80,HTTP,2422397,2608021
FM,10.164.105.247,,10.164.105.64,,8443,HTTPS,126758,2522084
FM,10.164.116.63,,10.165.116.73,,443,HTTPS,520625,3093679
FM,10.165.116.112,,10.164.105.105,,443,HTTPS,3637609,2591266
FM,10.100.160.177,,10.164.116.9,,8443,HTTPS,2869238,2810014
FM,10.164.145.2,,10.164.144.25,,389,TCP,560327,206380
FM,10.164.144.221,,10.164.145.24,,,TCP,475457,323039
FM,2001:db8:ea19:a1e1:a070:3208:aaec:594,,2001:db8:2582:6d22:413d:ce06:7399:6ae6,,,TCP,1801405,3385093
FM,10.164.116.124,,10.164.116.199,,389,TCP,1778921,3738187
FM,10.164.105.155,,10.164.105.241,,80,TCP,2750545,2172957
FM,10.164.144.57,,10.164.116.86,,8443,HTTPS,2476394,136794
FM,10.164.116.41,,10.164.145.171,,8443,HTTPS,1078459,449001
FM,10.100.160.127,,10.164.145.55,,80,HTTP,984091,1628205
FM,10.164.145.92,,10.100.246.75,,443,TCP,876716,2964179
FM,10.100.160.123,,10.164.105.40,,443,HTTPS,129048,3194190
FM,10.164.144.137,,10.164.145.27,,,TCP,2178507,688390
FM,10.100.160.201,,10.164.105.255,,8081,HTTP,3982121,3033254
FM,10.164.105.203,,10.164.145.22,,443,HTTPS,3820153,1792503
FM,10.100.246.162,,10.100.246.134,,8080,TCP,2542306,434516
FM,10.165.116.21,,10.165.116.143,,443,HTTPS,2598913,2400480
FM,2001:db8:1a2b:3c4d:46f:e5e9:a657:2d32,,2001:db8:ea19:a1e1:ee1a:5d2b:f4f5:bcbd,,443,HTTPS,2509481,3128278
FM,2001:db8:2582:6d22:4566:a9f8:bfb6:5dfb,,2001:db8:548b:87b5:ed8d:23da:e6a3:b349,,443,HTTPS,2431826,3420282
FM,10.164.105.180,,10.164.144.210,,8443,HTTPS,2790003,2970346
FM,10.164.145.137,,10.164.105.215,,80,HTTP,2293506,3232352
FM,10.164.105.174,,10.164.145.84,,443,HTTPS,3323556,1300434
FM,10.100.246.5,,10.100.160.148,,3306,TCP,2331707,3083175
FM,10.100.160.46,,10.165.116.96,,8443,HTTPS,0,0
FM,10.164.145.128,,10.164.105.55,,8080,HTTP,3847417,1028995
FM,10.165.116.144,,10.165.116.164,,443,HTTPS,0,0
FM,10.165.116.249,,10.165.116.191,,8443,HTTPS,731194,1561722
FM,10.100.246.79,,10.165.116.190,,8443,HTTPS,1851789,1210829
FM,10.164.144.202,,10.100.246.217,,8080,HTTP,2674639,203595
FM,10.164.105.70,,10.164.105.120,,8443,HTTPS,140556,432860
FM,10.164.144.187,,10.164.105.33,,443,HTTPS,3288983,1559013
FM,2001:db8:2582:6d22:541c:c396:f1bb:5515,,2001:db8:2582:6d22:609f:a1e1:d661:fad4,,443,HTTPS,1096517,3543433
