App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
I3SQL,10.164.105.137,,10.164.105.110,,1521,DB2,1735167,3682032
I3SQL,2001:db8:548b:87b5:3d2a:ccf0:ec1c:84a8,,2001:db8:548b:87b5:4b61:be9d:7ac5:28b8,,1521,TLS,3349445,4191267
I3SQL,10.164.105.66,,10.164.105.89,,5432,DB2,1641913,1979963
I3SQL,10.164.105.88,,10.164.105.118,,5432,DB2,925619,4831017
I3SQL,10.164.145.240,,10.164.105.250,,5432,ORACLE,3908871,2448926
I3SQL,10.164.145.145,,10.164.105.217,,5432,TLS,1412823,4040319
I3SQL,10.164.105.124,,10.164.105.173,,1521,TLS,3408455,3519420
I3SQL,10.164.145.238,,10.164.105.220,,1521,POSTGRESQL,2597364,1695203
I3SQL,10.164.105.251,,10.164.105.81,,5432,SQL,2686130,4418472
I3SQL,10.164.105.107,,10.164.105.192,,1521,POSTGRESQL,3010100,4274780
I3SQL,10.164.105.2,,10.164.105.39,,5432,MYSQL,1169069,4636141
I3SQL,10.164.105.235,,10.164.105.99,,27017,POSTGRESQL,3889935,3947764
I3SQL,10.164.145.32,,10.164.105.120,,27017,SQL,3855836,1829041
I3SQL,10.164.105.188,,10.164.105.165,,1521,TLS,3490084,1873515
I3SQL,10.164.145.0,,10.164.105.102,,27017,MYSQL,2955843,1766714
I3SQL,10.164.105.242,,10.164.105.116,,1433,TLS,3965432,3035212
I3SQL,10.164.145.49,,10.164.105.210,,3306,ORACLE,1653008,1398931
I3SQL,10.164.145.50,,10.164.105.90,,3306,SQL,0,0
I3SQL,10.164.105.150,,10.164.105.0,,3306,POSTGRESQL,3976957,1372354
I3SQL,10.164.145.89,,10.164.105.163,,1433,MYSQL,2466583,4856394
I3SQL,10.164.105.210,,10.164.105.50,,3306,DB2,3360565,1801701
I3SQL,10.164.145.110,,10.164.105.206,,3306,ORACLE,3229684,2398801
I3SQL,10.164.105.243,,10.164.105.242,,27017,MYSQL,3946291,3028396
I3SQL,10.164.105.52,,10.164.105.86,,1433,POSTGRESQL,2311246,1473448
I3SQL,10.164.145.159,,10.164.105.55,,1521,DB2,3213864,2718508
I3SQL,2001:db8:548b:87b5:69b9:7438:3dad:65fe,,2001:db8:548b:87b5:24e4:af80:ded6:9b19,,1433,POSTGRESQL,0,0
I3SQL,10.164.145.41,,10.164.105.47,,1433,TLS,1944808,2535296
I3SQL,10.164.145.135,,10.164.105.228,,3306,POSTGRESQL,1095513,1241818
I3SQL,10.164.105.26,,10.164.105.1,,1521,ORACLE,3944008,3227810
I3SQL,10.164.105.22,,10.164.105.199,,3306,DB2,1967656,2374099
I3SQL,2001:db8:548b:87b5:106c:bf2a:e9e9:9638,,2001:db8:548b:87b5:209d:fa12:bdff:2e29,,3306,TLS,2567692,2814366
I3SQL,10.164.145.62,,10.164.105.244,,1521,TLS,3426284,3890610
I3SQL,10.164.105.18,,10.164.105.143,,1433,SQL,3093605,4237861
I3SQL,10.164.105.107,,10.164.105.181,,3306,DB2,856214,1195896
I3SQL,10.164.145.161,,10.164.105.90,,27017,TLS,2096969,1928720
I3SQL,10.164.105.198,,10.164.105.247,,5432,TLS,1910048,4252956
I3SQL,10.164.145.39,,10.164.105.235,,5432,TLS,2194423,4629370
I3SQL,10.164.105.32,,10.164.105.84,,5432,DB2,1898776,1157192
I3SQL,10.164.105.179,,10.164.105.237,,27017,POSTGRESQL,1352983,4725803
I3SQL,10.164.145.86,,10.164.105.37,,1433,SQL,947525,4968860
I3SQL,10.164.145.145,,10.164.105.104,,3306,MYSQL,3383262,4577826
I3SQL,10.164.105.226,,10.164.105.209,,1521,SQL,2227192,2248384
I3SQL,10.164.105.172,,10.164.105.109,,3306,DB2,2897989,4280204
I3SQL,10.164.145.218,,10.164.105.91,,1433,TLS,3940985,3706464
I3SQL,10.164.145.103,,10.164.105.243,,5432,TLS,966903,2313600
I3SQL,10.164.145.224,,10.164.105.185,,3306,POSTGRESQL,1456005,1613755
I3SQL,10.164.145.56,,10.164.105.157,,1521,ORACLE,0,0
I3SQL,10.164.145.145,,10.164.105.2,,1433,ORACLE,1554098,3028132
I3SQL,10.164.105.77,,10.164.105.65,,5432,TLS,1330580,3505900
I3SQL,10.164.105.169,,10.164.105.78,,1521,TLS,2978923,1558639
I3SQL,10.164.105.178,,10.164.105.54,,3306,POSTGRESQL,0,0
I3SQL,2001:db8:2bda:f8d3:d741:4f16:b605:80e6,,2001:db8:548b:87b5:6d4b:499e:3086:8de3,,1433,ORACLE,833469,3264675
I3SQL,10.164.105.227,,10.164.105.183,,27017,TLS,1961774,3448750
I3SQL,10.164.105.81,,10.164.105.35,,27017,DB2,1680786,1454679
I3SQL,10.164.105.115,,10.164.105.186,,3306,SQL,1766712,1392316
