App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IA,10.100.246.216,,10.165.116.99,,80,HTTP,1633979,3353786
IA,10.164.145.215,,10.165.116.245,,8443,HTTPS,497586,2794273
IA,2001:db8:548b:87b5:c941:b958:202:bcc6,,2001:db8:4c3a:9f21:4004:8562:8f88:f4e,,8081,HTTP,1279612,1614271
IA,2001:db8:1a2b:3c4d:ec80:4fbe:28eb:ffde,,2001:db8:1a2b:3c4d:80cc:a1b5:d940:db56,,,TCP,3834982,2411540
IA,10.164.145.118,,10.100.160.21,,8443,HTTPS,1296964,2469381
IA,2001:db8:2bda:f8d3:7474:6785:644c:c53,,2001:db8:4c3a:9f21:97ec:77c1:f14f:ecc2,,8443,HTTPS,213243,211312
IA,10.100.160.16,,10.164.116.148,,443,HTTPS,1017137,973976
IA,10.100.246.195,,10.100.246.100,,3306,TCP,2808816,533106
IA,10.164.116.106,,10.164.116.208,,8081,HTTP,604243,3989543
IA,10.165.116.184,,10.165.116.28,,8443,HTTPS,1181015,742843
IA,2001:db8:2bda:f8d3:2c37:f38b:8147:c22b,,2001:db8:1a2b:3c4d:163b:b9e1:3135:ee75,,80,HTTP,466867,3638055
IA,10.164.116.207,,10.164.144.165,,80,HTTP,858056,2918381
IA,10.100.160.76,,10.164.105.28,,443,HTTPS,1337972,2264659
IA,10.164.105.25,,10.164.105.187,,443,HTTPS,297213,3884700
IA,10.164.105.220,,10.164.144.191,,8443,TCP,1494450,1170138
IA,10.100.246.228,,10.164.145.76,,389,TCP,633730,862561
IA,10.164.105.142,,10.100.160.129,,443,HTTPS,1906623,931072
IA,10.100.246.202,,10.164.105.20,,80,TCP,2149569,195390
IA,10.100.160.69,,10.164.116.219,,389,TCP,3289772,138850
IA,10.164.144.161,,10.164.105.6,,8443,HTTPS,154252,2030122
IA,2001:db8:2bda:f8d3:b116:4942:8d27:880e,,2001:db8:1a2b:3c4d:9200:5762:4bc3:644a,,80,HTTP,405531,595437
IA,10.165.116.211,,10.100.246.128,,8443,HTTPS,2841808,2388247
IA,10.100.160.213,,10.164.144.155,,8443,HTTPS,1452064,1188751
IA,2001:db8:1a2b:3c4d:607:87b3:81ba:cf31,,2001:db8:ea19:a1e1:5e2e:1a96:3e03:4b9d,,8443,TCP,1261043,2314976
IA,10.100.160.33,,10.100.160.156,,8443,HTTPS,2302941,1048220
IA,2001:db8:ea19:a1e1:7670:cb62:708:2e94,,2001:db8:4c3a:9f21:898:bdeb:736e:18f0,,443,HTTPS,843169,3155200
IA,2001:db8:2bda:f8d3:d11d:b704:3943:5643,,2001:db8:ea19:a1e1:2226:ca49:d844:ca3c,,443,HTTPS,0,0
IA,10.164.144.152,,10.100.246.96,,8080,HTTP,3599819,3515891
IA,10.100.246.217,,10.100.246.254,,1521,TCP,2637081,3450362
IA,10.164.116.93,,10.165.116.40,,443,HTTPS,0,0
IA,10.100.246.101,,10.164.144.253,,80,HTTP,2941272,1622009
IA,10.164.145.161,,10.164.145.156,,8080,HTTP,3249210,3632247
IA,10.164.145.104,,10.100.246.225,,8081,HTTP,646279,3191612
IA,10.164.144.167,,10.100.246.229,,443,HTTPS,3938505,2020234
IA,10.164.144.75,,10.100.246.191,,8081,HTTP,690538,2571480
IA,10.165.116.20,,10.164.144.65,,8080,HTTP,0,0
IA,2001:db8:548b:87b5:bd1f:44f6:5c07:12ac,,2001:db8:4c3a:9f21:c1:5b60:1d4e:eea0,,8081,HTTP,1753980,3482129
IA,10.164.145.244,,10.100.160.132,,,TCP,1618951,1730840
IA,10.165.116.207,,10.165.116.110,,,TCP,1724340,803774
IA,2001:db8:548b:87b5:419d:21a1:dcf7:273d,,2001:db8:2bda:f8d3:7120:9d02:db2:7c49,,8080,HTTP,858490,450420
IA,10.100.246.22,,10.100.246.157,,8443,HTTPS,2636156,1185529
IA,10.100.160.238,,10.100.246.209,,8080,HTTP,2825192,512409
IA,2001:db8:1a2b:3c4d:ac84:f12d:9e1e:c3b6,,2001:db8:2582:6d22:322d:4536:52f4:cb79,,8080,HTTP,644651,1565435
IA,10.165.116.47,,10.164.116.219,,8443,HTTPS,1183509,3889225
IA,10.164.105.247,,10.165.116.213,,389,TCP,0,0
IA,10.164.145.133,,10.165.116.160,,,TCP,892593,3824334
IA,10.100.160.14,,10.164.145.120,,22,TCP,662892,209944
IA,10.100.246.177,,10.164.145.15,,8080,HTTP,1635030,2761704
IA,10.164.116.69,,10.164.105.32,,5432,TCP,1270441,1737192
IA,10.100.246.17,,10.164.116.239,,80,HTTP,1917458,3044789
IA,2001:db8:2bda:f8d3:8699:3780:89cb:bf26,,2001:db8:2bda:f8d3:1fb0:7aae:466e:b327,,8443,HTTPS,2462965,3820580
