App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IB,10.164.116.131,,10.100.160.14,,22,TCP,1814384,2283705
IB,10.164.144.35,,10.100.160.2,,443,TCP,1203682,2613279
IB,10.100.160.129,,10.100.160.85,,,TCP,593201,608289
IB,10.164.116.133,,10.164.116.229,,80,HTTP,395184,1032940
IB,10.164.144.246,,10.164.144.23,,,TCP,663453,2471570
IB,10.100.160.242,,10.164.105.124,,,TCP,2224943,3262156
IB,10.164.144.255,,10.164.116.160,,1521,TCP,2220908,912596
IB,2001:db8:ea19:a1e1:aba2:4923:6658:84cd,,2001:db8:1a2b:3c4d:566d:2009:ad50:1621,,443,HTTPS,3997071,2303265
IB,10.164.116.181,,10.100.246.92,,443,HTTPS,907642,3723807
IB,10.164.105.161,,10.164.144.62,,443,HTTPS,2178476,2798744
IB,10.164.144.1,,10.100.246.215,,8080,HTTP,2256051,1586457
IB,10.100.246.140,,10.164.145.194,,,TCP,0,0
IB,2001:db8:1a2b:3c4d:1187:e7e8:125b:7386,,2001:db8:1a2b:3c4d:8ee0:320c:e772:3c0f,,,TCP,589803,837417
IB,10.164.145.25,,10.164.105.139,,443,HTTPS,1359660,1335308
IB,10.164.144.252,,10.164.105.46,,8443,HTTPS,3700742,2356626
IB,2001:db8:ea19:a1e1:9552:5187:d913:e4e1,,2001:db8:548b:87b5:3374:bbd4:5d6f:94f5,,,TCP,326054,1680642
IB,10.164.105.77,,10.164.105.118,,8081,HTTP,3154951,2513110
IB,10.164.145.84,,10.100.246.18,,80,HTTP,866057,1578901
IB,10.164.145.134,,10.165.116.219,,443,HTTPS,3864913,230773
IB,10.164.116.158,,10.100.246.9,,8443,HTTPS,1869650,2217304
IB,10.164.116.218,,10.164.105.142,,8443,HTTPS,1920307,1411133
IB,10.164.145.186,,10.164.145.246,,443,HTTPS,3767745,783517
IB,10.164.145.248,,10.100.160.2,,,TCP,2493169,679981
IB,10.164.105.121,,10.164.116.248,,443,HTTPS,2603720,1073039
IB,10.100.160.37,,10.164.144.88,,443,TCP,3978426,2510617
IB,10.100.246.6,,10.100.246.115,,8443,TCP,3126250,2172930
IB,10.165.116.75,,10.165.116.10,,80,HTTP,2856349,912366
IB,10.164.116.112,,10.164.105.39,,22,TCP,3185711,2593007
IB,10.164.105.72,,10.100.160.41,,8080,HTTP,1179210,2980143
IB,10.164.105.5,,10.100.160.238,,8443,HTTPS,0,0
IB,10.165.116.116,,10.100.160.14,,22,TCP,1591393,818690
IB,10.100.160.97,,10.165.116.194,,8081,HTTP,2953541,3444873
IB,10.164.116.206,,10.100.246.39,,,TCP,0,0
IB,10.100.246.84,,10.100.160.49,,443,HTTPS,3285096,1754957
IB,10.100.246.116,,10.164.105.82,,,TCP,553466,218279
IB,10.164.116.146,,10.100.246.69,,8443,HTTPS,2894367,3480765
IB,2001:db8:548b:87b5:941a:e9f5:4ab4:9e8f,,2001:db8:2582:6d22:b9c9:f671:fa77:8b83,,8081,HTTP,0,0
IB,10.164.105.240,,10.165.116.249,,8443,HTTPS,2850722,2575716
IB,10.164.116.10,,10.100.246.228,,8443,TCP,1638141,1225800
IB,10.164.116.108,,10.164.145.42,,8081,HTTP,2066829,250360
IB,10.100.246.17,,10.164.145.219,,8081,HTTP,1332283,550447
IB,10.164.145.181,,10.164.144.63,,8080,HTTP,920478,542061
IB,10.164.144.202,,10.164.105.58,,80,HTTP,0,0
IB,10.164.145.47,,10.164.105.104,,8443,HTTPS,274469,1313670
IB,2001:db8:4c3a:9f21:aac2:e720:a1ac:baf4,,2001:db8:ea19:a1e1:678c:6bdb:2d0:15c4,,8080,HTTP,1361018,801166
IB,10.165.116.231,,10.164.144.81,,443,TCP,3291169,711158
IB,10.164.145.89,,10.100.160.223,,8443,TCP,1123562,1764169
IB,2001:db8:2bda:f8d3:4128:d57a:47c5:23c4,,2001:db8:4c3a:9f21:a3ad:2aef:452:d9af,,8081,HTTP,0,0
IB,10.164.116.182,,10.164.144.123,,8080,HTTP,2597771,1522193
IB,10.100.160.186,,10.164.105.64,,443,HTTPS,3115549,1450735
IB,10.100.246.163,,10.164.144.159,,80,HTTP,1700291,3843231
IB,2001:db8:2bda:f8d3:60f5:7ad5:66f1:5bb3,,2001:db8:2bda:f8d3:ab7b:3c43:24cd:b2ad,,1521,TCP,1802889,467857
IB,2001:db8:2bda:f8d3:2279:a0e5:dea4:5f20,,2001:db8:548b:87b5:a0d2:219b:5e8b:c211,,8081,HTTP,3415793,230628
IB,2001:db8:ea19:a1e1:5750:bcce:aeb6:56d8,,2001:db8:548b:87b5:dc99:41c2:4654:6932,,8080,HTTP,2232788,3300991
IB,10.164.145.74,,10.164.145.209,,443,HTTPS,2439578,3200870
IB,10.165.116.201,,10.100.246.101,,8081,HTTP,3370684,407639
IB,10.164.144.98,,10.164.105.49,,443,HTTPS,1178017,3477518
IB,2001:db8:ea19:a1e1:b7e0:7da4:18c8:f5f0,,2001:db8:548b:87b5:271b:ef3d:c9d2:a29a,,80,HTTP,3703743,1936774
IB,10.165.116.163,,10.164.144.145,,8080,TCP,3340572,1240193
IB,10.164.116.88,,10.164.105.5,,8081,HTTP,2434133,2414863
IB,10.100.160.10,,10.164.145.31,,443,HTTPS,1922717,2251415
IB,10.164.144.235,,10.164.144.97,,8081,HTTP,1495862,904586
