App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IMGVF,10.164.145.57,,10.164.116.24,,,TCP,492725,3396803
IMGVF,10.164.144.29,,10.164.145.133,,,TCP,282009,1797300
IMGVF,10.164.145.172,,10.164.144.212,,443,HTTPS,1382869,3789937
IMGVF,10.165.116.60,,10.164.145.44,,,TCP,539985,2441056
IMGVF,10.100.160.18,,10.164.145.194,,443,HTTPS,2102393,354722
IMGVF,10.164.145.254,,10.164.116.249,,1521,TCP,362574,1259962
IMGVF,10.164.145.123,,10.164.105.44,,8080,HTTP,2958386,1891601
IMGVF,10.100.160.30,,10.100.160.137,,389,TCP,150528,2862745
IMGVF,10.165.116.4,,10.165.116.7,,8443,HTTPS,1570075,2698862
IMGVF,10.100.246.178,,10.164.116.247,,8080,HTTP,400357,3695176
IMGVF,10.164.144.48,,10.164.145.115,,22,TCP,2740733,153104
IMGVF,10.164.145.235,,10.164.105.68,,8081,HTTP,587756,3427083
IMGVF,2001:db8:548b:87b5:f387:3650:ca34:fdcd,,2001:db8:2582:6d22:39dd:6128:da23:31a6,,3306,TCP,116567,528643
IMGVF,10.164.116.111,,10.164.116.179,,389,TCP,1880587,2977049
IMGVF,10.100.160.212,,10.165.116.32,,8081,HTTP,266417,862042
IMGVF,10.164.116.178,,10.100.246.39,,8080,TCP,3358802,3407470
IMGVF,10.164.105.212,,10.164.144.244,,8443,TCP,2949369,2169687
IMGVF,10.164.105.220,,10.165.116.163,,8443,HTTPS,1780640,2111790
IMGVF,10.165.116.174,,10.100.246.95,,443,HTTPS,545430,2530148
IMGVF,10.164.105.184,,10.100.246.27,,80,HTTP,2617359,3274689
IMGVF,10.100.246.209,,10.164.144.143,,8080,HTTP,0,0
IMGVF,10.164.116.187,,10.164.145.195,,8081,HTTP,3786688,204273
IMGVF,2001:db8:1a2b:3c4d:4db3:3a8c:942a:631e,,2001:db8:2bda:f8d3:ce2b:2822:718a:156b,,8443,HTTPS,598928,3934039
IMGVF,10.165.116.114,,10.164.105.37,,8081,HTTP,0,0
IMGVF,10.164.144.92,,10.164.144.119,,8080,HTTP,2099148,993847
IMGVF,10.164.116.119,,10.164.144.198,,8080,HTTP,1514299,2654213
IMGVF,10.164.145.131,,10.164.116.249,,8443,HTTPS,439097,626147
IMGVF,2001:db8:2bda:f8d3:57b8:d630:e4e1:8880,,2001:db8:2bda:f8d3:cea2:96cc:44bd:2c82,,8080,HTTP,255931,903809
IMGVF,10.164.145.104,,10.164.116.124,,443,HTTPS,2204692,1178554
IMGVF,10.164.116.220,,10.164.144.34,,8443,HTTPS,2798404,172830
IMGVF,10.165.116.159,,10.164.116.106,,443,HTTPS,227180,3195914
IMGVF,10.164.144.54,,10.165.116.132,,,TCP,1849408,1267520
IMGVF,10.164.105.145,,10.165.116.36,,443,HTTPS,3679886,2098221
IMGVF,10.164.145.238,,10.164.144.56,,8081,HTTP,445627,1977713
IMGVF,10.100.246.236,,10.164.105.140,,8443,HTTPS,3205949,1210892
IMGVF,10.100.246.200,,10.164.116.42,,443,HTTPS,0,0
IMGVF,10.164.145.228,,10.100.246.132,,443,HTTPS,1168403,2568403
IMGVF,10.164.116.50,,10.164.144.53,,80,HTTP,1220170,3433311
IMGVF,10.100.246.62,,10.100.160.130,,8443,HTTPS,1569938,1105749
IMGVF,10.164.144.88,,10.100.246.128,,,TCP,483154,3136546
IMGVF,10.165.116.179,,10.165.116.183,,8443,HTTPS,3502018,2302865
IMGVF,2001:db8:2582:6d22:48ac:3588:34dd:1438,,2001:db8:2bda:f8d3:7480:e04:40d5:3b6d,,1521,TCP,1655850,2757327
IMGVF,10.100.246.74,,10.164.144.212,,80,HTTP,1401758,247016
IMGVF,2001:db8:1a2b:3c4d:a0d7:3bee:6296:dcb2,,2001:db8:4c3a:9f21:efb1:f9b2:102f:2782,,8443,HTTPS,1163238,2415507
IMGVF,10.100.246.129,,10.100.246.127,,8443,HTTPS,1828959,3324616
IMGVF,10.164.144.1,,10.100.160.199,,8081,HTTP,0,0
IMGVF,10.100.246.103,,10.164.145.20,,80,TCP,847195,1599548
IMGVF,10.164.144.41,,10.100.160.108,,443,HTTPS,616325,2911677
IMGVF,10.164.105.203,,10.100.246.86,,8081,HTTP,2884943,1473841
IMGVF,2001:db8:2582:6d22:f8ed:916f:5950:e45c,,2001:db8:548b:87b5:7331:6f4f:e9e0:8073,,443,HTTPS,0,0
IMGVF,10.164.145.188,,10.164.144.25,,80,TCP,1805758,857168
IMGVF,10.100.246.121,,10.164.144.68,,8443,HTTPS,3838937,879916
IMGVF,10.164.116.251,,10.164.145.213,,80,HTTP,3025296,597298
IMGVF,2001:db8:1a2b:3c4d:302b:e422:b1b2:f60e,,2001:db8:ea19:a1e1:61f:88f5:a193:d6cc,,8443,HTTPS,788303,1684374
IMGVF,10.164.116.59,,10.164.145.237,,8443,TCP,1160629,3085682
IMGVF,2001:db8:2582:6d22:2db5:a646:9ab3:8e23,,2001:db8:2bda:f8d3:ad8e:a3e9:e1d1:fb23,,8080,HTTP,3167058,3629781
IMGVF,10.164.105.131,,10.100.246.51,,8080,HTTP,1268864,654827
IMGVF,10.165.116.218,,10.100.160.138,,8081,HTTP,555610,1558813
IMGVF,2001:db8:ea19:a1e1:d7a0:3351:1a08:9f08,,2001:db8:2bda:f8d3:546a:6f3b:9259:68c4,,8080,TCP,1135433,177334
IMGVF,2001:db8:2bda:f8d3:f643:3d1b:a124:1375,,2001:db8:1a2b:3c4d:65ac:51ba:7798:bf90,,80,HTTP,3116034,1826249
IMGVF,10.164.116.151,,10.100.246.157,,1521,TCP,3076121,897451
IMGVF,10.100.246.219,,10.164.105.6,,5432,TCP,1778704,1858485
IMGVF,10.100.160.23,,10.164.105.64,,8443,HTTPS,417172,3195623
IMGVF,10.164.144.133,,10.165.116.224,,443,HTTPS,1109672,3521033
IMGVF,10.164.105.23,,10.165.116.244,,443,HTTPS,2666508,2938254
IMGVF,10.164.144.73,,10.164.105.32,,8443,HTTPS,414439,1733760
IMGVF,10.100.246.76,,10.100.246.154,,389,TCP,586322,1582776
IMGVF,10.164.145.137,,10.164.145.96,,443,HTTPS,2656668,451495
IMGVF,10.164.105.200,,10.164.145.145,,8080,HTTP,634666,2564455
IMGVF,10.164.145.207,,10.100.160.8,,80,HTTP,2272014,2166163
IMGVF,2001:db8:4c3a:9f21:db98:8cc0:714c:fd4c,,2001:db8:1a2b:3c4d:530c:c7c8:ee0e:81cd,,443,HTTPS,0,0
IMGVF,10.100.160.237,,10.100.246.58,,8443,TCP,2414441,2383519
