App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
ITR,10.164.145.255,,10.165.116.18,,8080,HTTP,2135870,1906725
ITR,10.164.144.131,,10.164.145.227,,443,HTTPS,3466076,3770297
ITR,2001:db8:2bda:f8d3:8c7a:1e99:e1cd:99b8,,2001:db8:2582:6d22:e12c:4d94:832b:cfc1,,389,TCP,3405013,2033792
ITR,2001:db8:548b:87b5:d4e5:abb1:39eb:31a3,,2001:db8:548b:87b5:305e:c334:5951:d439,,80,HTTP,1423348,2582469
ITR,10.100.160.98,,10.164.116.7,,80,HTTP,1439917,756696
ITR,10.164.116.249,,10.164.116.195,,8080,HTTP,1229938,199092
ITR,2001:db8:4c3a:9f21:3ee5:bb60:71f:8c12,,2001:db8:2bda:f8d3:9d14:ae26:393c:f531,,8081,HTTP,1249461,3851224
ITR,10.164.144.51,,10.164.145.117,,443,HTTPS,2284480,892534
ITR,10.164.116.85,,10.164.105.137,,,TCP,0,0
ITR,10.164.105.168,,10.164.116.203,,8081,HTTP,2268995,3036872
ITR,10.164.144.42,,10.165.116.198,,8080,HTTP,3540032,3464493
ITR,10.164.116.30,,10.165.116.182,,22,TCP,3301678,2652546
ITR,2001:db8:ea19:a1e1:7f08:5a8:a696:5636,,2001:db8:2582:6d22:6296:882:15c8:f746,,80,HTTP,683923,3188520
ITR,10.100.160.223,,10.164.116.129,,3306,TCP,395583,2533999
ITR,10.164.145.66,,10.164.144.201,,80,HTTP,0,0
ITR,10.100.246.1,,10.164.116.169,,443,HTTPS,3239790,3245720
ITR,10.164.116.208,,10.164.116.109,,80,HTTP,2396787,3488224
ITR,2001:db8:2bda:f8d3:5b54:ff6f:3d52:7713,,2001:db8:2bda:f8d3:3611:b573:b586:e247,,443,TCP,3569684,2232243
ITR,10.100.246.205,,10.164.144.1,,8080,HTTP,0,0
ITR,10.100.160.90,,10.100.246.104,,443,HTTPS,0,0
ITR,10.164.145.188,,10.164.116.170,,22,TCP,2421466,3329700
ITR,10.165.116.36,,10.100.160.173,,80,HTTP,1407629,3461002
ITR,10.164.116.6,,10.164.144.100,,8081,HTTP,1561492,3454159
ITR,10.164.116.206,,10.164.144.169,,22,TCP,731078,2138560
ITR,10.164.145.243,,10.164.145.214,,443,HTTPS,563772,3785254
ITR,10.165.116.116,,10.164.145.195,,8081,HTTP,2423133,2636600
ITR,10.100.246.230,,10.164.145.120,,443,HTTPS,1868230,3716422
ITR,10.164.116.222,,10.164.116.56,,80,HTTP,2440281,3680940
ITR,2001:db8:2bda:f8d3:fd7f:58cc:4d76:c6c7,,2001:db8:2582:6d22:145a:ad46:7fde:363e,,8080,HTTP,498097,1380509
ITR,10.164.116.153,,10.164.105.49,,22,TCP,1414224,1817934
ITR,10.164.105.12,,10.164.145.209,,8080,HTTP,3966444,554480
ITR,10.164.105.155,,10.164.145.165,,80,HTTP,214797,3101871
ITR,10.100.160.217,,10.100.160.8,,8443,HTTPS,2215847,1178448
ITR,10.165.116.100,,10.165.116.94,,8443,HTTPS,757662,2869001
ITR,10.164.144.69,,10.164.144.96,,8443,HTTPS,763614,2546028
ITR,10.100.246.232,,10.164.145.228,,8081,HTTP,3159809,3558558
ITR,10.164.145.6,,10.164.105.118,,8080,HTTP,1181975,1138456
