App,Source IP,Source Hostname,Dest IP,Dest Hostname,Port,Protocol,Bytes In,Bytes Out
IV,10.165.116.252,,10.100.160.229,,443,HTTPS,1209758,993756
IV,10.100.160.221,,10.100.160.49,,80,HTTP,1446931,2652228
IV,10.164.144.194,,10.164.105.156,,8080,HTTP,1798912,640479
IV,2001:db8:2bda:f8d3:e092:c0fb:7c52:dce1,,2001:db8:4c3a:9f21:f2cc:1ffd:6b0c:56ed,,443,HTTPS,1374622,3094624
IV,10.164.144.182,,10.100.246.236,,80,HTTP,111020,2002865
IV,10.165.116.212,,10.100.160.102,,443,TCP,1101084,1246705
IV,10.165.116.96,,10.164.144.78,,5432,TCP,195378,2097111
IV,10.164.144.159,,10.164.116.14,,,TCP,0,0
IV,10.165.116.82,,10.164.116.80,,8081,HTTP,2039885,884063
IV,2001:db8:ea19:a1e1:4e5a:5896:d380:74f5,,2001:db8:ea19:a1e1:f68f:fc65:f1b4:97b8,,5432,TCP,260317,3332948
IV,10.164.105.250,,10.164.116.43,,8080,HTTP,977420,1563409
IV,10.164.116.157,,10.165.116.7,,8080,HTTP,362966,3810185
IV,10.164.116.41,,10.165.116.247,,80,HTTP,2635877,2127149
IV,10.100.160.106,,10.164.145.227,,8443,TCP,1565645,585193
IV,10.100.160.164,,10.164.145.153,,8081,HTTP,1124424,869544
IV,10.164.116.70,,10.164.145.102,,8080,TCP,2940518,1705258
IV,10.100.160.242,,10.164.145.1,,8443,HTTPS,3914442,2891638
IV,10.164.144.83,,10.100.160.34,,443,HTTPS,1869519,303312
IV,10.164.144.114,,10.165.116.40,,8443,HTTPS,1236856,2769970
IV,10.164.105.60,,10.164.105.195,,443,HTTPS,2833687,1379880
IV,10.164.145.93,,10.164.116.190,,443,HTTPS,1327033,422437
IV,10.100.246.185,,10.100.246.205,,8080,HTTP,1894778,524041
IV,10.164.145.120,,10.165.116.132,,8081,HTTP,0,0
IV,10.164.105.128,,10.164.105.182,,8443,HTTPS,3235605,3335878
IV,10.164.145.93,,10.164.105.215,,389,TCP,3215380,882054
IV,10.100.160.162,,10.164.144.218,,5432,TCP,0,0
IV,10.164.144.209,,10.164.145.162,,,TCP,3898068,1703025
IV,10.164.116.67,,10.164.145.107,,80,HTTP,0,0
IV,2001:db8:2bda:f8d3:e4c6:50b6:281f:5f29,,2001:db8:548b:87b5:cfe1:493a:c155:8519,,80,TCP,2504717,2731425
IV,10.164.145.96,,10.164.116.59,,8080,HTTP,1234883,2752451
IV,10.164.105.93,,10.164.145.177,,8080,HTTP,528299,3650476
IV,10.164.105.252,,10.164.116.219,,389,TCP,349089,3351691
IV,10.100.160.59,,10.100.246.5,,80,TCP,3898674,1895581
IV,2001:db8:4c3a:9f21:c664:902:35e5:31d2,,2001:db8:2bda:f8d3:6cff:aea1:86eb:fff8,,80,HTTP,3174228,2384816
IV,10.164.144.137,,10.100.160.30,,8080,HTTP,2475908,3328830
IV,10.164.116.141,,10.164.116.187,,80,HTTP,2874293,3664209
IV,10.100.160.209,,10.100.246.61,,8081,HTTP,2958918,144531
IV,10.164.144.248,,10.164.145.113,,3306,TCP,297819,3093491
IV,10.164.116.96,,10.100.160.184,,,TCP,2813242,2323128
IV,10.100.246.88,,10.164.116.109,,80,HTTP,743303,2285376
IV,10.165.116.29,,10.164.116.237,,22,TCP,2607883,2860605
IV,10.100.160.151,,10.165.116.125,,8080,HTTP,2636373,3377062
IV,10.100.160.117,,10.164.144.152,,8080,HTTP,2593130,1381097
IV,10.164.116.241,,10.164.116.116,,80,HTTP,2891843,1626669
IV,10.164.145.28,,10.164.145.26,,80,HTTP,3752131,3595959
IV,10.100.160.44,,10.164.116.32,,443,HTTPS,1465104,2770010
IV,10.100.246.34,,10.164.116.86,,8080,HTTP,1038732,1867340
IV,10.164.145.60,,10.164.145.129,,80,TCP,126690,1887631
IV,10.164.116.22,,10.164.145.90,,443,HTTPS,3133052,803254
IV,10.165.116.56,,10.164.116.81,,3306,TCP,0,0
IV,10.164.105.121,,10.164.116.117,,8443,HTTPS,942837,3908752
IV,10.100.160.21,,10.164.145.69,,8443,HTTPS,421779,3033579
IV,10.164.105.71,,10.164.116.112,,8080,HTTP,3594329,114288
IV,10.164.116.164,,10.164.116.30,,443,HTTPS,3913765,2462878
IV,10.100.246.162,,10.164.105.158,,443,HTTPS,1328127,2150627
IV,10.164.145.22,,10.165.116.183,,8443,HTTPS,1564859,687217
IV,10.164.145.99,,10.164.116.189,,443,HTTPS,1265559,942183
IV,2001:db8:ea19:a1e1:71fb:d5bb:595b:4800,,2001:db8:2582:6d22:64ce:77ec:e0f0:e5d5,,8443,TCP,171922,3693457
IV,2001:db8:4c3a:9f21:708a:19f4:629c:9dbe,,2001:db8:548b:87b5:8cfa:475c:886c:1472,,,TCP,1216770,2170856
IV,10.164.116.74,,10.165.116.11,,8443,HTTPS,3856628,3234363
IV,10.165.116.80,,10.164.144.182,,443,HTTPS,2585602,1230632
IV,10.164.144.158,,10.164.145.49,,443,HTTPS,1797548,3948778
IV,2001:db8:548b:87b5:9fed:1ec4:def6:33b1,,2001:db8:548b:87b5:3048:9297:1225:4594,,8080,HTTP,1351569,2135502
IV,10.165.116.246,,10.164.105.15,,8443,HTTPS,2846497,1296852
IV,10.164.116.184,,10.100.160.108,,389,TCP,2818448,1647307
IV,10.165.116.101,,10.100.246.195,,80,HTTP,1546145,1367972
IV,10.100.160.59,,10.164.144.28,,,TCP,2015012,2973645
IV,10.164.116.145,,10.164.144.47,,8443,HTTPS,3934798,3175728
IV,10.164.145.9,,10.100.246.233,,443,HTTPS,2297081,213101
IV,10.165.116.117,,10.164.116.111,,443,HTTPS,1363591,2870029
IV,10.100.160.230,,10.100.160.102,,443,HTTPS,1551165,3976952
IV,2001:db8:548b:87b5:4101:b9dc:25e0:ee0d,,2001:db8:1a2b:3c4d:baba:2f19:5922:2f60,,8081,HTTP,807642,2779198
IV,10.164.105.12,,10.164.145.72,,5432,TCP,1630070,2788786
IV,10.100.160.120,,10.100.160.57,,8080,HTTP,3322293,2598880
IV,10.100.246.173,,10.164.105.230,,443,HTTPS,0,0
IV,10.164.145.161,,10.164.116.58,,3306,TCP,2764094,2696116
IV,10.164.116.211,,10.164.105.31,,,TCP,1916195,3645334
